,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.114895547513774,0.01589623369309778
1,0.22,0.2235869416651729,0.023123715441259095
2,0.34,0.3379375845006516,0.023516817217944377
3,0.45,0.45540399864482095,0.02384804234737779
4,0.57,0.5693199208602724,0.01908322765489624
5,0.69,0.6865111937662292,0.026959498774897967
6,0.81,0.8041871712132497,0.026615577601389214
7,0.93,0.9199233824779092,0.0226610607093355
8,1.04,1.0364227478862431,0.014042654148009592
9,1.16,1.1570239820464054,0.025014144067941044
10,1.28,1.2666803683910428,0.0231500999912667
11,1.4,1.3830041867176823,0.013718688275333022
12,1.52,1.4973607442689332,0.013295689671486626
13,1.63,1.6124263864511983,0.014565863333344678
14,1.75,1.724573917727177,0.02287201841566335
15,1.87,1.8385240014978248,0.023597367167777862
16,1.97,1.932746121327351,0.013924764250689484
17,10.0,7.517274327816685,0.033747781429391215
18,10.1,7.564760720474362,0.018276363551062557
19,10.2,7.611328949894603,0.03348104060784586
20,10.3,7.6683077813501095,0.0125385211522
21,10.4,7.702014454513516,0.03662078086957754
22,10.6,7.73549605020976,0.027468302859199743
23,10.7,7.792921812974582,0.0448420215311692
24,10.8,7.825236146584405,0.018591577077862697
25,10.9,7.857821002647536,0.02230366429979412
26,11.0,7.9020735369347435,0.014207375187834381
27,11.2,7.9414900762764065,0.020360347137650267
28,11.3,7.976841173827229,0.01530391890428665
29,11.4,8.020542767635018,0.017425716970811283
30,11.5,8.050703445119218,0.013112654804392455
31,11.6,8.104833477429166,0.09555322671738137
32,2.08,2.0450886060907862,0.014699099852219835
33,2.2,2.1554988451334722,0.023630308478750306
34,2.32,2.264859050863155,0.023852436618712364
35,2.43,2.373312061619215,0.014010610198067987
36,2.55,2.4831419140374478,0.024096401386910903
37,2.67,2.594414649291737,0.014238847245897203
38,2.78,2.7014587521419102,0.014565562857346597
39,2.9,2.809171594404948,0.013543673967101483
40,3.02,2.9145393438368172,0.021970346958084558
41,3.13,3.024093719584698,0.03770809311102005
42,3.25,3.124440183378576,0.012545715309619643
43,3.37,3.2301374293531984,0.022967833511539422
44,3.48,3.3523481669384894,0.02073094659308395
45,3.59,3.436854764771132,0.012587046049162564
46,3.71,3.5403801895736047,0.013176099706259613
47,3.82,3.6460564702825953,0.05794579645804525
48,3.94,3.740922430668811,0.02275290459833038
49,4.06,3.84055392249361,0.013972230991036543
50,4.17,3.940319006810692,0.012664210857335217
51,4.29,4.035416610506729,0.02445533386654017
52,4.41,4.132317853364188,0.01225878660587255
53,4.52,4.226819753900601,0.012371654150180305
54,4.64,4.321914818544176,0.020734387897784153
55,4.76,4.415138660575383,0.0227707691212247
56,4.88,4.506102175839728,0.022127741724035414
57,4.99,4.602140293006182,0.014267400168395639
58,5.11,4.696995996915324,0.0538707867670451
59,5.23,4.783832280908937,0.04561783697862961
60,5.34,4.866218486988142,0.03958781059516837
61,5.46,4.9543086881118885,0.011681633227490345
62,5.58,5.043271487223779,0.020716709002511238
63,5.69,5.128460018775613,0.02330243682512859
64,5.81,5.21236004570897,0.018505645019764833
65,5.93,5.295547360277615,0.02075227289203413
66,6.05,5.3795049744167045,0.020504577483222243
67,6.16,5.4658093118404345,0.044800523265261724
68,6.28,5.538172410456199,0.03513158508586955
69,6.4,5.6157046280967995,0.02359473428367808
70,6.51,5.697311932776485,0.011200941207984486
71,6.63,5.778463663769,0.031514800594768994
72,6.75,5.84986419519388,0.011591122677423987
73,6.87,5.931915616662053,0.09725074571069166
74,6.98,5.996618268528109,0.01904085210561291
75,7.1,6.06946231019973,0.02538889736874819
76,7.22,6.137123809245783,0.015090724107127597
77,7.33,6.203698312398732,0.010827126368463754
78,7.45,6.274064439843849,0.017256313850338306
79,7.57,6.34181281242192,0.014759876009947203
80,7.69,6.412896715850018,0.019232081880112932
81,7.8,6.475576603624882,0.016056437526293217
82,7.92,6.539527863236507,0.010374781568929311
83,8.04,6.593782660277544,0.04951055221733729
84,8.15,6.665700000315258,0.017445739099754692
85,8.27,6.713290064220563,0.05500385565890806
86,8.39,6.790391110412324,0.038060357375152114
87,8.5,6.842144760814437,0.01278923344553199
88,8.62,6.902495742445079,0.018599102512656424
89,8.74,6.958914490833098,0.013904575801141518
90,8.85,7.013369976083685,0.017084020693381177
91,8.97,7.0648583835739265,0.01619348783372436
92,9.09,7.125913506764113,0.032630405341999645
93,9.21,7.1776086800199375,0.016365964443491143
94,9.32,7.210241710137433,0.13778501288412545
95,9.44,7.276895540408844,0.011637178653248273
96,9.56,7.326447485360692,0.01750670719530015
97,9.68,7.374266285645198,0.011993281602637568
98,9.79,7.42859884940791,0.01710968425994958
99,9.91,7.468214789093771,0.013226099650849985
