,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.01,0.0812710195499871,0.005868736079479346
1,0.06,0.16209503928698954,0.02795919303096249
2,0.12,0.26246313921566095,0.019968081716918173
3,0.19,0.3730263481284577,0.03347390800502122
4,0.26,0.4850551146063377,0.0342074988851221
5,0.32,0.6004589640565436,0.02023500641429035
6,0.39,0.7145679367137358,0.03424609414969784
7,0.45,0.8290092362923996,0.03464407672921111
8,0.52,0.9432182101217838,0.021866458895032102
9,0.59,1.0598668711705281,0.0371714113108265
10,0.65,1.1748448284034256,0.03686894205829731
11,0.72,1.2874780283592056,0.022701018224647155
12,0.79,1.40219653289126,0.021568187140268837
13,0.85,1.5161180961081397,0.021454680710281393
14,0.92,1.6305720593385897,0.021276006096879543
15,0.99,1.7446079767408045,0.03675546256423693
16,1.05,1.8603326062437389,0.036368516479429916
17,1.12,1.9726402593658883,0.036540092585046625
18,1.18,2.0865880173086366,0.03633586077857118
19,1.25,2.1990426933088245,0.03791252120628658
20,1.32,2.3103378616780548,0.0226739992243907
21,1.38,2.4266758627173917,0.03821479183303638
22,1.45,2.537206366425645,0.03910585025834062
23,1.52,2.6492985712818444,0.03755734596458406
24,1.58,2.7610194568895174,0.03812405887451167
25,1.65,2.872687095131696,0.0357353421415494
26,1.72,2.983662786436553,0.03519907496072266
27,1.78,3.0949920512073215,0.03630836565350425
28,1.85,3.2082162198032522,0.022940017364257298
29,1.91,3.316414534631083,0.03849636526802352
30,1.97,3.3955187584713094,0.03630575996392589
31,2.03,3.4995025391743178,0.02076503997023315
32,2.09,3.609271594204051,0.03177216836990027
33,2.16,3.7188359836365077,0.02003427833873407
34,2.22,3.8272448712704206,0.026869775353250355
35,2.29,3.9363907337410087,0.032456257252922484
36,2.35,4.045353293060084,0.03859420614505841
37,2.42,4.1525273335708315,0.0220300972002374
38,2.49,4.258531827920674,0.03374396201478454
39,2.55,4.364092987584053,0.03325591469451172
40,2.62,4.4679195757982955,0.031714231925778574
41,2.68,4.575748210391399,0.018543092260335715
42,2.75,4.68262209934969,0.03396603280878731
43,2.81,4.780112869592705,0.03394630669348292
44,2.88,4.888553633884531,0.03751648838220344
45,2.94,4.995678172590729,0.049821256963606536
46,3.01,5.092864613920428,0.03431033385526974
47,3.08,5.203630956172868,0.04580230504195411
48,3.14,5.294574584428286,0.04917526312418023
49,3.21,5.400987142267793,0.022034420319804817
50,3.27,5.502474854239797,0.03490463703464446
51,3.34,5.606771036567317,0.01956708250940939
52,3.42,5.709177824717479,0.032747499609507465
53,3.49,5.806115135690785,0.03176454785539625
54,3.55,5.903476567126517,0.019929910089889338
55,3.61,6.00029812107496,0.019796306334561566
56,3.68,6.099994701694041,0.03222063392827234
57,3.74,6.193084129555044,0.034568941724710596
58,3.8,6.2875973816702535,0.02546348183178463
59,3.87,6.377752191014568,0.02176095713746297
60,3.93,6.469262299737523,0.03958934594197687
61,3.99,6.564176896362221,0.03230112657892615
62,4.05,6.655786689758224,0.050069256497408954
63,4.12,6.750950566807136,0.035123585964725285
64,4.18,6.8417473540769835,0.035132436050841695
65,4.24,6.934154288537875,0.04516216290114567
66,4.31,7.021226085544566,0.024630551531337537
67,4.37,7.108272565380052,0.03144283787427034
68,4.43,7.203566802601463,0.03322818029785893
69,4.5,7.28584811850883,0.021391338286433543
70,4.56,7.379890731856863,0.022685932556357268
71,4.62,7.46335253440281,0.021989034418533893
72,4.68,7.549403219005845,0.031731367079071225
73,4.75,7.6414438334221515,0.07737809306559719
74,4.81,7.726222385645382,0.03203031211934516
75,4.87,7.810160440219917,0.04504738695158424
76,4.94,7.894431839097125,0.03380454605237868
77,5.0,7.979268511912503,0.020780506397629298
78,5.06,8.057819030112327,0.06604917203011684
79,5.13,8.142526428119192,0.029874286098525677
80,5.19,8.226451139324979,0.03184018175684453
81,5.25,8.315264796421776,0.021927073284890696
82,5.31,8.39581974510249,0.023291632496012137
83,5.38,8.478709188669862,0.04459473348577379
84,5.44,8.554644431778945,0.02201405650119673
85,5.5,8.624922442572629,0.05316229423672289
86,5.57,8.713447863023383,0.02150222681849921
87,5.63,8.793608562171148,0.03450427891902216
88,5.69,8.866246818683999,0.022861023506962896
89,5.76,8.959517933757013,0.06183605271940814
90,5.82,9.026046246383265,0.03389709872357137
91,5.89,9.103627444300182,0.025735888757207982
92,5.95,9.17556652607535,0.033305113690515836
93,6.01,9.25799923378273,0.07820286916987011
94,6.07,9.328094105614513,0.0298976440301894
95,6.14,9.407643265901706,0.03375680395790892
96,6.2,9.474838141191933,0.03253241542660082
97,6.26,9.546743646012857,0.03150123057018912
98,6.33,9.61008309779318,0.027329174292386727
99,6.39,9.663652182362956,0.018215670947863836
100,6.45,9.702914372675233,0.02239323151253261
101,6.52,9.740715523983804,0.02822788109561514
