,Voltage p2p (V),Magnetic Field p2p (nT),Magnetic Uncertainty (nT)
0,0.1,0.1279588876897452,0.019840098249014206
1,0.22,0.22219648407195816,0.02595286206190905
2,0.34,0.33218970553984606,0.029865150648538837
3,0.45,0.44645081005023285,0.03454791914994126
4,0.57,0.5609761874326459,0.03359921036853874
5,0.69,0.6779897597164704,0.033260386987094596
6,0.81,0.7945927717837834,0.020548567244006537
7,0.93,0.9131071452403502,0.03212564064656022
8,1.04,1.0290425666728795,0.02115233098906203
9,1.16,1.1452623398012558,0.03463396179880789
10,1.28,1.2600330116611094,0.0334937255899968
11,1.4,1.377087319136751,0.03364438326533064
12,1.52,1.49708720971752,0.019233887873007994
13,1.63,1.6142789814920628,0.03237696748420968
14,1.75,1.7313875994705001,0.03299378326106752
15,1.87,1.8393226117315014,0.02086468666638869
16,1.97,1.9381762002430543,0.03249169724661374
17,10.1,6.847349680442339,0.0286733562683065
18,10.2,6.884662162173988,0.028120042122881012
19,10.3,6.908029633414059,0.028885594964559724
20,10.4,6.938126907544924,0.029093008788079727
21,10.5,6.968609286184029,0.03499910262276432
22,10.7,7.00576708201325,0.03243938586681544
23,10.8,7.0222438651407195,0.030257522573953394
24,10.9,7.0401529915608085,0.031022612652324175
25,11.0,7.068475534450608,0.06411511823146228
26,11.1,7.094166887890343,0.07070215456684924
27,11.2,7.127510804998937,0.03143930377995285
28,11.3,7.149775657916733,0.030054159248139558
29,11.4,7.18966257810556,0.030136255796823375
30,11.5,7.215744644102858,0.033764279055497164
31,11.6,7.241940225944189,0.030119131211937655
32,2.09,2.04680489180268,0.019410055517347317
33,2.2,2.158857176090472,0.02170485550891193
34,2.32,2.2687366437531704,0.03125836186005864
35,2.43,2.378122437855545,0.032562656620951924
36,2.55,2.4830761838273685,0.021486877871156353
37,2.67,2.5907328600507937,0.026123664114350843
38,2.79,2.700822828566157,0.0326353489278045
39,2.9,2.804497798704552,0.03550641020399789
40,3.02,2.904897046188923,0.031143516586915675
41,3.14,3.0065825652485385,0.030827195295953402
42,3.25,3.1138763105239735,0.031544494375079245
43,3.37,3.2068782833410823,0.02556094048347632
44,3.53,3.2820267455617795,0.021313019229963807
45,3.6,3.3805393872935925,0.016954203169770428
46,3.71,3.4662785253299355,0.017105300086674498
47,3.82,3.553312098161008,0.017372523967119552
48,3.93,3.6301771067386914,0.01803996372823675
49,4.04,3.712311245821449,0.01819494058809658
50,4.15,3.79541358690674,0.02355714776961019
51,4.26,3.8801951313663268,0.020781788583617677
52,4.37,3.9651068955047073,0.02707442343453304
53,4.48,4.044695812444294,0.02239528126758105
54,4.59,4.131529924299223,0.021700896279416675
55,4.7,4.2056597932410344,0.024998555098182784
56,4.81,4.284750794949091,0.015913378101885853
57,4.92,4.369632541257317,0.0227607984810523
58,5.03,4.436213992840927,0.020571064000893757
59,5.14,4.510595624258848,0.02270524529234565
60,5.25,4.586471268957773,0.017305214383582165
61,5.36,4.663431375483914,0.017248643669555162
62,5.47,4.73245477431827,0.02081093185169477
63,5.58,4.805022597665885,0.01767324768892233
64,5.69,4.876255878223081,0.02204417587567666
65,5.8,4.935556483840953,0.01739186424275059
66,5.91,5.012888165969722,0.01740181225791593
67,6.02,5.067400861667278,0.03433193810969865
68,6.13,5.1349820226897025,0.025133039588265217
69,6.24,5.200135651627223,0.01738550872341886
70,6.35,5.266113365752886,0.018091213913653717
71,6.46,5.341196031346733,0.021165982709564553
72,6.57,5.3893521524311385,0.02099894867009187
73,6.68,5.45995972137805,0.019580313107092216
74,6.79,5.50637827692185,0.021871107931411796
75,6.9,5.570209974870558,0.02371704340152371
76,7.01,5.6284865191849995,0.019628126233536086
77,7.13,5.659781240812504,0.023394851865156288
78,7.23,5.72984190109704,0.02310941965179478
79,7.34,5.786531765580027,0.022952763506826866
80,7.45,5.82319025224729,0.02513997245090591
81,7.56,5.875982974507093,0.021664012727708227
82,7.67,5.934786196713549,0.024478401443306985
83,7.78,5.986811980016891,0.0372562309627436
84,7.89,6.040566565036913,0.022453728965830963
85,8.0,6.071920416470546,0.029388356718497776
86,8.12,6.130285407667889,0.04056305253667192
87,8.23,6.175092872595275,0.024775405797260976
88,8.34,6.2082198940974935,0.034349530623844673
89,8.45,6.269323726492529,0.023362516750098095
90,8.56,6.305546570443363,0.024889520825776522
91,8.67,6.346386676288135,0.023469336794769653
92,8.78,6.39943791000599,0.023833243291936364
93,8.89,6.4517125124741606,0.023492637402975018
94,9.0,6.467741487010384,0.029375356665058156
95,9.1,6.497786739154796,0.03367519587496423
96,9.22,6.556097790596607,0.025255593881040105
97,9.33,6.580496295958059,0.026406655508805225
98,9.44,6.637625843987618,0.026204941641531542
99,9.55,6.655999620180059,0.027142417311334988
100,9.66,6.6969830864809055,0.029810914875399597
101,9.77,6.756296725902414,0.034171635605114034
102,9.88,6.7675941881930575,0.03472450305728444
103,9.99,6.795087108502118,0.02792011977373016
