,x,y,z,temp,temp_error
1708473405.9564655,-10796.099999999999,-48183.89,2863.4199999999983,10093462.0,-0.19241714477539062
1708473406.092251,-10748.400000000001,-51101.84,3769.1200000000026,10286803.0,-0.21109771728515625
1708473406.2280366,-10577.48,-53829.240000000005,4726.230000000003,10492439.0,-0.2292308807373047
1708473406.3638222,-10287.3,-56330.33,5707.07,10702851.0,-0.2443523406982422
1708473406.499608,-9885.82,-58577.36,6676.040000000001,10923684.0,-0.25656890869140625
1708473406.6353936,-9381.0,-60562.36,7609.419999999998,11001182.0,-0.2668628692626953
1708473406.7711792,-8784.75,-62289.31,8487.43,11004553.0,-0.27442169189453125
1708473406.9069648,-8112.98,-63766.15,9294.25,10995654.0,-0.27923583984375
1708473407.0427504,-7373.619999999999,-65016.69,10025.919999999998,10980510.0,-0.2825031280517578
1708473407.178536,-6578.619999999999,-66060.8,10678.5,10961602.0,-0.2846221923828125
1708473407.3143218,-5735.919999999998,-66926.26000000001,11255.93,10939133.0,-0.2852516174316406
1708473407.4501073,-4857.450000000001,-67628.95,11766.120000000003,10917836.0,-0.2853412628173828
1708473407.585893,-3947.1699999999983,-68192.69,12213.04,10897991.0,-0.28505897521972656
1708473407.7216785,-3013.0499999999993,-68637.33,12604.580000000002,10879229.0,-0.284332275390625
1708473407.857464,-2063.0200000000004,-68978.76000000001,12944.71,10862844.0,-0.283355712890625
1708473407.9932497,-1101.0699999999997,-69224.89,13245.300000000003,10849356.0,-0.2825489044189453
1708473408.1290355,-135.15000000000146,-69391.63,13510.279999999999,10837546.0,-0.28161048889160156
1708473408.264821,830.7699999999968,-69490.88,13743.620000000003,10827197.0,-0.28051185607910156
1708473408.4006066,1788.75,-69530.58,13949.279999999999,10820075.0,-0.2797985076904297
1708473408.5363922,2734.800000000003,-69518.67,14135.169999999998,10814146.0,-0.27912330627441406
1708473408.6721778,3664.949999999997,-69467.06,14301.279999999999,10808971.0,-0.2783660888671875
1708473408.8079634,4575.230000000003,-69379.73000000001,14451.57,10805419.0,-0.2777061462402344
1708473408.9437492,5461.6500000000015,-69256.65,14586.04,10803665.0,-0.2774620056152344
1708473409.0795348,6316.269999999997,-69109.76000000001,14708.64,10801952.0,-0.2770862579345703
1708473409.2153203,7135.120000000003,-68943.01999999999,14819.39,10800717.0,-0.27667236328125
1708473409.351106,7918.199999999997,-68756.44,14922.21,10801385.0,-0.2766399383544922
1708473409.4868915,8661.519999999997,-68557.93,15017.14,10801966.0,-0.2766685485839844
1708473409.622677,9361.120000000003,-68351.48999999999,15104.14,10802460.0,-0.2765922546386719
1708473409.7584627,10013.019999999997,-68145.05,15187.199999999997,10803497.0,-0.2765483856201172
1708473409.8942485,10621.199999999997,-67934.64,15262.339999999997,10805444.0,-0.27685546875
1708473410.030034,11181.669999999998,-67724.23000000001,15329.580000000002,10806638.0,-0.2769966125488281
1708473410.1658196,11694.449999999997,-67521.76000000001,15392.86,10807386.0,-0.2770233154296875
1708473410.3016052,12163.5,-67323.26000000001,15448.230000000003,10809078.0,-0.2772483825683594
1708473410.4373908,12588.82,-67132.70999999999,15499.64,10810168.0,-0.2775001525878906
1708473410.5731764,12974.400000000001,-66954.05,15543.150000000001,10810476.0,-0.277557373046875
1708473410.7089622,13320.230000000003,-66787.31,15582.699999999997,10810552.0,-0.2775287628173828
1708473410.8447478,13630.269999999997,-66628.51000000001,15618.300000000003,10811172.0,-0.27770233154296875
1708473410.9805334,13904.550000000003,-66481.62,15649.940000000002,10810694.0,-0.27770042419433594
1708473411.116319,14151.0,-66346.64,15677.620000000003,10809847.0,-0.27758026123046875
1708473411.2521045,14369.620000000003,-66223.57,15701.349999999999,10809116.0,-0.27746009826660156
1708473411.38789,14564.400000000001,-66108.44,15721.120000000003,10808311.0,-0.27742767333984375
1708473411.523676,14735.330000000002,-66005.23000000001,15736.940000000002,10806985.0,-0.2772216796875
1708473411.6594615,14886.370000000003,-65913.91,15748.809999999998,10805260.0,-0.2769145965576172
1708473411.795247,15017.550000000003,-65830.55,15756.720000000001,10804251.0,-0.27674102783203125
1708473411.9310327,15132.830000000002,-65755.12,15764.629999999997,10802602.0,-0.2765007019042969
1708473412.0668182,15232.199999999997,-65687.62,15768.580000000002,10800932.0,-0.27619361877441406
1708473412.2026038,15319.650000000001,-65628.08,15772.54,10799080.0,-0.2757892608642578
1708473412.3383896,15399.150000000001,-65572.48999999999,15776.5,10797818.0,-0.2755928039550781
1708473412.4741752,15466.730000000003,-65524.85,15776.5,10795897.0,-0.2752094268798828
1708473412.6099608,15526.349999999999,-65481.18,15776.5,10793768.0,-0.2747917175292969
1708473412.7457464,15578.019999999997,-65445.45,15776.5,10792230.0,-0.27439308166503906
1708473412.881532,15621.75,-65413.69,15776.5,10790438.0,-0.2740898132324219
1708473413.0173175,15661.5,-65385.9,15776.5,10788459.0,-0.2736492156982422
1708473413.153103,15697.269999999997,-65358.11,15772.54,10786349.0,-0.2731494903564453
1708473413.288889,15729.080000000002,-65334.29,15768.580000000002,10785083.0,-0.2728538513183594
1708473413.4246745,15756.900000000001,-65314.44,15764.629999999997,10783036.0,-0.2724132537841797
1708473413.56046,15780.75,-65294.59,15760.669999999998,10781013.0,-0.27196502685546875
1708473413.6962457,15800.620000000003,-65278.72,15756.720000000001,10779079.0,-0.2714557647705078
1708473413.8320312,15816.519999999997,-65262.84,15752.760000000002,10777439.0,-0.2711143493652344
1708473413.9678168,15832.419999999998,-65250.92,15752.760000000002,10775427.0,-0.2706317901611328
1708473414.1036026,15844.349999999999,-65239.009999999995,15748.809999999998,10773208.0,-0.27011871337890625
1708473414.2393882,15856.269999999997,-65227.1,15744.849999999999,10771596.0,-0.269683837890625
1708473414.3751738,15864.230000000003,-65219.16,15740.900000000001,10769758.0,-0.2692718505859375
1708473414.5109594,15872.169999999998,-65211.22,15736.940000000002,10767853.0,-0.268798828125
1708473414.646745,15880.120000000003,-65203.28,15736.940000000002,10765525.0,-0.2682342529296875
1708473414.7825305,15888.080000000002,-65195.34,15732.989999999998,10764023.0,-0.2678642272949219
1708473414.9183164,15896.019999999997,-65191.369999999995,15732.989999999998,10761977.0,-0.26737403869628906
1708473415.054102,15900.0,-65187.4,15732.989999999998,10759788.0,-0.2668571472167969
1708473415.1898875,15903.980000000003,-65183.43,15729.029999999999,10757697.0,-0.26630592346191406
1708473415.325673,15907.949999999997,-65179.47,15729.029999999999,10756026.0,-0.2659187316894531
1708473415.4614587,15911.919999999998,-65175.490000000005,15725.080000000002,10753938.0,-0.26540565490722656
1708473415.5972443,15915.900000000001,-65171.520000000004,15725.080000000002,10751717.0,-0.2648887634277344
1708473415.73303,15919.870000000003,-65167.56,15725.080000000002,10749864.0,-0.26435279846191406
1708473415.8688157,15923.849999999999,-65163.58,15721.120000000003,10747967.0,-0.2639350891113281
1708473416.0046012,15927.830000000002,-65159.61,15717.169999999998,10745934.0,-0.2634162902832031
1708473416.1403868,15931.800000000003,-65155.65,15717.169999999998,10743458.0,-0.2628211975097656
1708473416.2761724,15931.800000000003,-65151.68,15713.21,10741827.0,-0.2623767852783203
1708473416.411958,15931.800000000003,-65147.7,15713.21,10739626.0,-0.26188087463378906
1708473416.5477436,15931.800000000003,-65143.729999999996,15713.21,10737406.0,-0.26133155822753906
1708473416.6835294,15931.800000000003,-65139.759999999995,15709.260000000002,10735171.0,-0.26073455810546875
1708473416.819315,15931.800000000003,-65135.8,15709.260000000002,10733434.0,-0.2603263854980469
1708473416.9551005,15935.769999999997,-65135.8,15705.300000000003,10731199.0,-0.2597694396972656
1708473417.090886,15939.75,-65131.83,15705.300000000003,10728739.0,-0.2591876983642578
1708473417.2266717,15939.75,-65127.85,15705.300000000003,10726905.0,-0.25865745544433594
1708473417.3624573,15939.75,-65123.880000000005,15701.349999999999,10724855.0,-0.25819969177246094
1708473417.498243,15943.730000000003,-65119.91,15701.349999999999,10722549.0,-0.25762939453125
1708473417.6340287,15943.730000000003,-65119.91,15697.39,10720118.0,-0.25701332092285156
1708473417.7698143,15943.730000000003,-65115.94,15697.39,10718358.0,-0.25653839111328125
1708473417.9055998,15947.699999999997,-65111.97,15697.39,10715910.0,-0.25598907470703125
1708473418.0413854,15947.699999999997,-65108.0,15697.39,10713682.0,-0.2554359436035156
1708473418.177171,15947.699999999997,-65104.04,15693.440000000002,10711319.0,-0.2548065185546875
1708473418.3129568,15947.699999999997,-65104.04,15693.440000000002,10709528.0,-0.2543659210205078
1708473418.4487424,15951.669999999998,-65100.06,15693.440000000002,10707106.0,-0.25377655029296875
1708473418.584528,15955.650000000001,-65100.06,15689.480000000003,10704691.0,-0.2531871795654297
1708473418.7203135,15959.620000000003,-65096.09,15689.480000000003,10702608.0,-0.2526206970214844
1708473418.8560991,15959.620000000003,-65092.130000000005,15685.529999999999,10700545.0,-0.2521400451660156
1708473418.9918847,15959.620000000003,-65092.130000000005,15685.529999999999,10698190.0,-0.2515449523925781
1708473419.1276703,15959.620000000003,-65092.130000000005,15681.580000000002,10695558.0,-0.2508869171142578
1708473419.263456,15963.599999999999,-65088.16,15681.580000000002,10693687.0,-0.2503948211669922
1708473419.3992417,15967.580000000002,-65084.18,15677.620000000003,10691370.0,-0.24984359741210938
1708473419.5350273,15967.580000000002,-65084.18,15677.620000000003,10688967.0,-0.2492504119873047
1708473419.6708128,15971.550000000003,-65084.18,15673.660000000003,10686720.0,-0.24862289428710938
1708473419.8065984,15975.519999999997,-65080.21,15673.660000000003,10684674.0,-0.2481517791748047
1708473419.942384,15975.519999999997,-65076.240000000005,15669.71,10682247.0,-0.2475433349609375
1708473420.0781698,15975.519999999997,-65076.240000000005,15669.71,10679642.0,-0.2469043731689453
1708473420.2139554,15975.519999999997,-65072.270000000004,15665.760000000002,10677572.0,-0.24632835388183594
1708473420.349741,15979.5,-65068.31,15665.760000000002,10675350.0,-0.24582481384277344
1708473420.4855266,15983.480000000003,-65064.33,15661.800000000003,10672997.0,-0.2452259063720703
1708473420.6213121,15983.480000000003,-65060.36,15657.839999999997,10670546.0,-0.24457550048828125
1708473420.7570977,15983.480000000003,-65060.36,15657.839999999997,10668503.0,-0.24407005310058594
1708473420.8928835,15987.449999999997,-65056.4,15653.89,10666140.0,-0.24348831176757812
1708473421.028669,15987.449999999997,-65056.4,15653.89,10663745.0,-0.24289703369140625
1708473421.1644547,15987.449999999997,-65056.4,15653.89,10661209.0,-0.2422161102294922
1708473421.3002403,15987.449999999997,-65052.42,15653.89,10659254.0,-0.2417583465576172
1708473421.4360259,15991.419999999998,-65048.45,15649.940000000002,10656811.0,-0.2411346435546875
1708473421.5718114,15995.400000000001,-65048.45,15645.980000000003,10654277.0,-0.24050140380859375
1708473421.7075973,15995.400000000001,-65048.45,15645.980000000003,10652231.0,-0.23992347717285156
1708473421.8433828,15995.400000000001,-65048.45,15642.019999999997,10649973.0,-0.2394084930419922
1708473421.9791684,15999.370000000003,-65044.490000000005,15642.019999999997,10647454.0,-0.2387828826904297
1708473422.114954,15999.370000000003,-65040.520000000004,15642.019999999997,10644891.0,-0.23812294006347656
1708473422.2507396,15999.370000000003,-65040.520000000004,15638.07,10643000.0,-0.23761367797851562
1708473422.3865252,15999.370000000003,-65040.520000000004,15638.07,10640533.0,-0.23702049255371094
1708473422.5223107,15999.370000000003,-65040.520000000004,15638.07,10637992.0,-0.2364025115966797
1708473422.6580966,15999.370000000003,-65040.520000000004,15638.07,10635640.0,-0.2357501983642578
1708473422.7938821,16003.349999999999,-65036.54,15634.120000000003,10633619.0,-0.23526763916015625
1708473422.9296677,16003.349999999999,-65032.57,15634.120000000003,10631292.0,-0.23465919494628906
1708473423.0654533,16003.349999999999,-65032.57,15634.120000000003,10628634.0,-0.23401641845703125
1708473423.2012389,16003.349999999999,-65032.57,15630.160000000003,10626652.0,-0.23344039916992188
1708473423.3370245,16003.349999999999,-65028.6,15630.160000000003,10624288.0,-0.23289871215820312
1708473423.4728103,16007.330000000002,-65028.6,15630.160000000003,10621778.0,-0.23227310180664062
1708473423.6085958,16011.300000000003,-65024.64,15630.160000000003,10619135.0,-0.23159027099609375
1708473423.7443814,16011.300000000003,-65020.66,15626.21,10617418.0,-0.2311229705810547
1708473423.880167,16011.300000000003,-65020.66,15626.21,10614930.0,-0.23051834106445312
1708473424.0159526,16011.300000000003,-65016.69,15622.25,10612368.0,-0.2299022674560547
1708473424.1517382,16015.269999999997,-65016.69,15622.25,10610089.0,-0.22924423217773438
1708473424.287524,16015.269999999997,-65012.72,15622.25,10608070.0,-0.22876548767089844
1708473424.4233096,16015.269999999997,-65008.75,15618.300000000003,10605693.0,-0.2281513214111328
1708473424.5590951,16015.269999999997,-65008.75,15618.300000000003,10603039.0,-0.22751426696777344
1708473424.6948807,16015.269999999997,-65008.75,15618.300000000003,10600872.0,-0.226898193359375
1708473424.8306663,16015.269999999997,-65004.78,15618.300000000003,10598593.0,-0.22638320922851562
1708473424.966452,16015.269999999997,-65000.81,15618.300000000003,10596317.0,-0.22577667236328125
1708473425.1022377,16015.269999999997,-65000.81,15614.339999999997,10593580.0,-0.2250957489013672
1708473425.2380233,16015.269999999997,-64996.84,15614.339999999997,10591704.0,-0.22458457946777344
1708473425.3738089,16019.25,-64992.880000000005,15610.39,10589331.0,-0.22400856018066406
1708473425.5095944,16019.25,-64992.880000000005,15606.43,10586993.0,-0.22341537475585938
1708473425.64538,16023.230000000003,-64992.880000000005,15606.43,10584484.0,-0.22273635864257812
1708473425.7811656,16023.230000000003,-64988.9,15602.480000000003,10582651.0,-0.2222728729248047
1708473425.9169512,16023.230000000003,-64988.9,15602.480000000003,10580127.0,-0.22165489196777344
1708473426.052737,16023.230000000003,-64988.9,15602.480000000003,10577643.0,-0.22104263305664062
1708473426.1885226,16027.199999999997,-64984.93,15598.519999999997,10575386.0,-0.2204113006591797
1708473426.3243082,16027.199999999997,-64984.93,15598.519999999997,10573283.0,-0.21991920471191406
1708473426.4600937,16031.169999999998,-64980.97,15594.57,10570963.0,-0.2193164825439453
1708473426.5958793,16031.169999999998,-64980.97,15594.57,10568398.0,-0.2186603546142578
1708473426.731665,16031.169999999998,-64977.0,15594.57,10566520.0,-0.2181396484375
1708473426.8674507,16031.169999999998,-64977.0,15590.61,10564178.0,-0.2175884246826172
1708473427.0032363,16031.169999999998,-64977.0,15590.61,10561807.0,-0.21698760986328125
1708473427.1390219,16035.150000000001,-64973.020000000004,15590.61,10559297.0,-0.21631240844726562
1708473427.2748075,16035.150000000001,-64973.020000000004,15586.660000000003,10557545.0,-0.21586990356445312
1708473427.410593,16035.150000000001,-64973.020000000004,15586.660000000003,10555154.0,-0.21525955200195312
