Epoch Time,x,y,z,SM
1708473673.1372864,-1644.4269816080728,-1642.208629184299,-531.0010027002405,-27.59516716003418
1708473673.1472936,-1644.3100682011357,-1642.0918923837166,-528.7827827312328,-36.20696783065796
1708473673.1573005,-1644.4269816080728,-1642.4421027854637,-529.3665550373219,-43.548431396484375
1708473673.1673076,-1644.5437184086552,-1642.5590161924008,-532.0517663602476,-38.104588985443115
1708473673.1773148,-1644.5437184086552,-1642.0918923837166,-531.2345204529938,-49.0773868560791
1708473673.1873217,-1645.594349613896,-1643.2594369958947,-534.3867231298376,-42.2654914855957
1708473673.1973288,-1645.1274024115667,-1642.9092265941479,-535.4374426382559,-45.36725044250488
1708473673.207336,-1645.244139212149,-1643.1427001953125,-537.7723994078459,-49.376845359802246
1708473673.2173429,-1645.3608760127313,-1643.1427001953125,-476.5964437414098,-41.4711332321167
1708473673.22735,-1645.244139212149,-1642.6757529929832,-663.9770225242332,-52.10664749145508
1708473673.2373571,-1644.5437184086552,-1642.208629184299,-604.6690322734692,-44.55713748931885
1708473673.247364,-1644.4269816080728,-1642.3253659848813,-605.1360236273871,-47.21128463745117
1708473673.2573712,-1644.7771920098198,-1642.4421027854637,-606.6537344897234,-50.96870422363281
1708473673.2673783,-1644.3100682011357,-1642.3253659848813,-605.6030149813051,-43.217453956604004
1708473673.2773852,-1644.7771920098198,-1642.4421027854637,-604.5522513212981,-52.746543884277344
1708473673.2873924,-1645.244139212149,-1643.2594369958947,-604.2020409195511,-45.05833625793457
1708473673.2973993,-1645.3608760127313,-1643.1427001953125,-605.0192426752161,-47.50128746032715
1708473673.3074064,-1645.244139212149,-1643.02596339473,-605.9532253830521,-51.19250774383545
1708473673.3174136,-1645.1274024115667,-1643.1427001953125,-605.9532253830521,-43.35299491882324
1708473673.3274205,-1645.1274024115667,-1643.1427001953125,-607.2374626442238,-52.863173484802246
1708473673.3374276,-1644.6604552092374,-1642.3253659848813,-609.3389458126492,-45.14029026031494
1708473673.3474348,-1644.7771920098198,-1642.4421027854637,-608.4049631048132,-47.576942443847656
1708473673.3574417,-1644.4269816080728,-1642.4421027854637,-620.896992860017,-51.356425285339355
1708473673.3674488,-1644.893928810402,-1642.4421027854637,-670.5149014790852,-43.85419845581055
1708473673.377456,-1644.6604552092374,-1642.5590161924008,-682.7734576331244,-53.59133243560791
1708473673.3874629,-1645.244139212149,-1643.3761737964771,-687.9103625262225,-46.092257499694824
1708473673.39747,-1645.1274024115667,-1642.9092265941479,-684.1744316948784,-48.550968170166016
1708473673.4074771,-1644.893928810402,-1642.9092265941479,-684.5246420966254,-52.33360290527344
1708473673.417484,-1645.244139212149,-1642.9092265941479,-681.1389658186171,-44.46887493133545
1708473673.4274912,-1645.4776128133137,-1643.1427001953125,-682.5399398803711,-53.97905349731445
1708473673.4374983,-1644.5437184086552,-1642.3253659848813,-681.3724835713704,-46.30030155181885
1708473673.4475052,-1644.4269816080728,-1642.208629184299,-683.5906593887894,-48.63292694091797
1708473673.4575124,-1645.0106656109845,-1642.4421027854637,-685.341888003879,-52.45969295501709
1708473673.4675195,-1644.6604552092374,-1642.4421027854637,-690.2453192958125,-44.598116874694824
1708473673.4775264,-1644.5437184086552,-1642.4421027854637,-688.4940906807228,-54.08622741699219
1708473673.4875336,-1645.1274024115667,-1643.02596339473,-636.0742339381464,-46.104865074157715
1708473673.4975407,-1588.621316132722,-1643.02596339473,-819.4853641368725,-49.40206050872803
1708473673.5075476,-1591.4233525594075,-1642.9092265941479,-769.8674555178042,-53.36752414703369
1708473673.5175548,-1593.2913179750794,-1643.2594369958947,-768.2329637032967,-45.572142601013184
1708473673.527562,-1593.8750019779911,-1642.9092265941479,-767.9994901021321,-55.135908126831055
1708473673.5375688,-1592.4739837646484,-1642.208629184299,-769.4005083154749,-47.54541873931885
1708473673.547576,-1591.8902997617367,-1642.6757529929832,-765.1975419786241,-49.827609062194824
1708473673.5575829,-1592.8241941663953,-1642.4421027854637,-765.1975419786241,-53.68905067443848
1708473673.56759,-1593.524791576244,-1642.3253659848813,-765.0808051780417,-45.767579078674316
1708473673.5775971,-1592.357246964066,-1642.3253659848813,-768.9334728099682,-55.25568962097168
1708473673.587604,-1593.6415283768265,-1642.9092265941479,-771.3852105317292,-47.65889644622803
1708473673.5976112,-1594.9258097895868,-1643.1427001953125,-771.3852105317292,-49.906415939331055
1708473673.6076183,-1593.9917387785733,-1643.2594369958947,-773.4866495485659,-53.811984062194824
1708473673.6176252,-1511.6843470820672,-1643.1427001953125,-731.4573835443567,-45.60366630554199
1708473673.6276324,-1345.7854588826497,-1642.6757529929832,-937.1673619305645,-56.28645896911621
1708473673.6376395,-1398.789087931315,-1642.5590161924008,-849.9565830937138,-48.686513900756836
1708473673.6476464,-1401.357474150481,-1642.4421027854637,-852.5250576160572,-51.00968360900879
1708473673.6576536,-1403.2255278693303,-1642.3253659848813,-853.9260758293999,-54.965691566467285
1708473673.6676607,-1403.3422646699128,-1642.208629184299,-852.1748472143103,-47.031612396240234
1708473673.6776676,-1402.6417555632413,-1642.3253659848813,-851.2408645064742,-56.52602672576904
1708473673.6876748,-1405.0934932850025,-1643.02596339473,-850.6570922003851,-48.93868923187256
1708473673.697682,-1403.6924750716598,-1642.9092265941479,-848.7891267847132,-51.11055374145508
1708473673.7076888,-1402.9919659649884,-1642.9092265941479,-851.3576013070565,-55.03188610076904
1708473673.717696,-1401.8245096559876,-1642.6757529929832,-851.4743381076388,-47.06313133239746
1708473673.727703,-1405.7939140884964,-1643.8431209988064,-856.2609884474012,-56.56700611114502
1708473673.73771,-1405.4437036867494,-1642.3253659848813,-856.4944620485659,-49.004883766174316
1708473673.7477171,-1403.1087027655706,-1642.3253659848813,-859.7634456775806,-51.20512008666992
1708473673.7577243,-1329.9077528494374,-1641.9751555831342,-817.5006619206181,-54.89634037017822
1708473673.7677312,-1193.5460125958477,-1642.208629184299,-960.5170179296423,-47.65259265899658
1708473673.7777383,-1201.951856966372,-1642.208629184299,-927.4773244504574,-57.3392915725708
1708473673.7877455,-1201.6016465646248,-1642.9092265941479,-929.8122370684588,-49.90010738372803
1708473673.7977524,-1202.535629272461,-1642.7924897935654,-931.6802024841309,-52.14447498321533
1708473673.8077595,-1202.4188924718785,-1642.9092265941479,-929.3452898661295,-56.14145755767822
1708473673.8177667,-1203.11940157855,-1643.2594369958947,-928.4113071582935,-48.166399002075195
1708473673.8277736,-1203.0026647779675,-1642.9092265941479,-929.1117279617874,-57.66396999359131
1708473673.8377807,-1200.317453455042,-1641.9751555831342,-928.0610084533691,-50.09554386138916
1708473673.8477876,-1199.0331720422814,-1642.208629184299,-930.3960093745478,-52.251648902893066
1708473673.8577948,-1201.8351201657895,-1642.208629184299,-928.8782543606228,-56.23917579650879
1708473673.867802,-1202.4188924718785,-1642.3253659848813,-935.8831688209816,-48.27357769012451
1708473673.8778088,-1201.6016465646248,-1642.208629184299,-935.649695219817,-57.761688232421875
1708473673.887816,-1132.1365391766583,-1642.6757529929832,-903.5439844484682,-50.05141258239746
1708473673.897823,-997.4093790407534,-1642.5590161924008,-1061.5040637828686,-53.02393436431885
1708473673.90783,-997.059080335829,-1643.1427001953125,-993.7901850099917,-57.05244541168213
1708473673.9178371,-993.7901850099917,-1642.7924897935654,-998.1098881474247,-49.08999443054199
1708473673.9278443,-992.6227287009909,-1642.5590161924008,-998.3433617485894,-58.6285400390625
1708473673.9378512,-990.8715000859013,-1641.858418782552,-996.5921331334996,-51.11055374145508
1708473673.9478583,-991.5719208893952,-1642.208629184299,-996.708869934082,-53.19730758666992
1708473673.9578655,-994.7241677178276,-1641.9751555831342,-994.84090451841,-57.251033782958984
1708473673.9678724,-991.2217104876482,-1641.858418782552,-999.6275548581723,-49.23499584197998
1708473673.9778795,-991.3384472882306,-1641.9751555831342,-995.8916240268283,-58.70734691619873
1708473673.9878867,-993.4398863050673,-1642.7924897935654,-997.7595894425003,-51.208271980285645
1708473673.9978936,-993.6734482094093,-1643.2594369958947,-1000.6782743665907,-53.269805908203125
1708473674.0079007,-993.906921810574,-1642.6757529929832,-1001.9625557793511,-57.3392915725708
1708473674.0179079,-992.0389563949019,-1642.6757529929832,-1005.2314511051884,-49.30119037628174
1708473674.0279148,-767.0655073942961,-1642.7924897935654,-1182.5716937029802,-59.91463661193848
1708473674.037922,-784.5777052420157,-1642.208629184299,-1042.0070754157173,-52.09403991699219
1708473674.047929,-784.4609684414334,-1642.208629184299,-1048.661779474329,-54.083075523376465
1708473674.057936,-786.0954602559407,-1641.858418782552,-1051.813937999584,-58.13994884490967
1708473674.067943,-785.9787234553584,-1642.208629184299,-1047.8445335670754,-50.03880500793457
1708473674.0779502,-784.8111788431803,-1642.3253659848813,-1049.0119898760759,-59.51115608215332
1708473674.0879571,-787.1461797643591,-1643.02596339473,-1050.529744890001,-52.0215368270874
1708473674.0979643,-787.1461797643591,-1642.7924897935654,-1048.5449543705693,-54.0137243270874
1708473674.1079712,-787.1461797643591,-1642.6757529929832,-1050.879955291748,-58.111581802368164
1708473674.1179783,-788.1968992727774,-1642.6757529929832,-1049.362200277823,-50.02619743347168
1708473674.1279855,-786.56240745827,-1642.6757529929832,-1051.3469907972546,-59.49854850769043
1708473674.1379924,-784.4609684414334,-1642.208629184299,-1051.813937999584,-52.0215368270874
1708473674.1479995,-784.8111788431803,-1642.208629184299,-1054.1489389207627,-54.04209613800049
1708473674.1580067,-737.8785256986264,-1642.208629184299,-1037.1036882753724,-58.06114673614502
1708473674.1680136,-576.1825155328821,-1642.208629184299,-1190.0435553656685,-50.858378410339355
1708473674.1780207,-588.6745452880859,-1642.4421027854637,-1077.0314711111562,-60.081706047058105
1708473674.1880279,-586.8065798724139,-1642.6757529929832,-1080.0669811390064,-52.566866874694824
1708473674.1980348,-587.6238257796675,-1642.4421027854637,-1081.0009638468423,-54.502315521240234
1708473674.208042,-588.9080188892506,-1642.208629184299,-1079.2497352317528,-58.61593246459961
1708473674.218049,-586.5730621196606,-1642.4421027854637,-1079.950244338424,-50.49272060394287
1708473674.228056,-588.3242907347502,-1642.3253659848813,-1079.8335075378418,-59.94300842285156
1708473674.238063,-586.1060707657425,-1641.7416819819696,-1078.432489324499,-52.46284484863281
1708473674.2480702,-588.3242907347502,-1641.858418782552,-1078.5492261250813,-54.44872856140137
1708473674.2580771,-585.1720880579065,-1642.0918923837166,-1079.5999456334996,-58.59071731567383
1708473674.2680843,-586.5730621196606,-1641.9751555831342,-1084.1531223720974,-50.505332946777344
1708473674.2780914,-587.6238257796675,-1641.858418782552,-1084.620157877604,-59.98713970184326
1708473674.2880983,-551.7821400253861,-1642.208629184299,-1073.5291021841542,-52.497520446777344
1708473674.2981055,-406.3141345977783,-1642.4421027854637,-1159.22212600708,-54.9373197555542
1708473674.3081126,-406.54760819894295,-1642.4421027854637,-1077.148296214916,-58.836588859558105
1708473674.3181195,-402.34468601368087,-1642.208629184299,-1087.1886323999474,-50.65663814544678
1708473674.3281267,-401.76095785918056,-1642.3253659848813,-1088.706299110695,-60.103769302368164
1708473674.3381338,-403.0451951203523,-1641.7416819819696,-1086.254561388934,-52.66458511352539
1708473674.3481407,-403.3954055220992,-1642.0918923837166,-1087.1886323999474,-54.559054374694824
1708473674.3581479,-403.0451951203523,-1642.0918923837166,-1089.0565978156196,-58.75147819519043
1708473674.368155,-400.59345739859117,-1641.7416819819696,-1088.2393519083657,-50.60620307922363
1708473674.378162,-403.3954055220992,-1641.9751555831342,-1087.8890532034413,-60.07539749145508
1708473674.388169,-403.1619319209346,-1642.4421027854637,-1088.3560887089482,-52.64252185821533
1708473674.398176,-402.22794921309855,-1642.3253659848813,-1091.3915104336209,-54.559054374694824
1708473674.408183,-400.8269751513446,-1642.3253659848813,-1093.6097745542172,-58.79560947418213
1708473674.4181902,-403.0451951203523,-1642.3253659848813,-1092.3254931414567,-50.63772201538086
1708473674.4281971,-377.5941001044379,-1642.208629184299,-1082.2851569564255,-60.0501823425293
1708473674.4382043,-233.76054233974878,-1641.9751555831342,-1182.2214833012333,-53.22882652282715
1708473674.4482114,-239.48119746314154,-1642.0918923837166,-1073.0620666786476,-54.7324275970459
1708473674.4582183,-237.1462406935515,-1641.858418782552,-1075.280330799244,-58.80821704864502
1708473674.4682255,-240.29844337039523,-1641.7416819819696,-1072.828593077483,-50.543155670166016
1708473674.4782326,-238.8974693086412,-1641.7416819819696,-1072.7118562769006,-59.93040084838867
