,x,y,z,temp,temp_error
1708474367.747676,14234.480000000003,43269.03,-965.0200000000004,9491527.0,-0.24880599975585938
1708474367.8816504,14826.75,45662.94,-1186.5,9553352.0,-0.2582569122314453
1708474368.015625,15371.330000000002,47989.36,-1443.5699999999997,9623321.0,-0.26784515380859375
1708474368.1495996,15860.25,50220.5,-1732.2900000000009,9705299.0,-0.2784767150878906
1708474368.2835739,16289.550000000003,52332.55,-2044.7299999999996,9794288.0,-0.28887367248535156
1708474368.4175484,16655.25,54305.64,-2384.8600000000006,9891712.0,-0.29815101623535156
1708474368.551523,16957.35,56119.92,-2748.720000000001,10003427.0,-0.3073616027832031
1708474368.6854975,17191.870000000003,57759.53,-3124.4500000000007,10127768.0,-0.3158435821533203
1708474368.819472,17366.78,59216.53,-3508.09,10264201.0,-0.32233619689941406
1708474368.9534466,17486.019999999997,60490.89,-3891.720000000001,10419874.0,-0.3276557922363281
1708474369.0874212,17553.6,61586.61,-4267.439999999999,10597999.0,-0.33209228515625
1708474369.2213957,17577.449999999997,62515.600000000006,-4627.3499999999985,10799200.0,-0.3347949981689453
1708474369.35537,17565.519999999997,63293.72,-4967.48,11030295.0,-0.3363380432128906
1708474369.4893446,17525.78,63940.83,-5287.84,11110477.0,-0.3374214172363281
1708474369.6233191,17462.18,64472.81,-5584.459999999999,11097190.0,-0.3376598358154297
1708474369.7572937,17378.699999999997,64901.57000000001,-5857.3499999999985,11083198.0,-0.33725547790527344
1708474369.8912683,17283.300000000003,65246.96000000001,-6110.470000000001,11070054.0,-0.3366355895996094
1708474370.0252428,17175.980000000003,65520.89,-6339.860000000001,11057415.0,-0.3359088897705078
1708474370.1592174,17064.68,65735.27,-6545.52,11045277.0,-0.3347911834716797
1708474370.293192,16949.4,65902.0,-6731.41,11034376.0,-0.3336372375488281
1708474370.4271662,16834.120000000003,66029.05,-6897.52,11025004.0,-0.33258628845214844
1708474370.5611408,16718.85,66120.35,-7043.8499999999985,11016059.0,-0.33135223388671875
1708474370.6951153,16607.550000000003,66187.85,-7174.369999999999,11008133.0,-0.3301563262939453
1708474370.8290899,16496.25,66231.52,-7289.07,11001335.0,-0.3289966583251953
1708474370.9630644,16388.92,66259.31,-7391.889999999999,10995146.0,-0.3279151916503906
1708474371.097039,16289.550000000003,66275.18,-7478.91,10989676.0,-0.326812744140625
1708474371.2310135,16194.150000000001,66279.16,-7558.0,10984608.0,-0.32572174072265625
1708474371.364988,16102.730000000003,66275.18,-7625.240000000002,10980562.0,-0.3248023986816406
1708474371.4989624,16019.25,66263.28,-7684.57,10976287.0,-0.32378578186035156
1708474371.632937,15939.75,66247.4,-7735.98,10972627.0,-0.3228759765625
1708474371.7669115,15868.199999999997,66227.55,-7779.48,10969414.0,-0.3219738006591797
1708474371.900886,15800.620000000003,66207.69,-7819.029999999999,10966471.0,-0.32118988037109375
1708474372.0348606,15737.019999999997,66187.85,-7854.630000000001,10963733.0,-0.32038307189941406
1708474372.1688352,15677.400000000001,66164.03,-7886.27,10961017.0,-0.3195838928222656
1708474372.3028097,15621.75,66140.21,-7910.0,10958929.0,-0.31893157958984375
1708474372.4367843,15570.080000000002,66116.39,-7933.73,10956583.0,-0.31821250915527344
1708474372.5707586,15526.349999999999,66092.57,-7953.5,10954481.0,-0.31757545471191406
1708474372.7047331,15482.620000000003,66072.72,-7969.32,10952679.0,-0.3169403076171875
1708474372.8387077,15442.870000000003,66052.86,-7985.139999999999,10950937.0,-0.31640052795410156
1708474372.9726822,15407.099999999999,66033.01,-7997.009999999998,10949293.0,-0.3158397674560547
1708474373.1066568,15375.300000000003,66013.17,-8008.869999999999,10947420.0,-0.31524085998535156
1708474373.2406313,15347.480000000003,65993.32,-8016.779999999999,10946090.0,-0.3148002624511719
1708474373.374606,15319.650000000001,65977.44,-8024.689999999999,10944521.0,-0.31427955627441406
1708474373.5085804,15295.800000000003,65961.56,-8032.5999999999985,10942889.0,-0.3137950897216797
1708474373.6425548,15275.919999999998,65945.67,-8036.560000000001,10941763.0,-0.3133506774902344
1708474373.7765293,15256.050000000003,65929.8,-8040.509999999998,10940429.0,-0.3129539489746094
1708474373.9105039,15240.150000000001,65913.92,-8044.470000000001,10939226.0,-0.3125476837158203
1708474374.0444784,15224.25,65902.0,-8048.419999999998,10937896.0,-0.3121013641357422
1708474374.178453,15208.349999999999,65890.1,-8052.380000000001,10936870.0,-0.31178855895996094
1708474374.3124275,15196.419999999998,65878.18,-8056.34,10935622.0,-0.3113861083984375
1708474374.446402,15184.5,65866.28,-8060.290000000001,10934347.0,-0.3110065460205078
1708474374.5803766,15172.580000000002,65854.36,-8060.290000000001,10933358.0,-0.3106689453125
