,x,y,z,temp,temp_error
1708450654.5671978,11432.099999999999,-8495.8,1087.6200000000026,10627948.0,-0.22866058349609375
1708450654.7009735,12163.5,-8551.380000000001,1095.5299999999988,10631551.0,-0.22957611083984375
1708450654.8347495,12906.82,-8591.080000000002,1103.4400000000023,10633936.0,-0.23023033142089844
1708450654.9685252,13666.050000000003,-8618.869999999999,1107.4000000000015,10636487.0,-0.23080062866210938
1708450655.102301,14437.199999999997,-8630.779999999999,1111.3499999999985,10640265.0,-0.23160743713378906
1708450655.2360766,15224.25,-8630.779999999999,1115.3099999999977,10643800.0,-0.2325611114501953
1708450655.3698525,16023.230000000003,-8622.84,1119.260000000002,10646563.0,-0.2332286834716797
1708450655.5036283,16838.1,-8606.96,1123.2200000000012,10649948.0,-0.23391342163085938
1708450655.637404,17668.870000000003,-8579.169999999998,1127.1699999999983,10654248.0,-0.23497581481933594
1708450655.77118,18511.58,-8543.439999999999,1131.1299999999974,10657426.0,-0.23578262329101562
1708450655.9049556,19370.18,-8503.740000000002,1139.0400000000009,10660180.0,-0.2364368438720703
1708450656.0387313,20244.68,-8460.07,1146.949999999997,10664125.0,-0.23728370666503906
1708450656.1725073,21135.08,-8404.490000000002,1154.8600000000006,10668043.0,-0.23835182189941406
1708450656.306283,22045.35,-8344.939999999999,1162.7699999999968,10670671.0,-0.23904037475585938
1708450656.4400587,22971.519999999997,-8285.39,1170.6800000000003,10673870.0,-0.23973464965820312
1708450656.5738344,23913.6,-8217.900000000001,1178.5899999999965,10678356.0,-0.2408466339111328
1708450656.7076104,24871.58,-8142.470000000001,1190.449999999997,10681394.0,-0.2416839599609375
1708450656.841386,25845.449999999997,-8067.040000000001,1202.3199999999997,10683920.0,-0.2423229217529297
1708450656.9751618,26835.230000000003,-7987.639999999999,1214.1800000000003,10687658.0,-0.24315261840820312
1708450657.1089377,27840.9,-7896.330000000002,1226.050000000003,10691277.0,-0.24420928955078125
1708450657.2427135,28862.480000000003,-7801.049999999999,1241.8700000000026,10693839.0,-0.24489974975585938
1708450657.3764892,29899.949999999997,-7705.77,1257.6900000000023,10696432.0,-0.24549102783203125
1708450657.510265,30953.33,-7598.580000000002,1273.510000000002,10700318.0,-0.24653053283691406
1708450657.6440408,32018.620000000003,-7487.419999999998,1289.3300000000017,10702924.0,-0.24730873107910156
1708450657.7778165,33095.850000000006,-7372.290000000001,1309.0999999999985,10704765.0,-0.24784469604492188
1708450657.9115922,34185.0,-7245.25,1332.8300000000017,10707675.0,-0.24851036071777344
1708450658.0453682,35282.100000000006,-7106.299999999999,1356.5699999999997,10710905.0,-0.24949073791503906
1708450658.179144,36383.17,-6963.380000000001,1384.25,10712800.0,-0.25007057189941406
1708450658.3129196,37488.229999999996,-6812.52,1411.9300000000003,10714391.0,-0.2504901885986328
1708450658.4466956,38589.3,-6649.75,1443.5699999999997,10717826.0,-0.251373291015625
1708450658.5804713,39690.380000000005,-6475.07,1475.2099999999991,10719760.0,-0.25205421447753906
1708450658.714247,40783.5,-6296.419999999998,1510.8099999999977,10720944.0,-0.25246429443359375
1708450658.848023,41864.71000000001,-6105.860000000001,1550.3600000000006,10722882.0,-0.25290870666503906
1708450658.9817986,42926.03,-5903.389999999999,1589.9100000000035,10725596.0,-0.2537422180175781
1708450659.1155744,43967.479999999996,-5689.009999999998,1633.4100000000035,10726826.0,-0.2541999816894531
1708450659.24935,44985.08,-5470.66,1680.8700000000026,10727944.0,-0.25450706481933594
1708450659.383126,45970.880000000005,-5240.4000000000015,1728.3300000000017,10730690.0,-0.2551746368408203
1708450659.5169017,46920.91,-5002.200000000001,1775.800000000003,10732718.0,-0.255828857421875
1708450659.6506774,47831.17999999999,-4760.029999999999,1827.2099999999991,10734001.0,-0.2562236785888672
1708450659.7844534,48697.729999999996,-4517.860000000001,1882.5800000000017,10735845.0,-0.2565898895263672
1708450659.918229,49516.58,-4271.720000000001,1937.949999999997,10738726.0,-0.25737571716308594
1708450660.0520048,50283.75,-4025.5800000000017,1993.3199999999997,10740579.0,-0.2578887939453125
1708450660.1857808,50999.25,-3783.41,2048.6900000000023,10741800.0,-0.2582111358642578
1708450660.3195565,51659.100000000006,-3545.209999999999,2104.0599999999977,10744600.0,-0.2588367462158203
1708450660.4533322,52263.3,-3310.9799999999996,2159.4300000000003,10746971.0,-0.25951385498046875
1708450660.587108,52815.83,-3088.66,2214.800000000003,10748403.0,-0.2599353790283203
1708450660.7208838,53312.71000000001,-2874.279999999999,2270.1699999999983,10749583.0,-0.26023101806640625
1708450660.8546596,53761.880000000005,-2671.8100000000013,2321.5800000000017,10751949.0,-0.2608909606933594
1708450660.9884353,54159.380000000005,-2485.220000000001,2369.050000000003,10752801.0,-0.2612648010253906
1708450661.1222112,54513.16,-2310.540000000001,2412.550000000003,10752642.0,-0.2614021301269531
1708450661.255987,54827.17999999999,-2147.7700000000004,2452.0999999999985,10753682.0,-0.2617168426513672
1708450661.3897626,55101.46000000001,-1996.9099999999999,2487.6900000000023,10753797.0,-0.26201438903808594
