Epoch Time,x,y,z,SM
1708452024.785477,1633.5934179800527,-486.6367799264413,-143.16408722488967,-20.44283151626587
1708452024.795487,1634.2940153899015,-482.0836031878436,-140.94587829377915,-25.747978687286377
1708452024.8054967,1634.410752190484,-479.39839186491787,-145.2655483175207,-29.798550605773926
1708452024.8155067,1634.410752190484,-483.6013140501799,-145.8492875099182,-22.655673027038574
1708452024.8255165,1634.527488991066,-484.8855513113516,-141.52961748617665,-33.18716287612915
1708452024.8355265,1634.410752190484,-481.61661183392556,-140.94587829377915,-24.61003541946411
1708452024.8455362,1633.710154780635,-482.31707678900824,-144.09806993272568,-28.39897632598877
1708452024.8555462,1633.3597677725331,-462.23644857053404,-165.46295748816596,-31.481823921203613
1708452024.8655562,1633.8268915812173,-438.419845369127,-188.92930613623724,-23.7589430809021
1708452024.875566,1633.710154780635,-420.9076475214075,-175.62003047377974,-33.7955379486084
1708452024.885576,1633.8268915812173,-418.92290115356445,-178.88898098910295,-24.928407669067383
1708452024.8955858,1634.410752190484,-417.7554448445638,-179.82296369693896,-28.506150245666504
1708452024.9055958,1634.2940153899015,-419.2731557069001,-174.91954344290272,-31.40932321548462
1708452024.9156058,1634.410752190484,-419.1564189063178,-175.85353718863593,-23.604485988616943
1708452024.9256155,1634.410752190484,-415.1869703222204,-176.32052854255392,-33.68520975112915
1708452024.9356256,1634.527488991066,-413.0855313053837,-177.13776341191044,-24.827537536621094
1708452024.9456353,1633.3597677725331,-418.92290115356445,-180.87369424325448,-28.49984645843506
1708452024.9556453,1633.710154780635,-418.3391729990641,-177.60475476582843,-31.40932321548462
1708452024.965655,1633.710154780635,-414.8367157688847,-176.78751989647193,-23.582420349121094
1708452024.975665,1633.710154780635,-412.96875035321267,-180.28995505085697,-33.68520975112915
1708452024.985675,1633.5934179800527,-399.0757465362549,-198.5026509673507,-24.865365028381348
1708452024.9956849,1634.527488991066,-374.20842382642957,-221.15175370816831,-28.543977737426758
1708452025.0056949,1634.527488991066,-354.0110146557843,-198.7361466443097,-31.261169910430908
1708452025.0157046,1634.060365182382,-352.37654491707127,-199.4366336751867,-23.36491823196411
1708452025.0257146,1634.410752190484,-352.1430492401123,-203.40606018348976,-33.420424461364746
1708452025.0357244,1634.2940153899015,-352.1430492401123,-201.8883493211534,-24.524927139282227
1708452025.0457344,1633.710154780635,-352.8435362709893,-200.25385750664603,-28.134191036224365
1708452025.0557444,1633.710154780635,-348.29035953239156,-202.23858179869475,-30.999538898468018
