Epoch Time,x,y,z
1717695431.834307,373.55595164828827,-391.2675380706787,-389.9370299445258
1717695431.8443527,187.62233080687346,-391.30259443212435,-391.34926266140405
1717695431.8543987,-182.5461564240632,-391.34926266140405,-391.3609186808268
1717695431.8644445,-391.37261885183824,-391.34926266140405,-391.37261885183824
1717695431.8744903,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717695431.8845363,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717695431.894582,-391.34926266140405,-391.34926266140405,-391.37261885183824
1717695431.9046278,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717695431.9146736,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717695431.9247196,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717695431.9347653,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717695431.944811,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717695431.954857,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717695431.9649029,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695431.9749486,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695431.9849946,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717695431.9950404,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717695432.0050862,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717695432.015132,-391.34926266140405,-391.3609186808268,-391.34926266140405
1717695432.025178,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717695432.0352237,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717695432.0452695,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717695432.0553155,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717695432.0653613,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717695432.075407,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717695432.085453,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717695432.0954988,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717695432.1055446,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717695432.1155903,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717695432.1256363,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.135682,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717695432.1457279,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.1557739,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.1658196,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717695432.1758654,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717695432.1859114,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717695432.1959572,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717695432.206003,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717695432.2160487,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717695432.2260947,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717695432.2361405,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.2461863,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717695432.2562323,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717695432.266278,-391.37261885183824,-391.3609186808268,-391.384274871261
1717695432.2763238,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.2863698,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.2964156,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717695432.3064613,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717695432.316507,-391.34926266140405,-391.3609186808268,-391.34926266140405
1717695432.326553,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.3365989,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.3466446,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717695432.3566906,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717695432.3667364,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.3767822,-391.37261885183824,-391.34926266140405,-391.37261885183824
1717695432.3868282,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.396874,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.4069197,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717695432.4169655,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717695432.4270115,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717695432.4370573,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717695432.447103,-391.3609186808268,-391.3609186808268,-391.3609186808268
