,x,y,z,temp,temp_error
1717695431.8087814,-13733.619999999999,-11433.599999999999,-23528.3,10203782.0,0.0
1717695431.9427502,-14397.45,-12124.380000000001,-25137.98,10252502.0,-0.10371017456054688
1717695432.076719,-15045.369999999999,-12819.130000000001,-26771.4,10307297.0,-0.11497306823730469
1717695432.2106879,-15673.419999999998,-13513.880000000001,-28416.68,10359836.0,-0.1259784698486328
1717695432.344657,-16277.619999999999,-14212.599999999999,-30065.91,10416409.0,-0.13757705688476562
1717695432.4786258,-16854.0,-14907.349999999999,-31707.24,10476176.0,-0.15044212341308594
1717695432.6125946,-17398.58,-15602.099999999999,-33324.83,10532312.0,-0.1627368927001953
1717695432.7465634,-17907.379999999997,-16284.939999999999,-34902.88,10590094.0,-0.17536163330078125
1717695432.8805323,-18380.4,-16959.84,-36433.46,10647545.0,-0.18863677978515625
1717695433.014501,-18813.68,-17614.89,-37896.81,10698192.0,-0.2007598876953125
1717695433.14847,-19207.2,-18250.09,-39281.06,10747789.0,-0.2128887176513672
1717695433.2824388,-19560.98,-18857.5,-40570.39,10792756.0,-0.2247753143310547
1717695433.4164078,-19871.03,-19437.120000000003,-41760.85,10828572.0,-0.2349872589111328
1717695433.5503767,-20137.35,-19977.04,-42840.56,10860171.0,-0.24465179443359375
1717695433.6843455,-20367.9,-20477.260000000002,-43809.54,10884650.0,-0.2533721923828125
1717695433.8183143,-20558.7,-20933.809999999998,-44663.82,10899234.0,-0.2602214813232422
1717695433.9522831,-20713.72,-21342.72,-45411.31,10908597.0,-0.26609230041503906
1717695434.086252,-20836.95,-21703.989999999998,-46059.93,10911602.0,-0.2708721160888672
1717695434.2202208,-20928.379999999997,-22025.559999999998,-46617.59,10908186.0,-0.274078369140625
1717695434.3541899,-20991.98,-22303.46,-47092.19,10902610.0,-0.27667236328125
1717695434.4881587,-21035.7,-22533.72,-47495.6,10894261.0,-0.27848052978515625
1717695434.6221275,-21059.55,-22732.22,-47835.729999999996,10883820.0,-0.279388427734375
1717695434.7560964,-21067.5,-22906.9,-48124.44,10873728.0,-0.2800579071044922
1717695434.8900652,-21059.55,-23057.760000000002,-48365.7,10863894.0,-0.2804126739501953
1717695435.024034,-21035.7,-23188.77,-48567.4,10854189.0,-0.2803153991699219
1717695435.1580029,-21003.9,-23299.93,-48737.46,10845618.0,-0.2802009582519531
1717695435.291972,-20960.18,-23395.21,-48883.8,10837551.0,-0.2799358367919922
1717695435.4259408,-20908.5,-23474.61,-49002.45,10830243.0,-0.2794513702392578
1717695435.5599096,-20852.85,-23550.04,-49105.28,10823570.0,-0.2789897918701172
1717695435.6938784,-20793.22,-23613.559999999998,-49192.29,10817857.0,-0.2785072326660156
1717695435.8278472,-20729.629999999997,-23661.2,-49263.479999999996,10812372.0,-0.2778663635253906
1717695435.961816,-20666.03,-23696.93,-49322.81,10807450.0,-0.2772789001464844
1717695436.095785,-20606.4,-23720.75,-49374.22,10802913.0,-0.2766742706298828
1717695436.2297537,-20546.78,-23740.6,-49421.68,10798293.0,-0.27594566345214844
1717695436.3637228,-20491.129999999997,-23752.510000000002,-49461.240000000005,10794315.0,-0.2752704620361328
1717695436.4976916,-20439.45,-23756.48,-49492.880000000005,10790515.0,-0.27462005615234375
1717695436.6316605,-20395.72,-23752.510000000002,-49516.6,10786810.0,-0.2738800048828125
1717695436.7656293,-20359.95,-23744.57,-49540.33,10782941.0,-0.2731189727783203
1717695436.8995981,-20328.15,-23732.66,-49560.11,10779249.0,-0.2723884582519531
1717695437.033567,-20308.28,-23712.809999999998,-49575.93,10775968.0,-0.2716522216796875
1717695437.1675358,-20292.379999999997,-23692.96,-49587.79,10772232.0,-0.2708320617675781
1717695437.3015049,-20284.43,-23673.11,-49599.66,10768699.0,-0.27007293701171875
1717695437.4354737,-20284.43,-23653.260000000002,-49607.57,10765453.0,-0.2692985534667969
1717695437.5694425,-20288.4,-23633.41,-49615.479999999996,10761844.0,-0.26845550537109375
1717695437.7034113,-20300.32,-23613.559999999998,-49623.39,10758306.0,-0.26767921447753906
1717695437.8373802,-20312.25,-23601.65,-49627.34,10755143.0,-0.26688385009765625
1717695437.971349,-20324.18,-23589.739999999998,-49631.3,10751821.0,-0.2660675048828125
1717695438.1053178,-20336.1,-23581.8,-49635.25,10748391.0,-0.2652587890625
1717695438.2392867,-20348.03,-23569.89,-49639.21,10745455.0,-0.2645092010498047
1717695438.3732557,-20359.95,-23561.95,-49643.16,10741988.0,-0.26364898681640625
1717695438.5072246,-20371.879999999997,-23557.98,-49647.119999999995,10738615.0,-0.2628326416015625
1717695438.6411934,-20379.82,-23565.92,-49643.16,10735797.0,-0.2621021270751953
1717695438.7751622,-20379.82,-23581.8,-49647.119999999995,10732770.0,-0.2612934112548828
1717695438.909131,-20375.85,-23593.71,-49647.119999999995,10729788.0,-0.2605171203613281
1717695439.0430999,-20363.93,-23605.620000000003,-49647.119999999995,10727133.0,-0.2598228454589844
1717695439.1770687,-20352.0,-23621.5,-49651.08,10724154.0,-0.2590351104736328
1717695439.3110378,-20332.129999999997,-23641.35,-49651.08,10721027.0,-0.25824546813964844
1717695439.4450066,-20312.25,-23661.2,-49651.08,10718441.0,-0.2575664520263672
1717695439.5789754,-20284.43,-23681.05,-49651.08,10715526.0,-0.2567920684814453
1717695439.7129443,-20256.6,-23692.96,-49655.03,10712510.0,-0.2560100555419922
1717695439.846913,-20228.78,-23700.9,-49658.979999999996,10709787.0,-0.25533294677734375
1717695439.980882,-20204.93,-23708.84,-49662.94,10706927.0,-0.2545623779296875
1717695440.1148508,-20181.08,-23712.809999999998,-49666.89,10703828.0,-0.2537860870361328
1717695440.2488196,-20157.22,-23712.809999999998,-49666.89,10700921.0,-0.25307655334472656
1717695440.3827887,-20137.35,-23708.84,-49666.89,10697902.0,-0.2522850036621094
1717695440.5167575,-20125.43,-23692.96,-49670.85,10694555.0,-0.25147438049316406
1717695440.6507263,-20117.48,-23681.05,-49670.85,10691557.0,-0.2507476806640625
1717695440.7846951,-20117.48,-23665.17,-49670.85,10688436.0,-0.24994468688964844
1717695440.918664,-20125.43,-23649.29,-49670.85,10685121.0,-0.24912261962890625
1717695441.0526328,-20137.35,-23633.41,-49670.85,10682001.0,-0.24837493896484375
1717695441.1866016,-20153.25,-23613.559999999998,-49670.85,10678902.0,-0.24756622314453125
1717695441.3205707,-20177.1,-23593.71,-49674.8,10675514.0,-0.246734619140625
1717695441.4545395,-20204.93,-23577.83,-49674.8,10672554.0,-0.24599075317382812
1717695441.5885084,-20232.75,-23569.89,-49674.8,10669519.0,-0.24521636962890625
1717695441.7224772,-20256.6,-23561.95,-49674.8,10666113.0,-0.24434661865234375
1717695441.856446,-20280.45,-23554.010000000002,-49674.8,10662627.0,-0.2435474395751953
1717695441.9904149,-20304.3,-23546.07,-49674.8,10659652.0,-0.24277114868164062
1717695442.1243837,-20324.18,-23542.1,-49674.8,10656350.0,-0.24190521240234375
1717695442.2583528,-20340.08,-23542.1,-49674.8,10653449.0,-0.24118614196777344
1717695442.3923216,-20352.0,-23546.07,-49674.8,10650444.0,-0.24040603637695312
1717695442.5262904,-20359.95,-23557.98,-49670.85,10647557.0,-0.23959732055664062
1717695442.6602592,-20359.95,-23573.86,-49670.85,10644698.0,-0.23888778686523438
1717695442.794228,-20352.0,-23585.77,-49670.85,10642161.0,-0.23816871643066406
1717695442.928197,-20340.08,-23605.620000000003,-49670.85,10639347.0,-0.237396240234375
1717695443.0621657,-20324.18,-23629.440000000002,-49670.85,10636737.0,-0.2367267608642578
1717695443.1961346,-20304.3,-23657.23,-49670.85,10634444.0,-0.23607254028320312
1717695443.3301036,-20280.45,-23677.08,-49674.8,10631791.0,-0.23532867431640625
1717695443.4640725,-20256.6,-23685.02,-49678.759999999995,10628618.0,-0.23459243774414062
1717695443.5980413,-20228.78,-23696.93,-49682.72,10626110.0,-0.2339153289794922
1717695443.7320101,-20204.93,-23704.870000000003,-49686.67,10623394.0,-0.2331829071044922
1717695443.865979,-20181.08,-23708.84,-49686.67,10620800.0,-0.23250389099121094
1717695443.9999478,-20161.2,-23712.809999999998,-49690.619999999995,10618015.0,-0.23181724548339844
1717695444.1339166,-20145.3,-23708.84,-49690.619999999995,10615039.0,-0.23104476928710938
1717695444.2678857,-20133.379999999997,-23696.93,-49694.58,10611973.0,-0.23030662536621094
1717695444.4018545,-20129.4,-23685.02,-49698.53,10609111.0,-0.22960853576660156
1717695444.5358233,-20133.379999999997,-23669.14,-49698.53,10606132.0,-0.22883987426757812
1717695444.6697922,-20141.32,-23653.260000000002,-49694.58,10602761.0,-0.2280406951904297
1717695444.803761,-20153.25,-23633.41,-49694.58,10600045.0,-0.2273540496826172
1717695444.9377298,-20173.129999999997,-23613.559999999998,-49694.58,10596820.0,-0.22653770446777344
1717695445.0716987,-20196.98,-23593.71,-49694.58,10593512.0,-0.22574424743652344
1717695445.2056675,-20224.8,-23581.8,-49694.58,10590468.0,-0.22501754760742188
1717695445.3396366,-20252.629999999997,-23573.86,-49694.58,10587462.0,-0.2242259979248047
1717695445.4736054,-20276.48,-23565.92,-49690.619999999995,10584339.0,-0.22344970703125
1717695445.6075742,-20300.32,-23561.95,-49690.619999999995,10581379.0,-0.22271347045898438
1717695445.741543,-20324.18,-23554.010000000002,-49690.619999999995,10578620.0,-0.2219676971435547
1717695445.875512,-20344.05,-23550.04,-49690.619999999995,10575519.0,-0.2211894989013672
1717695446.0094807,-20359.95,-23554.010000000002,-49690.619999999995,10572593.0,-0.22045135498046875
1717695446.1434495,-20367.9,-23565.92,-49686.67,10570169.0,-0.2197704315185547
