,x,y,z,temp,temp_error
1717693862.490148,12731.919999999998,-13640.919999999998,23931.699999999997,9980386.0,-0.05845069885253906
1717693862.6295624,13586.550000000003,-13875.150000000001,25339.690000000002,9993296.0,-0.061145782470703125
1717693862.7689764,14449.120000000003,-14049.830000000002,26763.480000000003,10007093.0,-0.06379127502441406
1717693862.9083908,15315.669999999998,-14168.93,28203.1,10024555.0,-0.06716537475585938
1717693863.047805,16186.199999999997,-14228.48,29658.550000000003,10044410.0,-0.07122802734375
1717693863.1872194,17052.75,-14232.45,31133.760000000002,10063884.0,-0.07524490356445312
1717693863.3266335,17915.32,-14176.869999999999,32624.800000000003,10084834.0,-0.07927131652832031
1717693863.4660478,18769.949999999997,-14057.77,34135.61,10109719.0,-0.08411788940429688
1717693863.605462,19616.620000000003,-13879.119999999999,35662.240000000005,10137991.0,-0.08981132507324219
1717693863.7448764,20447.4,-13636.95,37208.64,10167099.0,-0.09579277038574219
1717693863.8842905,21262.28,-13335.23,38770.869999999995,10197490.0,-0.10178756713867188
1717693864.0237048,22057.28,-12973.96,40348.92,10232009.0,-0.10854339599609375
1717693864.163119,22828.42,-12549.169999999998,41942.78,10271158.0,-0.11646461486816406
1717693864.3025331,23571.75,-12064.830000000002,43544.56,10311373.0,-0.12477302551269531
1717693864.4419475,24283.28,-11524.91,45154.240000000005,10352392.0,-0.13309478759765625
1717693864.5813618,24959.019999999997,-10929.41,46767.880000000005,10397526.0,-0.14220046997070312
1717693864.720776,25595.019999999997,-10278.330000000002,48377.57000000001,10446802.0,-0.15238571166992188
1717693864.8601902,26183.33,-9579.61,49979.350000000006,10497273.0,-0.16315650939941406
1717693864.9996045,26723.92,-8837.220000000001,51561.350000000006,10546718.0,-0.17366790771484375
1717693865.1390188,27212.85,-8059.0999999999985,53115.66,10599032.0,-0.18474578857421875
1717693865.2784328,27646.120000000003,-7249.220000000001,54634.380000000005,10652537.0,-0.1965351104736328
1717693865.4178472,28019.78,-6419.490000000002,56105.64,10704835.0,-0.20845603942871094
1717693865.5572615,28329.83,-5581.82,57517.57000000001,10753192.0,-0.219757080078125
1717693865.6966758,28576.28,-4748.119999999999,58858.32000000001,10799994.0,-0.2308521270751953
1717693865.8360898,28751.18,-3926.3300000000017,60119.96000000001,10844369.0,-0.241973876953125
1717693865.9755042,28858.5,-3128.3600000000006,61294.600000000006,10883683.0,-0.25255775451660156
1717693866.1149185,28902.230000000003,-2366.119999999999,62374.32000000001,10915576.0,-0.2618427276611328
1717693866.2543328,28886.33,-1655.4900000000016,63351.2,10943004.0,-0.27028846740722656
1717693866.3937469,28818.75,-1000.4399999999987,64225.25,10963822.0,-0.2779350280761719
