,x,y,z,temp,temp_error
1717693975.3323433,-20220.82,7022.93,-13589.380000000001,9818118.0,-0.019361495971679688
1717693975.4664485,-20884.65,7003.080000000002,-14677.0,9835122.0,-0.022491455078125
1717693975.600554,-21516.68,6971.32,-15804.18,9851277.0,-0.025537490844726562
1717693975.7346592,-22112.93,6931.620000000003,-16966.95,9868846.0,-0.028615951538085938
1717693975.8687644,-22681.35,6891.919999999998,-18173.22,9890676.0,-0.03261756896972656
1717693976.0028698,-23217.98,6844.279999999999,-19419.05,9915120.0,-0.03740501403808594
1717693976.136975,-23730.75,6796.639999999999,-20704.43,9938889.0,-0.04209709167480469
1717693976.2710805,-24215.7,6745.029999999999,-22029.35,9964936.0,-0.046916961669921875
1717693976.4051857,-24676.8,6693.419999999998,-23397.78,9995645.0,-0.05284690856933594
1717693976.539291,-25114.05,6645.779999999999,-24809.72,10029061.0,-0.05958747863769531
1717693976.6733963,-25535.4,6586.230000000003,-26261.2,10061923.0,-0.06618881225585938
1717693976.8075016,-25940.85,6522.709999999999,-27752.239999999998,10098125.0,-0.07321548461914062
1717693976.9416068,-26330.4,6455.220000000001,-29286.78,10139880.0,-0.0815277099609375
1717693977.0757122,-26708.03,6375.82,-30856.91,10183408.0,-0.09053421020507812
1717693977.2098174,-27069.75,6288.480000000003,-32462.64,10226859.0,-0.09948158264160156
1717693977.3439229,-27419.55,6185.260000000002,-34100.01,10273723.0,-0.10890579223632812
1717693977.478028,-27757.43,6066.1600000000035,-35761.11,10325365.0,-0.11962127685546875
1717693977.6121333,-28087.35,5927.209999999999,-37441.979999999996,10378160.0,-0.13093948364257812
1717693977.7462387,-28409.33,5768.4100000000035,-39134.729999999996,10429427.0,-0.14186477661132812
1717693977.880344,-28715.4,5593.730000000003,-40831.42,10482969.0,-0.15328407287597656
1717693978.0144491,-29009.55,5395.230000000003,-42520.21,10539178.0,-0.1656036376953125
1717693978.1485546,-29291.78,5172.9100000000035,-44189.22,10593269.0,-0.1780681610107422
1717693978.2826598,-29554.13,4934.709999999999,-45826.59,10643508.0,-0.18967819213867188
1717693978.416765,-29796.6,4680.629999999997,-47416.5,10693646.0,-0.2014923095703125
1717693978.5508704,-30019.2,4418.610000000001,-48947.08,10741703.0,-0.21341896057128906
1717693978.6849756,-30217.95,4148.6500000000015,-50406.479999999996,10783442.0,-0.2245616912841797
1717693978.819081,-30392.85,3874.720000000001,-51782.82,10818774.0,-0.23441123962402344
1717693978.9531863,-30543.9,3604.760000000002,-53064.240000000005,10850443.0,-0.2438526153564453
1717693979.0872915,-30671.1,3350.6800000000003,-54242.83,10876504.0,-0.25254249572753906
1717693979.221397,-30774.45,3112.480000000003,-55314.630000000005,10893936.0,-0.2598381042480469
1717693979.3555021,-30853.95,2898.0999999999985,-56279.65,10904608.0,-0.2656402587890625
1717693979.4896073,-30913.58,2711.510000000002,-57133.93,10910129.0,-0.2705574035644531
1717693979.6237128,-30957.3,2540.800000000003,-57889.34,10911004.0,-0.2745513916015625
1717693979.757818,-30985.12,2393.9100000000035,-58545.869999999995,10906638.0,-0.2773246765136719
1717693979.8919234,-31001.03,2274.8099999999977,-59119.34,10899869.0,-0.2792377471923828
1717693980.0260286,-31005.0,2171.5899999999965,-59609.759999999995,10891772.0,-0.28064918518066406
1717693980.1601338,-31005.0,2084.25,-60036.9,10883214.0,-0.2816333770751953
1717693980.2942393,-30997.05,2008.8199999999997,-60400.759999999995,10873210.0,-0.2819976806640625
1717693980.4283445,-30985.12,1941.3300000000017,-60709.25,10864189.0,-0.2821178436279297
1717693980.5624497,-30965.25,1881.7799999999988,-60974.240000000005,10855612.0,-0.28208351135253906
1717693980.6965551,-30945.38,1830.1699999999983,-61195.72,10847789.0,-0.2819023132324219
1717693980.8306603,-30921.53,1778.5599999999977,-61381.6,10839903.0,-0.2814655303955078
1717693980.9647655,-30897.68,1726.949999999997,-61535.85,10833349.0,-0.281005859375
1717693981.098871,-30873.83,1675.3399999999965,-61666.36,10827249.0,-0.280517578125
1717693981.2329762,-30849.98,1627.699999999997,-61773.15,10821871.0,-0.2800025939941406
1717693981.3670816,-30826.12,1580.0599999999977,-61864.11,10816248.0,-0.27930641174316406
1717693981.5011868,-30802.28,1536.3899999999994,-61935.31,10811754.0,-0.2787132263183594
1717693981.635292,-30782.4,1492.7200000000012,-61994.630000000005,10807272.0,-0.27805137634277344
1717693981.7693975,-30758.55,1453.0199999999968,-62042.09,10803266.0,-0.2774009704589844
1717693981.9035027,-30734.7,1425.2300000000032,-62081.64,10799295.0,-0.2766857147216797
1717693982.037608,-30710.85,1405.3799999999974,-62117.240000000005,10795816.0,-0.2760486602783203
1717693982.1717134,-30690.98,1389.5,-62144.92,10791961.0,-0.27529144287109375
1717693982.3058186,-30671.1,1373.6200000000026,-62172.6,10788447.0,-0.27460479736328125
1717693982.439924,-30651.22,1369.6500000000015,-62192.380000000005,10784819.0,-0.2738151550292969
1717693982.5740292,-30627.38,1373.6200000000026,-62212.16,10781552.0,-0.27312469482421875
1717693982.7081344,-30607.5,1389.5,-62231.93,10778158.0,-0.27234458923339844
1717693982.8422399,-30587.63,1409.3499999999985,-62251.7,10774820.0,-0.2716083526611328
1717693982.976345,-30571.72,1437.1399999999994,-62267.520000000004,10771373.0,-0.2707843780517578
1717693983.1104503,-30555.83,1468.9000000000015,-62283.34,10768069.0,-0.2700481414794922
1717693983.2445557,-30543.9,1500.6600000000035,-62299.16,10764726.0,-0.2692279815673828
1717693983.378661,-30531.98,1536.3899999999994,-62314.990000000005,10761261.0,-0.2684478759765625
1717693983.5127661,-30524.03,1568.1500000000015,-62330.81,10757886.0,-0.2676105499267578
1717693983.6468716,-30520.05,1588.0,-62346.619999999995,10754600.0,-0.2668418884277344
1717693983.7809768,-30516.08,1603.8799999999974,-62358.490000000005,10751194.0,-0.2659893035888672
1717693983.9150822,-30512.1,1615.7900000000009,-62370.36,10747826.0,-0.26517677307128906
1717693984.0491874,-30508.13,1623.7300000000032,-62378.259999999995,10744787.0,-0.2643585205078125
1717693984.1832926,-30508.13,1623.7300000000032,-62386.17,10741591.0,-0.2635974884033203
1717693984.317398,-30508.13,1615.7900000000009,-62390.130000000005,10738720.0,-0.26280975341796875
1717693984.4515033,-30512.1,1603.8799999999974,-62390.130000000005,10735479.0,-0.2620105743408203
1717693984.5856085,-30512.1,1580.0599999999977,-62386.17,10732465.0,-0.26119232177734375
1717693984.719714,-30512.1,1556.239999999998,-62382.22,10729614.0,-0.26048851013183594
1717693984.8538191,-30512.1,1532.4199999999983,-62374.31,10726675.0,-0.2597084045410156
1717693984.9879246,-30516.08,1504.6299999999974,-62370.36,10723519.0,-0.25890541076660156
1717693985.1220298,-30516.08,1472.8700000000026,-62362.44,10720867.0,-0.25817298889160156
1717693985.256135,-30516.08,1449.050000000003,-62354.53,10717914.0,-0.25742530822753906
1717693985.3902404,-30512.1,1429.199999999997,-62346.619999999995,10715007.0,-0.25667572021484375
1717693985.5243456,-30508.13,1417.2900000000009,-62338.72,10711958.0,-0.25589942932128906
1717693985.6584508,-30504.15,1409.3499999999985,-62334.759999999995,10709046.0,-0.25516319274902344
1717693985.7925563,-30504.15,1405.3799999999974,-62334.759999999995,10705794.0,-0.2543621063232422
