,x,y,z,temp,temp_error
1717701032.0406606,-5541.82,6619.860000000001,15354.089999999997,8693341.0,-0.06970977783203125
1717701032.1770115,-5835.5,7014.690000000002,16253.120000000003,8709312.0,-0.07353019714355469
1717701032.3133621,-6132.619999999999,7416.9000000000015,17163.300000000003,8723889.0,-0.07700347900390625
1717701032.449713,-6440.119999999999,7830.18,18084.620000000003,8737696.0,-0.080322265625
1717701032.5860639,-6754.52,8254.529999999999,19017.08,8750381.0,-0.08336257934570312
1717701032.7224147,-7079.290000000001,8689.949999999997,19960.690000000002,8761747.0,-0.08600616455078125
1717701032.8587654,-7414.43,9140.129999999997,20915.449999999997,8772178.0,-0.08840179443359375
1717701032.9951162,-7759.93,9601.379999999997,21881.35,8781380.0,-0.0904388427734375
1717701033.131467,-8119.25,10073.699999999997,22854.68,8789643.0,-0.092193603515625
1717701033.2678177,-8492.39,10557.089999999997,23839.160000000003,8797133.0,-0.09370994567871094
1717701033.4041686,-8879.349999999999,11047.86,24834.78,8803813.0,-0.0950164794921875
1717701033.5405195,-9280.130000000001,11546.010000000002,25841.54,8809352.0,-0.09597015380859375
1717701033.67687,-9694.73,12051.54,26859.449999999997,8814925.0,-0.09689140319824219
1717701033.813221,-10126.599999999999,12560.760000000002,27884.79,8819928.0,-0.09766769409179688
1717701033.9495718,-10572.3,13069.980000000003,28921.28,8824561.0,-0.09833526611328125
1717701034.0859227,-11031.82,13575.510000000002,29965.190000000002,8828717.0,-0.0989227294921875
1717701034.2222733,-11505.150000000001,14077.349999999999,31016.54,8833002.0,-0.0995330810546875
1717701034.3586242,-11988.849999999999,14571.809999999998,32075.309999999998,8837210.0,-0.10014724731445312
1717701034.494975,-12482.919999999998,15055.199999999997,33141.520000000004,8841692.0,-0.10080528259277344
1717701034.6313257,-12987.34,15527.519999999997,34215.16,8846031.0,-0.10148048400878906
1717701034.7676766,-13498.68,15981.39,35292.5,8850853.0,-0.102294921875
1717701034.9040275,-14016.93,16416.809999999998,36377.28,8855787.0,-0.10308837890625
1717701035.0403783,-14538.64,16833.78,37465.78,8861825.0,-0.10410690307617188
1717701035.176729,-15060.34,17228.61,38554.28,8868556.0,-0.10526847839355469
1717701035.3130798,-15575.14,17601.300000000003,39646.490000000005,8876180.0,-0.10660743713378906
1717701035.4494307,-16086.48,17948.160000000003,40738.69,8885228.0,-0.10826492309570312
1717701035.5857813,-16584.0,18272.879999999997,41827.19,8895393.0,-0.11019325256347656
1717701035.7221322,-17071.16,18571.769999999997,42911.97,8906930.0,-0.11240196228027344
1717701035.858483,-17541.04,18848.519999999997,43985.600000000006,8919689.0,-0.11484718322753906
1717701035.9948337,-17990.190000000002,19106.82,45048.100000000006,8933620.0,-0.11755180358886719
1717701036.1311846,-18418.61,19346.67,46095.72,8948500.0,-0.12051200866699219
1717701036.2675354,-18822.84,19568.07,47124.78,8964271.0,-0.12367439270019531
1717701036.4038863,-19199.440000000002,19778.4,48127.83,8980331.0,-0.1269054412841797
1717701036.540237,-19548.39,19977.660000000003,49101.16,8996217.0,-0.1300678253173828
1717701036.6765878,-19866.25,20169.54,50037.350000000006,9011120.0,-0.13298416137695312
1717701036.8129387,-20153.02,20357.730000000003,50932.66,9025289.0,-0.13565635681152344
1717701036.9492893,-20412.14,20542.230000000003,51779.67,9037844.0,-0.13788223266601562
1717701037.0856402,-20643.629999999997,20723.04,52574.69,9048229.0,-0.13949966430664062
1717701037.221991,-20847.47,20903.85,53317.69,9056544.0,-0.14051055908203125
1717701037.358342,-21020.22,21080.97,54001.25,9062625.0,-0.14090538024902344
1717701037.4946926,-21168.79,21254.4,54629.08,9066322.0,-0.140655517578125
1717701037.6310434,-21293.16,21427.83,55197.479999999996,9067981.0,-0.13985061645507812
1717701037.7673943,-21396.82,21597.57,55710.14,9067513.0,-0.13847732543945312
1717701037.903745,-21479.739999999998,21763.620000000003,56167.09,9065144.0,-0.1366252899169922
1717701038.0400958,-21545.379999999997,21922.29,56572.03,9061188.0,-0.1343536376953125
1717701038.1764467,-21597.21,22069.89,56928.67,9055791.0,-0.13171005249023438
1717701038.3127973,-21635.21,22210.11,57237.009999999995,9049089.0,-0.1287517547607422
1717701038.4491482,-21659.4,22342.949999999997,57504.490000000005,9041508.0,-0.12558364868164062
1717701038.585499,-21676.67,22468.410000000003,57734.82000000001,9033285.0,-0.12227439880371094
1717701038.72185,-21683.58,22579.11,57931.72,9024592.0,-0.11886024475097656
1717701038.8582006,-21683.58,22682.43,58098.89,9015445.0,-0.11534309387207031
1717701038.9945514,-21680.129999999997,22774.68,58240.07000000001,9006225.0,-0.11181259155273438
1717701039.1309023,-21669.760000000002,22859.550000000003,58358.94,8996853.0,-0.10825347900390625
1717701039.267253,-21659.4,22933.35,58455.53,8987494.0,-0.10469818115234375
1717701039.4036038,-21645.58,22999.769999999997,58533.55,8978445.0,-0.10123825073242188
1717701039.5399547,-21628.3,23062.5,58596.71000000001,8969728.0,-0.09787940979003906
1717701039.6763055,-21611.03,23110.47,58652.42,8961244.0,-0.09460830688476562
1717701039.8126562,-21593.75,23154.75,58693.28,8952829.0,-0.09138107299804688
1717701039.949007,-21576.48,23195.339999999997,58726.72,8944702.0,-0.0882568359375
1717701040.085358,-21559.2,23228.550000000003,58752.729999999996,8936620.0,-0.08517646789550781
1717701040.2217085,-21541.93,23261.760000000002,58771.31,8928699.0,-0.08215141296386719
1717701040.3580594,-21524.65,23291.28,58786.17,8921055.0,-0.07921981811523438
1717701040.4944103,-21507.379999999997,23313.42,58797.32000000001,8913680.0,-0.07637786865234375
1717701040.630761,-21493.559999999998,23335.559999999998,58804.740000000005,8906504.0,-0.07360649108886719
1717701040.7671118,-21476.28,23357.699999999997,58808.46000000001,8899593.0,-0.07093429565429688
1717701040.9034626,-21459.010000000002,23372.46,58808.46000000001,8892876.0,-0.06834030151367188
1717701041.0398135,-21445.190000000002,23387.22,58808.46000000001,8886292.0,-0.06580924987792969
1717701041.1761642,-21431.370000000003,23394.6,58804.740000000005,8879804.0,-0.06332969665527344
1717701041.312515,-21421.0,23413.050000000003,58801.03,8873532.0,-0.06091499328613281
1717701041.448866,-21414.09,23420.43,58797.32000000001,8867480.0,-0.05857086181640625
1717701041.5852165,-21407.18,23424.120000000003,58793.600000000006,8861686.0,-0.056304931640625
1717701041.7215674,-21396.82,23427.809999999998,58789.880000000005,8855885.0,-0.05406761169433594
1717701041.8579183,-21386.45,23431.5,58786.17,8850238.0,-0.0518951416015625
1717701041.9942691,-21379.54,23431.5,58782.45,8844776.0,-0.049808502197265625
1717701042.1306198,-21372.629999999997,23431.5,58782.45,8839206.0,-0.04772758483886719
1717701042.2669706,-21369.18,23431.5,58782.45,8833659.0,-0.04567527770996094
1717701042.4033215,-21365.72,23427.809999999998,58782.45,8828184.0,-0.04366493225097656
1717701042.5396721,-21358.809999999998,23424.120000000003,58782.45,8822744.0,-0.041675567626953125
1717701042.676023,-21351.9,23416.739999999998,58786.17,8817286.0,-0.039707183837890625
1717701042.8123739,-21348.45,23413.050000000003,58789.880000000005,8811794.0,-0.03774261474609375
1717701042.9487245,-21344.989999999998,23413.050000000003,58789.880000000005,8806351.0,-0.03582572937011719
1717701043.0850754,-21341.54,23413.050000000003,58793.600000000006,8800726.0,-0.033893585205078125
1717701043.2214262,-21338.08,23405.67,58797.32000000001,8795279.0,-0.032039642333984375
1717701043.357777,-21338.08,23405.67,58801.03,8789599.0,-0.0301513671875
1717701043.4941278,-21334.629999999997,23401.980000000003,58804.740000000005,8783981.0,-0.028306961059570312
1717701043.6304786,-21331.17,23401.980000000003,58808.46000000001,8778307.0,-0.026454925537109375
1717701043.7668295,-21331.17,23401.980000000003,58812.17,8772697.0,-0.024639129638671875
1717701043.9031801,-21331.17,23398.29,58815.89,8766974.0,-0.022809982299804688
1717701044.039531,-21334.629999999997,23390.910000000003,58819.600000000006,8761464.0,-0.021055221557617188
1717701044.1758819,-21334.629999999997,23383.53,58823.32000000001,8756019.0,-0.01935577392578125
1717701044.3122327,-21338.08,23376.15,58827.03,8750719.0,-0.017724990844726562
1717701044.4485834,-21341.54,23368.769999999997,58834.46000000001,8745536.0,-0.016153335571289062
1717701044.5849342,-21344.989999999998,23357.699999999997,58841.89,8740443.0,-0.014629364013671875
1717701044.721285,-21348.45,23350.32,58853.03,8735508.0,-0.013164520263671875
1717701044.8576357,-21355.36,23342.940000000002,58860.46000000001,8730782.0,-0.011774063110351562
1717701044.9939866,-21358.809999999998,23335.559999999998,58871.61,8726361.0,-0.010477066040039062
1717701045.1303375,-21362.27,23328.18,58879.03999999999,8722219.0,-0.009263992309570312
1717701045.266688,-21369.18,23317.11,58890.19,8718310.0,-0.008131027221679688
1717701045.403039,-21376.09,23306.04,58901.33,8714673.0,-0.007083892822265625
1717701045.5393898,-21383.0,23294.97,58912.479999999996,8711364.0,-0.0061435699462890625
1717701045.6757407,-21389.9,23283.9,58927.33,8708300.0,-0.0052852630615234375
1717701045.8120914,-21396.82,23276.519999999997,58938.490000000005,8705610.0,-0.0045318603515625
1717701045.9484422,-21403.72,23269.14,58949.630000000005,8703453.0,-0.003910064697265625
1717701046.084793,-21414.09,23261.760000000002,58964.490000000005,8701537.0,-0.0033588409423828125
1717701046.2211437,-21424.46,23250.690000000002,58975.630000000005,8699967.0,-0.0028896331787109375
1717701046.3574946,-21434.82,23243.309999999998,58986.770000000004,8698825.0,-0.0025234222412109375
1717701046.4938455,-21445.190000000002,23235.93,59001.64,8697882.0,-0.0022258758544921875
1717701046.6301963,-21455.55,23224.86,59012.78,8697345.0,-0.002044677734375
1717701046.766547,-21465.92,23217.480000000003,59023.92,8697050.0,-0.0019359588623046875
1717701046.9028978,-21476.28,23210.1,59038.78,8697030.0,-0.0019016265869140625
1717701047.0392487,-21486.64,23202.72,59049.92,8697264.0,-0.0019321441650390625
1717701047.1755993,-21497.010000000002,23195.339999999997,59061.08,8697719.0,-0.0020198822021484375
1717701047.3119502,-21507.379999999997,23187.96,59072.22,8698262.0,-0.002124786376953125
1717701047.448301,-21514.29,23180.58,59083.36,8698990.0,-0.0022716522216796875
