,x,y,z,temp,temp_error
1717701109.1874201,-7252.040000000001,-8022.060000000001,-8139.57,8614891.0,0.0
1717701109.3250034,-7601.0,-8295.119999999999,-8667.09,8626634.0,-0.06033515930175781
1717701109.4625866,-7946.5,-8564.490000000002,-9202.05,8637949.0,-0.06321144104003906
1717701109.60017,-8288.54,-8826.48,-9748.16,8648822.0,-0.06599807739257812
1717701109.7377534,-8627.14,-9088.470000000001,-10305.41,8659069.0,-0.06862449645996094
1717701109.8753366,-8958.82,-9343.080000000002,-10873.8,8668452.0,-0.07107353210449219
1717701110.01292,-9287.04,-9597.689999999999,-11453.34,8677302.0,-0.07340621948242188
1717701110.1505032,-9611.810000000001,-9852.3,-12044.029999999999,8685008.0,-0.07542037963867188
1717701110.2880864,-9933.119999999999,-10106.91,-12645.86,8691907.0,-0.07719039916992188
1717701110.4256697,-10250.98,-10361.52,-13258.84,8697835.0,-0.07867240905761719
1717701110.563253,-10565.39,-10619.82,-13882.96,8702952.0,-0.07991981506347656
1717701110.7008364,-10876.34,-10878.119999999999,-14518.220000000001,8707083.0,-0.08090400695800781
1717701110.8384197,-11187.29,-11140.11,-15164.630000000001,8710332.0,-0.08166885375976562
1717701110.976003,-11494.779999999999,-11405.79,-15822.18,8712776.0,-0.08223342895507812
1717701111.1135862,-11802.279999999999,-11671.470000000001,-16494.6,8714702.0,-0.08263778686523438
1717701111.2511694,-12106.32,-11940.84,-17178.16,8715777.0,-0.08283424377441406
1717701111.3887527,-12410.36,-12213.900000000001,-17872.870000000003,8716280.0,-0.08292007446289062
1717701111.526336,-12710.939999999999,-12486.96,-18582.43,8716271.0,-0.08289146423339844
1717701111.6639194,-13008.07,-12763.71,-19303.14,8715729.0,-0.08275794982910156
1717701111.8015027,-13305.21,-13040.46,-20035.0,8714745.0,-0.08254432678222656
1717701111.939086,-13598.880000000001,-13317.21,-20781.71,8713303.0,-0.08222389221191406
1717701112.0766692,-13892.55,-13597.650000000001,-21539.57,8711864.0,-0.08185768127441406
1717701112.2142525,-14182.77,-13874.400000000001,-22312.29,8710329.0,-0.08151626586914062
1717701112.3518357,-14473.0,-14151.150000000001,-23096.16,8708977.0,-0.08115768432617188
1717701112.489419,-14759.759999999998,-14424.21,-23894.879999999997,8708258.0,-0.08089828491210938
1717701112.6270025,-15043.07,-14697.27,-24704.75,8707862.0,-0.08071708679199219
1717701112.7645857,-15326.380000000001,-14966.64,-25529.48,8708105.0,-0.08067893981933594
1717701112.902169,-15609.689999999999,-15232.32,-26365.36,8709019.0,-0.080810546875
1717701113.0397522,-15889.55,-15498.0,-27212.38,8710650.0,-0.08109855651855469
1717701113.1773355,-16165.939999999999,-15756.3,-28074.260000000002,8713272.0,-0.08165550231933594
1717701113.3149188,-16442.35,-16014.599999999999,-28947.28,8716708.0,-0.08241653442382812
1717701113.452502,-16715.29,-16272.900000000001,-29831.45,8721482.0,-0.08353042602539062
1717701113.5900855,-16984.78,-16527.510000000002,-30726.77,8727072.0,-0.0848846435546875
1717701113.7276688,-17250.82,-16782.120000000003,-31629.51,8733585.0,-0.08650398254394531
1717701113.865252,-17516.85,-17029.35,-32539.69,8740541.0,-0.08825492858886719
1717701114.0028353,-17779.43,-17280.27,-33457.29,8748509.0,-0.09025764465332031
1717701114.1404185,-18038.559999999998,-17527.5,-34382.32,8757158.0,-0.09244918823242188
1717701114.2780018,-18297.68,-17778.42,-35311.08,8767152.0,-0.09497642517089844
1717701114.415585,-18553.35,-18029.34,-36239.82,8778400.0,-0.09774589538574219
1717701114.5531685,-18805.559999999998,-18283.95,-37164.86,8790041.0,-0.10059738159179688
1717701114.6907518,-19054.32,-18538.559999999998,-38086.18,8802442.0,-0.10360527038574219
1717701114.828335,-19303.08,-18793.17,-39000.07,8815848.0,-0.10682868957519531
1717701114.9659183,-19544.940000000002,-19051.47,-39902.82,8830236.0,-0.1102752685546875
1717701115.1035016,-19786.79,-19309.77,-40786.979999999996,8845287.0,-0.11387252807617188
1717701115.2410848,-20025.18,-19571.760000000002,-41652.58,8860523.0,-0.11750984191894531
1717701115.378668,-20256.66,-19833.75,-42492.17,8875518.0,-0.12108230590820312
1717701115.5162516,-20484.7,-20095.739999999998,-43298.32,8889576.0,-0.12444305419921875
1717701115.6538348,-20712.72,-20357.73,-44067.33,8902610.0,-0.12754249572753906
1717701115.791418,-20933.85,-20612.34,-44799.19,8914400.0,-0.13033676147460938
1717701115.9290013,-21148.059999999998,-20866.95,-45482.75,8924263.0,-0.1326313018798828
1717701116.0665846,-21355.36,-21110.489999999998,-46118.01,8932131.0,-0.13436317443847656
1717701116.2041678,-21559.2,-21354.03,-46704.979999999996,8937581.0,-0.1355743408203125
1717701116.341751,-21752.68,-21579.120000000003,-47239.94,8940711.0,-0.1360950469970703
1717701116.4793346,-21942.71,-21800.52,-47722.89,8941158.0,-0.13591957092285156
1717701116.6169178,-22122.370000000003,-22007.16,-48157.55,8939564.0,-0.13519287109375
1717701116.754501,-22291.66,-22199.04,-48543.91,8935927.0,-0.1339244842529297
1717701116.8920844,-22450.59,-22376.16,-48881.97,8930580.0,-0.13219451904296875
1717701117.0296676,-22599.16,-22534.83,-49179.17,8923670.0,-0.13006019592285156
1717701117.1672509,-22737.36,-22682.43,-49435.509999999995,8915667.0,-0.1276416778564453
1717701117.3048341,-22865.190000000002,-22818.96,-49658.41,8906722.0,-0.12497711181640625
1717701117.4424176,-22982.66,-22937.04,-49847.880000000005,8897058.0,-0.12211418151855469
1717701117.5800009,-23093.22,-23044.05,-50015.05,8886921.0,-0.11912918090820312
1717701117.7175841,-23189.96,-23136.3,-50156.22,8876431.0,-0.11605072021484375
1717701117.8551674,-23279.79,-23217.48,-50275.1,8865757.0,-0.11293601989746094
1717701117.9927506,-23359.260000000002,-23287.59,-50379.119999999995,8854931.0,-0.10979461669921875
1717701118.130334,-23431.809999999998,-23342.940000000002,-50468.28,8843908.0,-0.10662841796875
1717701118.2679172,-23500.91,-23394.6,-50542.58,8833030.0,-0.10348892211914062
1717701118.4055007,-23559.64,-23431.5,-50605.729999999996,8822325.0,-0.1003875732421875
1717701118.543084,-23611.47,-23464.71,-50657.740000000005,8811909.0,-0.09735298156738281
1717701118.6806672,-23656.379999999997,-23490.54,-50706.04,8801623.0,-0.09435462951660156
1717701118.8182504,-23697.85,-23512.68,-50746.9,8791236.0,-0.09133338928222656
1717701118.9558337,-23732.4,-23527.440000000002,-50780.34,8780787.0,-0.08830833435058594
1717701119.093417,-23763.489999999998,-23538.510000000002,-50810.06,8770387.0,-0.08530616760253906
1717701119.2310002,-23787.68,-23549.58,-50836.06,8759993.0,-0.082305908203125
1717701119.3685837,-23811.86,-23556.96,-50858.36,8749769.0,-0.07933235168457031
1717701119.506167,-23832.59,-23560.65,-50876.93,8739726.0,-0.07638740539550781
1717701119.6437502,-23849.870000000003,-23564.34,-50895.5,8730053.0,-0.07355308532714844
1717701119.7813334,-23863.690000000002,-23568.03,-50910.36,8720577.0,-0.070770263671875
1717701119.9189167,-23880.96,-23564.34,-50925.22,8711112.0,-0.06801605224609375
1717701120.0565,-23891.32,-23564.34,-50940.08,8702337.0,-0.0654449462890625
1717701120.1940832,-23901.690000000002,-23564.34,-50951.229999999996,8693872.0,-0.06298828125
1717701120.3316667,-23908.6,-23556.96,-50962.369999999995,8685726.0,-0.06060791015625
1717701120.46925,-23915.510000000002,-23553.27,-50969.8,8677934.0,-0.05832481384277344
1717701120.6068332,-23922.42,-23545.89,-50977.240000000005,8670736.0,-0.05619621276855469
1717701120.7444165,-23929.33,-23534.82,-50988.380000000005,8664410.0,-0.05430412292480469
1717701120.8819997,-23936.239999999998,-23523.75,-50999.520000000004,8658731.0,-0.05258369445800781
1717701121.019583,-23943.15,-23512.68,-51010.67,8654177.0,-0.051158905029296875
1717701121.1571662,-23950.059999999998,-23497.92,-51021.81,8650482.0,-0.04995918273925781
1717701121.2947497,-23953.52,-23486.85,-51032.96,8647982.0,-0.04905128479003906
1717701121.432333,-23956.97,-23475.78,-51044.1,8646230.0,-0.048320770263671875
1717701121.5699162,-23963.879999999997,-23464.71,-51055.25,8645414.0,-0.04782295227050781
1717701121.7074995,-23970.79,-23453.64,-51066.4,8645392.0,-0.04752349853515625
1717701121.8450828,-23977.7,-23442.57,-51077.54,8646265.0,-0.047454833984375
1717701121.982666,-23984.61,-23435.190000000002,-51088.68,8648103.0,-0.04763031005859375
1717701122.1202493,-23991.52,-23424.120000000003,-51099.83,8650840.0,-0.04803276062011719
1717701122.2578328,-23998.43,-23420.43,-51110.97,8654243.0,-0.048618316650390625
1717701122.395416,-24005.34,-23413.05,-51122.119999999995,8658239.0,-0.049343109130859375
1717701122.5329993,-24012.25,-23405.67,-51133.259999999995,8662893.0,-0.05023765563964844
1717701122.6705825,-24019.16,-23398.29,-51140.69,8668195.0,-0.051288604736328125
1717701122.8081658,-24029.53,-23390.91,-51148.119999999995,8673670.0,-0.05236244201660156
1717701122.945749,-24036.440000000002,-23383.53,-51159.270000000004,8679488.0,-0.0535125732421875
1717701123.0833325,-24043.35,-23376.15,-51166.7,8685715.0,-0.05475807189941406
1717701123.2209158,-24050.260000000002,-23368.77,-51177.84,8692332.0,-0.056095123291015625
1717701123.358499,-24057.17,-23357.7,-51188.990000000005,8698964.0,-0.05742454528808594
