,x,y,z,temp,temp_error
1717700114.6171386,7566.449999999997,-13287.689999999999,12861.330000000002,8619726.0,0.0
1717700114.7524927,8057.059999999998,-13767.39,13548.599999999999,8620062.0,-0.058868408203125
1717700114.887847,8554.580000000002,-14224.95,14239.589999999997,8620213.0,-0.05890464782714844
1717700115.023201,9059.010000000002,-14656.68,14930.580000000002,8619924.0,-0.05882453918457031
1717700115.158555,9566.89,-15066.27,15625.29,8619502.0,-0.05869293212890625
1717700115.293909,10081.690000000002,-15453.720000000001,16323.71,8618709.0,-0.05848121643066406
1717700115.4292634,10599.940000000002,-15815.34,17022.129999999997,8617726.0,-0.058238983154296875
1717700115.5646174,11121.64,-16154.82,17724.260000000002,8616761.0,-0.057941436767578125
1717700115.6999714,11646.800000000003,-16468.47,18430.120000000003,8615524.0,-0.0576171875
1717700115.8353257,12171.96,-16756.29,19139.68,8614298.0,-0.05730438232421875
1717700115.9706798,12700.580000000002,-17018.28,19852.96,8613234.0,-0.05702400207519531
1717700116.1060338,13229.190000000002,-17254.440000000002,20569.96,8612158.0,-0.05672454833984375
1717700116.2413878,13757.809999999998,-17468.46,21290.660000000003,8611066.0,-0.056427001953125
1717700116.3767421,14286.419999999998,-17652.96,22018.800000000003,8610125.0,-0.05617332458496094
1717700116.5120962,14815.04,-17811.629999999997,22750.660000000003,8609347.0,-0.055965423583984375
1717700116.6474502,15340.199999999997,-17944.47,23489.940000000002,8608889.0,-0.05584716796875
1717700116.7828045,15865.36,-18051.48,24232.940000000002,8608778.0,-0.055774688720703125
1717700116.9181585,16387.07,-18132.66,24983.370000000003,8608766.0,-0.05576324462890625
1717700117.0535126,16905.32,-18188.010000000002,25741.230000000003,8609176.0,-0.055835723876953125
1717700117.1888666,17420.11,-18213.84,26506.519999999997,8609964.0,-0.056003570556640625
1717700117.324221,17928.0,-18213.84,27279.25,8611188.0,-0.056285858154296875
1717700117.459575,18432.42,-18188.010000000002,28059.4,8612710.0,-0.056652069091796875
1717700117.594929,18929.940000000002,-18132.66,28850.690000000002,8614686.0,-0.05713462829589844
1717700117.7302833,19424.010000000002,-18051.48,29649.42,8617294.0,-0.057758331298828125
1717700117.8656373,19911.160000000003,-17940.78,30459.28,8620265.0,-0.0584869384765625
1717700118.0009913,20391.410000000003,-17804.25,31276.58,8623737.0,-0.05934906005859375
1717700118.1363454,20864.739999999998,-17638.2,32105.03,8627779.0,-0.06033897399902344
1717700118.2716997,21327.72,-17446.32,32944.630000000005,8632372.0,-0.06146049499511719
