,x,y,z,temp,temp_error
1717700500.6730828,-16255.77,11955.599999999999,795.010000000002,8426320.0,0.0
1717700500.8098164,-16708.379999999997,12287.699999999997,690.989999999998,8433455.0,-0.01403045654296875
1717700500.94655,-17133.35,12601.349999999999,575.8199999999997,8441086.0,-0.015928268432617188
1717700501.0832837,-17530.67,12900.239999999998,453.2300000000032,8449177.0,-0.017932891845703125
1717700501.2200172,-17900.36,13188.059999999998,319.48999999999796,8457514.0,-0.020006179809570312
1717700501.3567507,-18245.86,13461.120000000003,178.3199999999997,8466212.0,-0.022190093994140625
1717700501.4934843,-18570.629999999997,13723.11,29.720000000001164,8475106.0,-0.024383544921875
1717700501.630218,-18871.21,13974.029999999999,-130.02000000000044,8484144.0,-0.026613235473632812
1717700501.7669516,-19154.52,14213.879999999997,-297.2000000000007,8493338.0,-0.028898239135742188
1717700501.903685,-19417.1,14442.660000000003,-471.7999999999993,8502617.0,-0.031194686889648438
1717700502.0404186,-19662.4,14660.370000000003,-650.119999999999,8511929.0,-0.03351020812988281
1717700502.1771524,-19890.440000000002,14870.699999999997,-835.869999999999,8521139.0,-0.03580284118652344
1717700502.313886,-20104.64,15069.96,-1029.0499999999993,8530198.0,-0.03806495666503906
1717700502.4506195,-20305.04,15261.839999999997,-1229.6599999999999,8539133.0,-0.04027748107910156
1717700502.587353,-20491.61,15442.650000000001,-1433.9900000000016,8547727.0,-0.04243278503417969
1717700502.7240865,-20667.809999999998,15616.080000000002,-1645.75,8556169.0,-0.04456520080566406
1717700502.8608203,-20830.2,15782.129999999997,-1864.9300000000003,8564286.0,-0.04660987854003906
1717700502.9975538,-20985.67,15937.11,-2087.8300000000017,8572102.0,-0.04856300354003906
1717700503.1342874,-21130.78,16084.71,-2314.4399999999987,8579500.0,-0.05042076110839844
1717700503.271021,-21265.53,16224.93,-2548.4900000000016,8586574.0,-0.052173614501953125
1717700503.4077547,-21389.9,16354.080000000002,-2786.25,8593168.0,-0.05380821228027344
1717700503.5444882,-21507.379999999997,16475.85,-3027.720000000001,8599273.0,-0.05530548095703125
1717700503.6812217,-21617.940000000002,16590.239999999998,-3276.630000000001,8604989.0,-0.056713104248046875
1717700503.8179553,-21721.59,16693.559999999998,-3529.25,8610190.0,-0.05796051025390625
1717700503.954689,-21818.32,16789.5,-3785.59,8614901.0,-0.05908203125
1717700504.0914226,-21908.16,16874.370000000003,-4045.630000000001,8619190.0,-0.06010246276855469
1717700504.228156,-21994.53,16951.86,-4309.4000000000015,8622870.0,-0.06095314025878906
1717700504.3648896,-22074.0,17021.97,-4580.59,8626064.0,-0.0616912841796875
1717700504.5016232,-22150.010000000002,17084.699999999997,-4855.5,8628682.0,-0.06228065490722656
1717700504.638357,-22219.11,17136.36,-5134.130000000001,8630834.0,-0.06274223327636719
1717700504.7750905,-22284.75,17180.64,-5416.470000000001,8632396.0,-0.06308174133300781
1717700504.911824,-22346.940000000002,17217.54,-5702.52,8633617.0,-0.06331062316894531
1717700505.0485575,-22405.68,17243.370000000003,-5992.290000000001,8634362.0,-0.06340789794921875
1717700505.1852913,-22460.96,17261.82,-6285.779999999999,8634585.0,-0.06340217590332031
