,x,y,z,temp,temp_error
1714594833.7429326,4221.449999999997,13279.650000000001,28895.230000000003,10950759.0,0.0
1714594833.883996,4034.6200000000026,14292.0,30216.199999999997,10996931.0,-0.27955055236816406
1714594834.0250597,3792.1500000000015,15288.470000000001,31458.07,11041809.0,-0.2909412384033203
1714594834.1661232,3498.0,16257.150000000001,32612.93,11079456.0,-0.3014106750488281
1714594834.3071868,3152.1699999999983,17182.160000000003,33668.92,11109675.0,-0.3104381561279297
1714594834.4482503,2758.6500000000015,18055.559999999998,34626.03,11135065.0,-0.31887054443359375
1714594834.589314,2325.3700000000026,18865.440000000002,35480.31,11152873.0,-0.32621192932128906
1714594834.7303774,1856.3199999999997,19599.89,36235.72,11161869.0,-0.33179473876953125
1714594834.8714411,1359.449999999997,20258.910000000003,36896.21000000001,11165778.0,-0.33638572692871094
1714594835.0125046,842.6999999999971,20834.559999999998,37465.72,11164352.0,-0.3399658203125
1714594835.1535683,314.0199999999968,21330.809999999998,37956.14,11157326.0,-0.3422565460205078
1714594835.2946317,-222.59999999999854,21747.660000000003,38371.41,11147902.0,-0.3436927795410156
1714594835.4356954,-755.25,22093.050000000003,38723.41,11136497.0,-0.3445110321044922
1714594835.5767589,-1279.9500000000007,22370.949999999997,39020.03,11124225.0,-0.34481048583984375
1714594835.7178226,-1792.7200000000012,22593.269999999997,39273.16,11111372.0,-0.34450340270996094
1714594835.858886,-2289.5999999999985,22760.010000000002,39482.770000000004,11099702.0,-0.34410858154296875
1714594835.9999497,-2766.5999999999985,22883.08,39660.75,11088646.0,-0.34351348876953125
1714594836.1410131,-3219.75,22970.42,39807.08,11078192.0,-0.3426494598388672
1714594836.2820768,-3653.0200000000004,23022.03,39929.69,11069322.0,-0.34186553955078125
1714594836.4231403,-4058.470000000001,23045.85,40036.47,11061435.0,-0.3410167694091797
1714594836.564204,-4440.07,23049.82,40123.479999999996,11054115.0,-0.34011077880859375
1714594836.7052674,-4797.82,23037.910000000003,40198.630000000005,11048068.0,-0.3392658233642578
1714594836.8463311,-5131.720000000001,23010.120000000003,40257.95,11042722.0,-0.3384132385253906
1714594836.9873946,-5441.77,22970.42,40309.36,11037639.0,-0.3375873565673828
1714594837.1284583,-5724.0,22922.78,40352.869999999995,11033459.0,-0.33676910400390625
1714594837.2695217,-5986.3499999999985,22871.17,40388.46000000001,11029441.0,-0.3359718322753906
1714594837.4105854,-6224.8499999999985,22815.589999999997,40420.100000000006,11026055.0,-0.33525657653808594
1714594837.5516489,-6443.470000000001,22756.04,40447.78,11022581.0,-0.33444786071777344
1714594837.6927123,-6642.220000000001,22696.489999999998,40467.57000000001,11019545.0,-0.3337593078613281
1714594837.833776,-6821.0999999999985,22632.97,40487.350000000006,11016723.0,-0.3330554962158203
1714594837.9748394,-6980.0999999999985,22573.42,40503.16,11013792.0,-0.3323173522949219
1714594838.1159031,-7123.200000000001,22513.870000000003,40515.03,11011417.0,-0.33170509338378906
1714594838.2569666,-7250.4000000000015,22458.29,40526.89,11008746.0,-0.3310108184814453
1714594838.3980303,-7365.669999999998,22402.71,40538.75,11006048.0,-0.3303356170654297
1714594838.5390937,-7465.049999999999,22347.129999999997,40550.619999999995,11003929.0,-0.3297233581542969
1714594838.6801574,-7552.5,22295.519999999997,40562.490000000005,11001293.0,-0.3290519714355469
1714594838.8212209,-7632.0,22251.85,40570.39,10998818.0,-0.32842254638671875
1714594838.9622846,-7699.57,22212.15,40582.259999999995,10996636.0,-0.3277931213378906
1714594839.103348,-7759.200000000001,22172.449999999997,40590.17,10994242.0,-0.32718849182128906
1714594839.2444117,-7810.869999999999,22140.690000000002,40602.03,10991985.0,-0.3265876770019531
1714594839.3854752,-7858.57,22112.9,40609.94,10989751.0,-0.3259410858154297
1714594839.5265388,-7898.32,22089.08,40617.850000000006,10987420.0,-0.3253803253173828
1714594839.6676023,-7934.0999999999985,22069.230000000003,40625.770000000004,10985202.0,-0.3247814178466797
1714594839.808666,-7965.9000000000015,22053.35,40633.67,10982977.0,-0.32415008544921875
1714594839.9497294,-7997.700000000001,22041.440000000002,40641.58,10980700.0,-0.3236045837402344
1714594840.0907931,-8025.52,22033.5,40649.490000000005,10978323.0,-0.3229827880859375
1714594840.2318566,-8053.3499999999985,22029.53,40653.45,10975929.0,-0.3223590850830078
1714594840.3729203,-8077.200000000001,22021.589999999997,40657.41,10973845.0,-0.3218040466308594
1714594840.5139837,-8101.049999999999,22017.620000000003,40657.41,10971431.0,-0.32120513916015625
1714594840.6550474,-8124.9000000000015,22013.65,40657.41,10969136.0,-0.3206138610839844
1714594840.7961109,-8144.77,22009.68,40657.41,10967026.0,-0.32002830505371094
1714594840.9371746,-8164.6500000000015,22005.71,40653.45,10964903.0,-0.319488525390625
1714594841.078238,-8184.52,21997.769999999997,40649.490000000005,10962551.0,-0.31890296936035156
1714594841.2193017,-8204.400000000001,21993.800000000003,40645.53999999999,10960006.0,-0.31823158264160156
1714594841.3603652,-8220.3,21985.86,40641.58,10957907.0,-0.3177318572998047
1714594841.5014288,-8232.23,21973.949999999997,40637.630000000005,10955638.0,-0.31713104248046875
1714594841.6424923,-8244.150000000001,21962.04,40633.67,10953323.0,-0.3165168762207031
1714594841.7835557,-8252.099999999999,21950.129999999997,40629.72,10951206.0,-0.31600189208984375
1714594841.9246194,-8260.05,21938.22,40625.770000000004,10948650.0,-0.3153667449951172
1714594842.065683,-8264.02,21926.309999999998,40621.81,10946263.0,-0.31476783752441406
1714594842.2067466,-8268.0,21918.370000000003,40621.81,10944201.0,-0.31419944763183594
1714594842.34781,-8268.0,21906.46,40617.850000000006,10941760.0,-0.3136177062988281
1714594842.4888737,-8264.02,21894.550000000003,40617.850000000006,10939603.0,-0.31305885314941406
1714594842.6299372,-8260.05,21886.61,40617.850000000006,10936969.0,-0.31238555908203125
1714594842.7710009,-8256.07,21878.67,40621.81,10934791.0,-0.31186676025390625
1714594842.9120643,-8252.099999999999,21874.699999999997,40625.770000000004,10932260.0,-0.3112373352050781
1714594843.053128,-8244.150000000001,21870.730000000003,40629.72,10929825.0,-0.31058692932128906
1714594843.1941915,-8236.2,21870.730000000003,40633.67,10927788.0,-0.3100872039794922
1714594843.3352551,-8232.23,21870.730000000003,40637.630000000005,10925187.0,-0.30943870544433594
1714594843.4763186,-8228.25,21874.699999999997,40641.58,10922546.0,-0.3087921142578125
1714594843.6173823,-8224.27,21878.67,40645.53999999999,10920405.0,-0.3082256317138672
1714594843.7584457,-8224.27,21882.64,40649.490000000005,10917952.0,-0.3076171875
1714594843.8995094,-8224.27,21890.58,40653.45,10915429.0,-0.30700111389160156
1714594844.040573,-8224.27,21898.519999999997,40653.45,10913165.0,-0.3063697814941406
1714594844.1816366,-8228.25,21906.46,40653.45,10910795.0,-0.305816650390625
1714594844.3227,-8232.23,21914.4,40653.45,10908262.0,-0.3051891326904297
1714594844.4637637,-8236.2,21918.370000000003,40653.45,10905691.0,-0.3045063018798828
1714594844.6048272,-8244.150000000001,21922.339999999997,40649.490000000005,10903574.0,-0.30399513244628906
1714594844.7458909,-8252.099999999999,21926.309999999998,40645.53999999999,10901138.0,-0.3033599853515625
1714594844.8869543,-8260.05,21926.309999999998,40641.58,10898758.0,-0.30272865295410156
1714594845.028018,-8268.0,21926.309999999998,40637.630000000005,10896410.0,-0.3021697998046875
1714594845.1690814,-8275.95,21922.339999999997,40629.72,10893903.0,-0.30153465270996094
1714594845.3101451,-8279.919999999998,21918.370000000003,40625.770000000004,10891412.0,-0.3009166717529297
1714594845.4512086,-8283.900000000001,21914.4,40621.81,10889159.0,-0.3003082275390625
1714594845.592272,-8287.869999999999,21906.46,40617.850000000006,10886573.0,-0.29968833923339844
1714594845.7333357,-8287.869999999999,21898.519999999997,40613.899999999994,10884086.0,-0.2990703582763672
1714594845.8743992,-8287.869999999999,21890.58,40609.94,10881668.0,-0.29842376708984375
1714594846.0154629,-8283.900000000001,21882.64,40605.990000000005,10879206.0,-0.29784393310546875
1714594846.1565263,-8279.919999999998,21874.699999999997,40602.03,10876794.0,-0.2972240447998047
1714594846.29759,-8275.95,21866.760000000002,40602.03,10874290.0,-0.2965545654296875
1714594846.4386535,-8271.98,21858.82,40602.03,10871986.0,-0.29601097106933594
1714594846.5797172,-8264.02,21850.879999999997,40602.03,10869405.0,-0.29535865783691406
1714594846.7207806,-8256.07,21846.910000000003,40602.03,10866587.0,-0.29465484619140625
1714594846.8618443,-8248.119999999999,21846.910000000003,40605.990000000005,10864639.0,-0.2941322326660156
1714594847.0029078,-8240.169999999998,21846.910000000003,40609.94,10861999.0,-0.2934761047363281
1714594847.1439714,-8232.23,21846.910000000003,40613.899999999994,10859474.0,-0.29283905029296875
1714594847.285035,-8224.27,21850.879999999997,40617.850000000006,10857207.0,-0.29221343994140625
1714594847.4260986,-8220.3,21854.85,40621.81,10854842.0,-0.2916431427001953
1714594847.567162,-8216.32,21862.79,40625.770000000004,10852216.0,-0.2910003662109375
1714594847.7082257,-8216.32,21870.730000000003,40629.72,10849828.0,-0.29033851623535156
1714594847.8492892,-8216.32,21878.67,40629.72,10847516.0,-0.28978729248046875
1714594847.9903529,-8220.3,21886.61,40629.72,10845220.0,-0.2891826629638672
1714594848.1314163,-8224.27,21894.550000000003,40629.72,10842104.0,-0.28842735290527344
1714594848.27248,-8232.23,21902.489999999998,40629.72,10839859.0,-0.28787803649902344
1714594848.4135435,-8240.169999999998,21906.46,40625.770000000004,10837326.0,-0.28722572326660156
1714594848.5546072,-8248.119999999999,21910.43,40621.81,10834608.0,-0.28655052185058594
1714594848.6956706,-8256.07,21910.43,40617.850000000006,10832470.0,-0.2859840393066406
1714594848.8367343,-8264.02,21910.43,40609.94,10829997.0,-0.2853527069091797
1714594848.9777977,-8271.98,21906.46,40605.990000000005,10827507.0,-0.2847270965576172
1714594849.1188614,-8275.95,21902.489999999998,40602.03,10825216.0,-0.28409385681152344
1714594849.259925,-8279.919999999998,21894.550000000003,40598.08,10822862.0,-0.2835273742675781
1714594849.4009883,-8283.900000000001,21886.61,40590.17,10820301.0,-0.28289031982421875
1714594849.542052,-8283.900000000001,21878.67,40586.21000000001,10817846.0,-0.28221893310546875
1714594849.6831155,-8283.900000000001,21870.730000000003,40582.259999999995,10815593.0,-0.28167724609375
1714594849.8241792,-8279.919999999998,21862.79,40578.3,10813105.0,-0.2810401916503906
1714594849.9652426,-8275.95,21854.85,40574.350000000006,10810442.0,-0.2803478240966797
1714594850.1063063,-8268.0,21846.910000000003,40574.350000000006,10808400.0,-0.2798309326171875
1714594850.2473698,-8260.05,21842.940000000002,40574.350000000006,10806341.0,-0.27924346923828125
1714594850.3884335,-8252.099999999999,21835.0,40574.350000000006,10803233.0,-0.2785301208496094
1714594850.529497,-8244.150000000001,21831.03,40578.3,10801199.0,-0.2779808044433594
1714594850.6705606,-8236.2,21831.03,40578.3,10798683.0,-0.27735328674316406
1714594850.811624,-8228.25,21831.03,40582.259999999995,10796271.0,-0.27674102783203125
1714594850.9526877,-8220.3,21835.0,40586.21000000001,10794093.0,-0.27612876892089844
1714594851.0937512,-8216.32,21838.97,40590.17,10791627.0,-0.27554893493652344
1714594851.234815,-8212.349999999999,21846.910000000003,40594.130000000005,10789125.0,-0.2749156951904297
1714594851.3758783,-8208.369999999999,21854.85,40598.08,10786544.0,-0.2742328643798828
1714594851.516942,-8208.369999999999,21862.79,40602.03,10784405.0,-0.273712158203125
1714594851.6580055,-8212.349999999999,21870.730000000003,40602.03,10781989.0,-0.2730751037597656
1714594851.7990692,-8216.32,21878.67,40602.03,10779306.0,-0.27239418029785156
1714594851.9401326,-8220.3,21886.61,40602.03,10777207.0,-0.27187156677246094
1714594852.0811963,-8228.25,21894.550000000003,40602.03,10774712.0,-0.27123451232910156
1714594852.2222598,-8236.2,21894.550000000003,40598.08,10772085.0,-0.2705841064453125
1714594852.3633235,-8244.150000000001,21894.550000000003,40594.130000000005,10769854.0,-0.2700004577636719
1714594852.504387,-8252.099999999999,21894.550000000003,40590.17,10767507.0,-0.2693939208984375
1714594852.6454506,-8260.05,21894.550000000003,40582.259999999995,10765005.0,-0.2687797546386719
1714594852.786514,-8268.0,21890.58,40578.3,10762745.0,-0.268157958984375
1714594852.9275777,-8271.98,21882.64,40570.39,10760676.0,-0.2676258087158203
1714594853.0686412,-8275.95,21878.67,40562.490000000005,10758214.0,-0.2670116424560547
1714594853.2097049,-8275.95,21870.730000000003,40558.53,10755581.0,-0.266326904296875
1714594853.3507683,-8275.95,21862.79,40554.57000000001,10753676.0,-0.26584434509277344
1714594853.4918318,-8271.98,21854.85,40550.619999999995,10751197.0,-0.2652091979980469
1714594853.6328955,-8268.0,21846.910000000003,40546.66,10748574.0,-0.2645435333251953
1714594853.773959,-8260.05,21838.97,40546.66,10746730.0,-0.2640571594238281
1714594853.9150226,-8252.099999999999,21831.03,40546.66,10744378.0,-0.2634410858154297
1714594854.056086,-8244.150000000001,21827.059999999998,40546.66,10741674.0,-0.2627983093261719
1714594854.1971498,-8236.2,21827.059999999998,40546.66,10739513.0,-0.2622051239013672
1714594854.3382132,-8228.25,21823.089999999997,40550.619999999995,10737149.0,-0.2616310119628906
1714594854.479277,-8220.3,21823.089999999997,40554.57000000001,10734612.0,-0.2610054016113281
1714594854.6203403,-8212.349999999999,21827.059999999998,40558.53,10732816.0,-0.26044654846191406
1714594854.761404,-8208.369999999999,21835.0,40562.490000000005,10730526.0,-0.2599010467529297
