,x,y,z,temp,temp_error
1714594996.8390014,-8522.400000000001,-17333.02,-26629.02,11065359.0,0.0
1714594996.981725,-8709.23,-17976.16,-27507.03,11087239.0,-0.3109569549560547
1714594997.1244488,-8864.25,-18559.75,-28294.07,11102544.0,-0.3174095153808594
1714594997.2671723,-8983.5,-19083.79,-28994.11,11112299.0,-0.32257652282714844
1714594997.4098961,-9074.919999999998,-19548.28,-29611.09,11118659.0,-0.3271770477294922
1714594997.5526197,-9138.52,-19961.16,-30152.92,11120655.0,-0.33089637756347656
1714594997.6953435,-9178.27,-20322.43,-30623.57,11117643.0,-0.3333911895751953
1714594997.838067,-9198.150000000001,-20636.059999999998,-31030.93,11114236.0,-0.3355560302734375
1714594997.9807909,-9202.119999999999,-20906.02,-31382.93,11109149.0,-0.3371868133544922
1714594998.1235144,-9190.2,-21136.28,-31683.51,11101411.0,-0.3380546569824219
1714594998.2662382,-9166.349999999999,-21334.78,-31940.58,11094339.0,-0.3386878967285156
1714594998.4089618,-9134.55,-21501.52,-32162.06,11087511.0,-0.33910179138183594
1714594998.5516856,-9094.8,-21640.47,-32351.9,11080166.0,-0.3392047882080078
1714594998.6944091,-9051.07,-21759.57,-32510.1,11074131.0,-0.339202880859375
1714594998.837133,-9003.369999999999,-21854.85,-32644.57,11068073.0,-0.3390522003173828
1714594998.9798565,-8951.7,-21930.28,-32759.27,11062329.0,-0.3388252258300781
1714594999.1225803,-8900.02,-21993.8,-32854.19,11057454.0,-0.33849334716796875
1714594999.2653039,-8848.349999999999,-22041.440000000002,-32933.29,11052536.0,-0.33808326721191406
1714594999.4080276,-8796.669999999998,-22077.17,-33000.52,11048733.0,-0.3377552032470703
1714594999.5507512,-8748.98,-22100.989999999998,-33059.84,11044975.0,-0.3373069763183594
1714594999.6934748,-8701.27,-22116.870000000003,-33107.3,11041442.0,-0.33686256408691406
1714594999.8361986,-8657.55,-22124.809999999998,-33150.81,11037853.0,-0.33632850646972656
1714594999.9789221,-8613.82,-22128.78,-33186.41,11034560.0,-0.3358325958251953
1714595000.121646,-8574.07,-22128.78,-33218.05,11031780.0,-0.33535003662109375
1714595000.2643695,-8538.3,-22120.84,-33245.73,11028927.0,-0.3347949981689453
1714595000.4070933,-8506.5,-22112.9,-33269.46,11026406.0,-0.3343334197998047
1714595000.5498168,-8474.7,-22104.96,-33293.19,11023641.0,-0.33376502990722656
1714595000.6925406,-8446.869999999999,-22097.02,-33316.92,11020958.0,-0.33319091796875
1714595000.8352642,-8423.02,-22089.08,-33336.7,11018706.0,-0.3327064514160156
1714595000.977988,-8399.169999999998,-22081.14,-33352.52,11016107.0,-0.3321113586425781
1714595001.1207116,-8375.32,-22077.17,-33368.34,11013859.0,-0.3315887451171875
1714595001.2634354,-8355.45,-22073.2,-33384.16,11011676.0,-0.33106422424316406
1714595001.406159,-8335.57,-22073.2,-33396.02,11009139.0,-0.33046913146972656
1714595001.5488827,-8315.7,-22073.2,-33407.89,11007141.0,-0.3299827575683594
1714595001.6916063,-8299.8,-22073.2,-33419.75,11004648.0,-0.3293647766113281
1714595001.83433,-8283.900000000001,-22077.17,-33427.66,11002475.0,-0.32884788513183594
1714595001.9770536,-8268.0,-22081.14,-33435.57,11000716.0,-0.32836341857910156
1714595002.1197774,-8252.099999999999,-22089.08,-33439.53,10998220.0,-0.3277416229248047
1714595002.262501,-8236.2,-22093.05,-33443.48,10995579.0,-0.3271770477294922
1714595002.4052246,-8224.27,-22097.02,-33443.48,10993007.0,-0.3265495300292969
1714595002.5479484,-8212.349999999999,-22100.989999999998,-33443.48,10990583.0,-0.32594871520996094
1714595002.690672,-8200.419999999998,-22104.96,-33443.48,10988374.0,-0.32540130615234375
1714595002.8333957,-8188.5,-22104.96,-33443.48,10985959.0,-0.32478904724121094
1714595002.9761193,-8176.57,-22104.96,-33439.53,10983579.0,-0.32422447204589844
1714595003.118843,-8168.619999999999,-22100.989999999998,-33435.57,10981513.0,-0.3236579895019531
1714595003.2615666,-8160.669999999998,-22097.02,-33431.62,10979041.0,-0.3230571746826172
1714595003.4042904,-8152.73,-22093.05,-33427.66,10976661.0,-0.322479248046875
1714595003.547014,-8148.75,-22085.11,-33427.66,10974099.0,-0.32183074951171875
1714595003.6897378,-8144.77,-22073.2,-33427.66,10971712.0,-0.32126808166503906
1714595003.8324614,-8140.799999999999,-22061.29,-33427.66,10969303.0,-0.3206520080566406
1714595003.9751852,-8140.799999999999,-22049.379999999997,-33427.66,10966766.0,-0.32001495361328125
