,x,y,z,temp,temp_error
1714593810.2623308,-22554.15,-1897.6599999999999,-25446.47,10310474.0,0.0
1714593810.4032483,-23448.53,-2421.7000000000007,-27119.44,10369746.0,-0.1262683868408203
1714593810.5441658,-24295.2,-2973.529999999999,-28776.58,10430013.0,-0.13856124877929688
1714593810.6850834,-25090.2,-3545.209999999999,-30402.09,10492462.0,-0.1517047882080078
1714593810.8260012,-25833.53,-4132.77,-31980.13,10554890.0,-0.1654224395751953
1714593810.9669187,-26517.22,-4728.27,-33490.94,10613266.0,-0.1788043975830078
1714593811.1078362,-27137.33,-5327.740000000002,-34914.74,10665917.0,-0.19124984741210938
1714593811.2487538,-27693.83,-5915.299999999999,-36239.66,10715192.0,-0.20346641540527344
1714593811.3896713,-28186.72,-6486.98,-37453.85,10758756.0,-0.21512794494628906
1714593811.5305889,-28616.03,-7030.869999999999,-38549.39,10794648.0,-0.2257976531982422
1714593811.6715064,-28985.7,-7535.060000000001,-39526.270000000004,10820615.0,-0.23474693298339844
1714593811.8124242,-29299.72,-7999.549999999999,-40380.55,10839350.0,-0.24239540100097656
1714593811.9533417,-29562.08,-8416.400000000001,-41120.14,10850561.0,-0.24887657165527344
1714593812.0942593,-29776.72,-8785.61,-41752.94,10854724.0,-0.2540283203125
1714593812.2351768,-29951.63,-9107.18,-42294.770000000004,10853106.0,-0.2579212188720703
1714593812.3760943,-30090.75,-9381.11,-42753.55,10847035.0,-0.2605781555175781
1714593812.517012,-30198.08,-9615.34,-43137.19,10839175.0,-0.262603759765625
1714593812.6579294,-30281.55,-9809.869999999999,-43461.5,10830242.0,-0.2640361785888672
1714593812.7988472,-30341.18,-9976.61,-43734.39,10820633.0,-0.26498985290527344
1714593812.9397647,-30380.93,-10111.59,-43963.78,10811254.0,-0.26551246643066406
1714593813.0806823,-30408.75,-10222.75,-44153.62,10802943.0,-0.2658195495605469
1714593813.2215998,-30424.65,-10318.029999999999,-44311.82,10794907.0,-0.2659435272216797
1714593813.3625174,-30428.63,-10393.46,-44442.34,10787866.0,-0.2659149169921875
1714593813.503435,-30424.65,-10453.009999999998,-44553.08,10781660.0,-0.2658271789550781
1714593813.6443524,-30412.72,-10504.619999999999,-44640.09,10776004.0,-0.2655658721923828
1714593813.7852702,-30396.83,-10544.32,-44711.28,10771314.0,-0.26537132263183594
1714593813.9261878,-30380.93,-10580.05,-44766.64,10766836.0,-0.26505088806152344
1714593814.0671053,-30361.05,-10607.84,-44814.11,10763179.0,-0.2647724151611328
1714593814.2080228,-30341.18,-10627.689999999999,-44849.7,10759718.0,-0.2644309997558594
1714593814.3489404,-30325.28,-10643.57,-44877.39,10756923.0,-0.26407814025878906
1714593814.489858,-30309.38,-10655.48,-44897.16,10753859.0,-0.26371002197265625
1714593814.6307755,-30293.48,-10663.419999999998,-44912.979999999996,10751257.0,-0.2633018493652344
1714593814.7716932,-30281.55,-10667.39,-44928.8,10748943.0,-0.2629528045654297
1714593814.9126108,-30273.6,-10667.39,-44940.67,10746417.0,-0.26248931884765625
1714593815.0535283,-30269.63,-10671.36,-44952.53,10744036.0,-0.26209068298339844
1714593815.1944458,-30265.65,-10671.36,-44964.4,10741568.0,-0.2616138458251953
1714593815.3353634,-30261.68,-10671.36,-44976.26,10739766.0,-0.26122283935546875
1714593815.476281,-30261.68,-10671.36,-44988.12,10737577.0,-0.26076698303222656
1714593815.6171985,-30261.68,-10667.39,-44999.99,10735503.0,-0.2602996826171875
1714593815.7581162,-30261.68,-10663.419999999998,-45011.86,10733484.0,-0.25988006591796875
1714593815.8990338,-30261.68,-10659.45,-45023.72,10731776.0,-0.259429931640625
1714593816.0399513,-30261.68,-10659.45,-45035.59,10729755.0,-0.25899696350097656
1714593816.1808689,-30257.7,-10659.45,-45047.45,10727921.0,-0.25852203369140625
1714593816.3217864,-30253.72,-10659.45,-45055.36,10726301.0,-0.2581291198730469
