,x,y,z,temp,temp_error
1714594264.339728,7910.25,-18571.66,31177.260000000002,10843919.0,0.0
1714594264.4807613,8633.699999999997,-18698.7,32723.67,10867417.0,-0.2643413543701172
1714594264.6217945,9365.099999999999,-18750.309999999998,34214.71000000001,10892533.0,-0.2708930969238281
1714594264.7628276,10104.449999999997,-18730.46,35650.380000000005,10915988.0,-0.27742576599121094
1714594264.9038608,10843.800000000003,-18647.09,37022.759999999995,10935611.0,-0.28313636779785156
1714594265.0448937,11583.150000000001,-18508.14,38327.91,10953956.0,-0.28842735290527344
1714594265.185927,12318.519999999997,-18321.55,39565.82000000001,10973250.0,-0.2940654754638672
1714594265.32696,13045.949999999997,-18095.260000000002,40732.55,10989196.0,-0.2992668151855469
1714594265.4679933,13761.449999999997,-17833.239999999998,41828.08,11001808.0,-0.3035316467285156
1714594265.6090264,14461.050000000003,-17543.43,42848.47,11014899.0,-0.30788612365722656
1714594265.7500596,15140.769999999997,-17233.77,43797.67,11026394.0,-0.31208229064941406
1714594265.8910928,15800.620000000003,-16912.2,44671.729999999996,11034506.0,-0.3155689239501953
1714594266.032126,16436.620000000003,-16582.690000000002,45474.600000000006,11040488.0,-0.3184356689453125
1714594266.1731591,17044.800000000003,-16249.21,46210.22,11047263.0,-0.32144927978515625
1714594266.314192,17625.15,-15919.7,46878.619999999995,11052364.0,-0.32416534423828125
1714594266.4552252,18177.68,-15594.16,47483.740000000005,11054594.0,-0.32614898681640625
1714594266.5962584,18702.370000000003,-15276.560000000001,48033.479999999996,11056598.0,-0.32792091369628906
1714594266.7372916,19195.28,-14970.869999999999,48523.899999999994,11058590.0,-0.329742431640625
1714594266.8783247,19656.370000000003,-14677.09,48962.91,11059178.0,-0.3311443328857422
1714594267.019358,20085.68,-14395.220000000001,49358.41,11058595.0,-0.3321266174316406
1714594267.160391,20483.18,-14129.23,49706.44,11058739.0,-0.33316612243652344
1714594267.3014243,20852.85,-13875.150000000001,50018.89,11058241.0,-0.3340778350830078
1714594267.4424574,21190.730000000003,-13636.95,50295.740000000005,11057148.0,-0.3346996307373047
1714594267.5834904,21500.78,-13414.630000000001,50540.95,11055615.0,-0.33509063720703125
1714594267.7245235,21786.980000000003,-13204.220000000001,50758.47,11054809.0,-0.3356494903564453
1714594267.8655567,22049.32,-13005.720000000001,50948.32000000001,11053365.0,-0.33597564697265625
1714594268.00659,22283.85,-12823.099999999999,51118.380000000005,11051485.0,-0.3361015319824219
1714594268.147623,22498.5,-12652.39,51268.67,11050491.0,-0.3362903594970703
1714594268.2886562,22689.300000000003,-12497.560000000001,51399.19,11048832.0,-0.33643150329589844
1714594268.4296894,22864.199999999997,-12358.61,51517.84,11047255.0,-0.33645057678222656
1714594268.5707226,23019.230000000003,-12231.57,51620.67,11045463.0,-0.3363170623779297
1714594268.7117558,23158.35,-12116.439999999999,51711.630000000005,11044264.0,-0.33635902404785156
1714594268.852789,23281.58,-12017.189999999999,51794.69,11042135.0,-0.33619117736816406
1714594268.9938219,23392.870000000003,-11929.849999999999,51865.880000000005,11039829.0,-0.33594703674316406
1714594269.134855,23492.25,-11850.45,51929.16,11038351.0,-0.3357067108154297
1714594269.2758882,23579.699999999997,-11782.96,51980.57000000001,11036454.0,-0.3355255126953125
1714594269.4169214,23659.199999999997,-11723.41,52024.08,11034660.0,-0.33525657653808594
