# time,# coil Bx (pT) mean,# coil Bx (pT) std,# coil By (pT) mean,# coil By (pT) std,# coil Bz (pT) mean,# coil Bz (pT) std,# Orientation,# cell Bx (pT) mean,# cell Bx (pT) std,# cell By (pT) mean,# cell By (pT) std,# cell Bz (pT) mean,# cell Bz (pT) std
_yaxi,-30481.68056451613,49.69000000000051,1196.0905645161288,142.91999999999825,-62310.93370967743,30.485104280820504,up,51.41681584925735,13.33398690576469,-391.3209328713548,0.007746901749354038,-1.450512085607107,28.021639828632544
_yaxi,24901.515322580646,137.13500000000022,2022.6509677419351,69.47500000000218,69365.15701612903,45.0637790853291,down,48.59393877784941,14.658594040694773,-391.32129657867995,0.007428329886221733,-3.766047108208863,21.61925752692236
_yaxi,-30537.137822580644,43.725000000000364,1499.795564516129,140.9350000000013,-62409.903306451604,30.374505909209915,up,49.760471019075815,15.331359191615059,-391.3209116701118,0.0075244344094751465,-0.9290599843621894,28.96812798938707
_yaxi,24738.31629032258,125.21000000000095,2625.418629032258,69.47500000000218,69459.72532258063,52.11666898590238,down,45.95363858563326,13.464619441556238,-391.3212475773068,0.007303265850744519,-4.965124526328933,19.751808187971555
_yaxi,-30036.800725806454,41.7400000000016,2707.3158870967736,144.90499999999906,-62310.646048387105,30.67424197392805,up,49.36594440136788,15.822859117624578,-391.3206809210824,0.007749358727021046,-0.3241062649217786,29.826363105713593
_yaxi,24548.92701612903,137.1349999999984,2274.777983870967,67.49000000000137,69413.31782258065,47.76442831432446,down,43.718123089317224,14.798331988232167,-391.3204289178067,0.00773296563919806,-3.901155060081706,22.412952825671653
_yaxi,-30297.324032258064,41.73999999999978,1653.1528225806449,136.96500000000026,-62383.973387096776,34.59982747223115,up,49.61149177464451,13.145549511438253,-391.3203799164336,0.007881230886650756,1.0900137100291738,27.634052748894003
_yaxi,24497.764758064517,131.17499999999927,2118.443225806451,71.45999999999913,69374.62879032257,43.50545999461737,down,43.777148743879295,14.379122290824478,-391.3205547206829,0.007651693331065109,-2.9277955231972874,21.680907445552506
_yaxi,-29899.856129032258,35.774999999999636,1524.3839516129033,136.96500000000015,-62623.792016129024,27.545877098556247,up,45.325181916419695,14.262337051342888,-391.3207648515034,0.007572156816685603,-0.4973638284143895,28.17953885510056
_yaxi,24346.586209677418,139.125,2052.618064516129,61.53500000000008,69566.4477419355,43.63392666482749,down,42.30697543384019,15.004656456646936,-391.32090448819065,0.007448586995870611,-2.493400290565946,21.794688623609776
