Epoch Time,x,y,z,SM
1708473854.2686317,-1645.1274024115667,-1642.9092265941479,-538.5896453150996,-26.343743801116943
1708473854.2786453,-1645.0106656109845,-1642.9092265941479,-536.3714253460919,-38.91470432281494
1708473854.288659,-1644.893928810402,-1642.5590161924008,-536.3714253460919,-40.83754539489746
1708473854.2986727,-1645.0106656109845,-1642.7924897935654,-536.3714253460919,-39.82568979263306
1708473854.3086865,-1644.893928810402,-1642.7924897935654,-538.239390761764,-49.62271690368652
1708473854.3187,-1644.6604552092374,-1642.5590161924008,-539.2901102701823,-40.821781158447266
1708473854.328714,-1644.7771920098198,-1642.4421027854637,-540.4576107307716,-47.94259548187256
1708473854.3387275,-1645.244139212149,-1643.02596339473,-544.777269716616,-46.61236763000488
1708473854.3487413,-1645.244139212149,-1643.02596339473,-504.14897777416087,-43.28364849090576
1708473854.3587549,-1645.0106656109845,-1642.9092265941479,-664.7942684314869,-52.67404079437256
1708473854.3687687,-1644.893928810402,-1642.5590161924008,-611.9073761834038,-43.160715103149414
1708473854.3787823,-1645.244139212149,-1643.02596339473,-615.9935615680836,-49.852824211120605
1708473854.388796,-1645.0106656109845,-1642.9092265941479,-614.3591139051649,-48.22944641113281
1708473854.3988097,-1644.893928810402,-1642.7924897935654,-614.1255961524115,-44.93224620819092
1708473854.4088235,-1644.7771920098198,-1642.5590161924008,-614.9428420596652,-53.3107852935791
1708473854.418837,-1644.6604552092374,-1642.6757529929832,-613.5418679979113,-43.63354206085205
1708473854.428851,-1645.0106656109845,-1642.9092265941479,-614.5925875063296,-50.13967514038086
1708473854.4388645,-1645.3608760127313,-1642.7924897935654,-614.1255961524115,-48.42173099517822
1708473854.4488783,-1645.0106656109845,-1642.7924897935654,-616.2270793208369,-45.077247619628906
1708473854.4588919,-1645.0106656109845,-1642.9092265941479,-616.2270793208369,-53.427414894104004
1708473854.4689057,-1645.0106656109845,-1643.02596339473,-620.430001506099,-43.73441219329834
1708473854.4789193,-1645.244139212149,-1642.9092265941479,-623.3486864301893,-50.27206897735596
1708473854.488933,-1644.7771920098198,-1642.5590161924008,-565.5584070417616,-48.18216323852539
1708473854.4989467,-1644.6604552092374,-1642.4421027854637,-728.0716631147596,-45.67931652069092
1708473854.5089605,-1644.7771920098198,-1642.5590161924008,-695.8492155428286,-54.231228828430176
1708473854.518974,-1645.0106656109845,-1642.5590161924008,-700.752646834762,-44.68637466430664
1708473854.528988,-1644.7771920098198,-1642.7924897935654,-699.1181550202546,-51.26185894012451
1708473854.5390015,-1645.0106656109845,-1642.7924897935654,-699.7019273263436,-49.64162826538086
1708473854.5490153,-1645.0106656109845,-1642.7924897935654,-696.6664614500822,-46.24671459197998
1708473854.5590289,-1645.1274024115667,-1642.9092265941479,-697.016716003418,-54.625253677368164
1708473854.5690427,-1645.1274024115667,-1642.9092265941479,-696.5497246494999,-44.91963863372803
1708473854.5790563,-1645.0106656109845,-1642.6757529929832,-697.950698711254,-51.41001224517822
1708473854.58907,-1644.7771920098198,-1642.5590161924008,-700.752646834762,-49.74565029144287
1708473854.5990837,-1644.7771920098198,-1642.6757529929832,-702.8540858515986,-46.36019229888916
1708473854.6090975,-1645.0106656109845,-1642.5590161924008,-703.2043404049343,-54.74503517150879
1708473854.619111,-1632.8688021059388,-1642.4421027854637,-658.1396085244637,-44.75257396697998
1708473854.6291249,-1537.952776308413,-1642.3253659848813,-819.1351537351254,-52.116103172302246
1708473854.6391385,-1534.3335822776512,-1642.6757529929832,-778.3900366889105,-50.59989929199219
1708473854.6491523,-1532.815827263726,-1642.9092265941479,-781.0752480118363,-47.32161045074463
1708473854.6591659,-1530.7143882468895,-1642.9092265941479,-785.5116879498516,-55.8010196685791
1708473854.6691797,-1531.298072249801,-1642.6757529929832,-785.9787234553584,-46.16790771484375
1708473854.6791933,-1531.5315458509656,-1642.9092265941479,-783.0599502280905,-52.64882564544678
1708473854.689207,-1531.5315458509656,-1642.4421027854637,-781.6590203179253,-51.003379821777344
1708473854.6992207,-1532.9325640643083,-1642.6757529929832,-781.542283517343,-47.58009433746338
1708473854.7092345,-1532.2319666544595,-1642.0918923837166,-782.2427926240143,-55.95863342285156
1708473854.719248,-1530.7143882468895,-1642.4421027854637,-783.1767753318503,-46.24356269836426
1708473854.7292619,-1531.4148090503834,-1642.6757529929832,-785.3949511492693,-52.72132396697998
1708473854.7392755,-1532.5823536625614,-1642.9092265941479,-788.1968992727774,-51.10109806060791
1708473854.7492893,-1531.4148090503834,-1642.7924897935654,-791.9328301041214,-47.69357204437256
1708473854.7593029,-1318.8166971559876,-1642.3253659848813,-952.811594362612,-57.10918426513672
1708473854.7693167,-1328.8570333410191,-1642.6757529929832,-856.4944620485659,-47.2900915145874
1708473854.7793303,-1337.029315807201,-1642.9092265941479,-868.6363255536114,-53.846659660339355
1708473854.789344,-1334.4609295880352,-1642.4421027854637,-871.2047117727774,-52.26740837097168
1708473854.7993577,-1334.8111399897823,-1642.4421027854637,-868.869799154776,-48.8283634185791
1708473854.8093715,-1333.6436836807816,-1642.3253659848813,-869.803781862612,-57.232117652893066
1708473854.819385,-1337.9632985150372,-1642.5590161924008,-868.0525532475224,-47.52335071563721
1708473854.8293989,-1336.212158203125,-1642.4421027854637,-867.2353073402687,-53.95383358001709
1708473854.8394125,-1335.7451226976182,-1642.6757529929832,-867.4687809414334,-52.32729911804199
1708473854.8494263,-1335.3949122958713,-1642.6757529929832,-869.803781862612,-48.89140605926514
1708473854.8594398,-1335.8618594982006,-1643.02596339473,-871.0879749721951,-57.276248931884766
1708473854.8694537,-1337.029315807201,-1643.1427001953125,-870.7377645704481,-47.5391149520874
1708473854.8794672,-1336.6791054054543,-1642.7924897935654,-873.5397126939561,-54.02318477630615
1708473854.889481,-1265.8130681073224,-1642.3253659848813,-836.8808251840096,-52.182297706604004
1708473854.8994946,-1125.2484498200592,-1642.4421027854637,-1018.0737354137278,-49.726738929748535
1708473854.9095085,-1129.3345910531502,-1642.6757529929832,-944.2890131915057,-58.168320655822754
1708473854.919522,-1129.801626558657,-1642.5590161924008,-948.141680823432,-48.56673240661621
1708473854.9295359,-1128.0503979435673,-1641.9751555831342,-947.5579968205204,-55.0539493560791
1708473854.9395494,-1127.4666256374783,-1642.4421027854637,-945.923505006013,-53.47785472869873
1708473854.9495633,-1128.6341702496563,-1642.9092265941479,-946.3904522083424,-49.99467372894287
1708473854.9595768,-1129.9183633592393,-1642.6757529929832,-942.537784576416,-58.385820388793945
1708473854.9695907,-1129.6848897580746,-1642.5590161924008,-945.339732699924,-48.67075443267822
1708473854.9796042,-1127.7001875418202,-1642.4421027854637,-944.989522298177,-55.09492874145508
1708473854.989618,-1128.9843806514034,-1642.4421027854637,-945.923505006013,-53.52513313293457
1708473854.9996316,-1129.5681529574924,-1642.5590161924008,-948.8421899301034,-50.045108795166016
1708473855.0096455,-1129.3345910531502,-1642.3253659848813,-951.5274012530291,-58.48353862762451
1708473855.019659,-1061.8542741846154,-1642.208629184299,-924.2083408214427,-48.59825134277344
1708473855.0296729,-871.9052208794487,-1641.9751555831342,-1116.258833143446,-56.15091323852539
1708473855.0396864,-914.635040141918,-1642.7924897935654,-1008.6171715347855,-54.46133613586426
1708473855.0497003,-918.1374973720974,-1642.6757529929832,-1013.2870850739655,-50.9813117980957
1708473855.0597138,-917.3202514648438,-1642.6757529929832,-1011.8861551638003,-59.39452648162842
1708473855.0697277,-919.4216904816803,-1642.5590161924008,-1014.4545413829661,-49.68575954437256
1708473855.0797412,-919.655164082845,-1642.6757529929832,-1011.4191196582935,-56.100478172302246
1708473855.089755,-919.655164082845,-1642.4421027854637,-1010.1349265487105,-54.51807498931885
1708473855.0997686,-918.721181375009,-1642.208629184299,-1011.0689092565465,-51.003379821777344
1708473855.1097825,-915.4522860491717,-1642.208629184299,-1010.8353473522044,-59.413437843322754
1708473855.119796,-919.0714800799334,-1642.208629184299,-1010.1349265487105,-49.67315196990967
1708473855.1298099,-919.0714800799334,-1642.4421027854637,-1013.2870850739655,-56.12569808959961
1708473855.1398234,-920.9394454956055,-1642.7924897935654,-1016.7895423041449,-54.58427429199219
1708473855.1498373,-918.6044445744267,-1642.5590161924008,-1018.3072973180699,-51.07903003692627
1708473855.1598508,-867.0018337391041,-1642.6757529929832,-992.6227287009909,-59.32832717895508
1708473855.1698647,-699.7019273263436,-1642.6757529929832,-1104.9343038488316,-50.21533012390137
1708473855.1798782,-711.8437025282118,-1642.7924897935654,-1056.834061940511,-56.65842056274414
1708473855.189892,-711.6101847754584,-1641.9751555831342,-1059.1690628616898,-55.15166759490967
1708473855.1999056,-709.6254825592041,-1642.0918923837166,-1058.2350801538537,-51.6558837890625
1708473855.2099195,-710.3259916658754,-1642.208629184299,-1058.4685537550183,-60.072245597839355
1708473855.219933,-711.2599743737114,-1642.5590161924008,-1058.3518169544361,-50.37609100341797
1708473855.2299469,-709.2752280058684,-1642.208629184299,-1058.2350801538537,-56.790809631347656
1708473855.2399604,-712.3106938821297,-1642.6757529929832,-1058.4685537550183,-55.25253772735596
1708473855.2499743,-711.6101847754584,-1642.6757529929832,-1058.3518169544361,-51.706318855285645
1708473855.2599878,-711.8437025282118,-1642.7924897935654,-1060.4532559712727,-60.125837326049805
1708473855.2700016,-711.6101847754584,-1642.5590161924008,-1060.219782370108,-50.4107666015625
1708473855.2800152,-713.7116679438838,-1642.4421027854637,-1064.3060119063766,-56.85070037841797
1708473855.290029,-666.1952424932409,-1641.858418782552,-1047.3774980615685,-55.21786689758301
1708473855.3000426,-511.8543571896023,-1641.9751555831342,-1180.3535178855614,-52.453389167785645
1708473855.3100564,-516.1740161754467,-1642.4421027854637,-1082.0516833552608,-60.65225124359131
1708473855.32007,-515.9404984226933,-1641.9751555831342,-1083.8029119703504,-50.86783409118652
1708473855.3300838,-516.5242707287823,-1641.9751555831342,-1084.5034210770218,-57.232117652893066
1708473855.3400974,-516.0572793748644,-1642.4421027854637,-1080.650665141918,-55.678086280822754
1708473855.3501112,-515.9404984226933,-1642.5590161924008,-1084.386595973262,-52.11925506591797
1708473855.3601248,-517.4582534366184,-1642.4421027854637,-1082.9856660630967,-60.51985740661621
1708473855.3701386,-513.955796206439,-1642.4421027854637,-1085.0871050799333,-50.792179107666016
1708473855.3801522,-514.3060507597746,-1642.4421027854637,-1083.452613265426,-57.1785306930542
1708473855.3901658,-516.4074897766113,-1642.208629184299,-1084.386595973262,-55.67493438720703
1708473855.4001796,-515.4735070687753,-1642.4421027854637,-1085.3205786810981,-52.11925506591797
1708473855.4101932,-515.9404984226933,-1641.858418782552,-1084.386595973262,-60.535621643066406
1708473855.420207,-512.0878307907669,-1642.0918923837166,-1087.6555796022767,-50.81739902496338
1708473855.4302206,-345.4884114088835,-1641.858418782552,-1235.341849150481,-58.14310550689697
1708473855.4402344,-337.3160406395241,-1642.4421027854637,-1084.036385571515,-56.17298126220703
1708473855.450248,-336.49881680806476,-1642.4421027854637,-1086.9550704956055,-52.421865463256836
1708473855.4602618,-335.91506657777006,-1642.3253659848813,-1085.9043509871872,-60.718445777893066
1708473855.4702754,-336.96580816198275,-1642.4421027854637,-1084.386595973262,-50.927724838256836
1708473855.4802892,-336.1485622547291,-1642.5590161924008,-1082.4018937570077,-57.25733757019043
1708473855.4903028,-334.9810838699341,-1642.4421027854637,-1086.254561388934,-55.76004505157471
1708473855.5003166,-334.51409251601604,-1641.858418782552,-1085.2038418805157,-52.14447498321533
1708473855.5103302,-334.74758819297506,-1641.9751555831342,-1084.970368279351,-60.56083679199219
1708473855.520344,-334.9810838699341,-1642.208629184299,-1085.6708773860225,-50.85207462310791
1708473855.5303576,-336.38205793168805,-1641.9751555831342,-1088.4728255095304,-57.232117652893066
1708473855.5403714,-335.6815709008111,-1642.3253659848813,-1089.0565978156196,-55.7568883895874
1708473855.550385,-334.63085139239274,-1642.3253659848813,-1090.5742645263672,-52.182297706604004
1708473855.5603988,-315.4841617301658,-1642.4421027854637,-1084.1531223720974,-60.557684898376465
1708473855.5704124,-166.74718371144047,-1642.4421027854637,-1193.7795745001897,-51.47620677947998
1708473855.5804262,-176.78751989647193,-1642.6757529929832,-1065.7069418165418,-57.40233898162842
1708473855.5904398,-175.03629128138223,-1641.9751555831342,-1065.8236786171242,-55.74428081512451
1708473855.6004536,-178.53873747366444,-1641.9751555831342,-1064.772959108706,-52.024688720703125
1708473855.6104672,-177.60475476582843,-1641.858418782552,-1064.6562223081235,-60.36855220794678
1708473855.620481,-178.65548531214395,-1641.9751555831342,-1067.574907232214,-50.65033435821533
1708473855.6304946,-173.51856938114872,-1641.6249451813874,-1068.3921531394676,-56.992549896240234
1708473855.6405084,-173.9855607350667,-1642.208629184299,-1064.6562223081235,-55.485801696777344
1708473855.650522,-177.83825044278746,-1642.4421027854637,-1065.8236786171242,-51.87338352203369
1708473855.6605358,-177.72150260430794,-1642.5590161924008,-1068.3921531394676,-60.28029441833496
1708473855.6705494,-177.25451125038992,-1642.5590161924008,-1070.3768553557218,-50.574679374694824
1708473855.6805632,-174.91954344290272,-1642.208629184299,-1069.7931713528103,-56.948418617248535
1708473855.6905768,-163.82848774945293,-1641.858418782552,-1066.8743981255425,-55.4794979095459
1708473855.7005906,-32.25346406300862,-1641.7416819819696,-1153.7349665606462,-52.39980220794678
1708473855.7106042,-40.77607006938369,-1641.7416819819696,-1025.545597076416,-60.27714252471924
1708473855.720618,-38.674606217278374,-1641.858418782552,-1030.6825461211026,-50.39185047149658
1708473855.7306316,-39.258345409675876,-1641.7416819819696,-1029.865300213849,-56.61428928375244
1708473855.7406454,-41.47655985973499,-1642.3253659848813,-1029.28152790776,-55.079169273376465
1708473855.750659,-40.65932223090419,-1642.4421027854637,-1031.7332656295212,-51.413164138793945
1708473855.7606728,-41.593307698214495,-1642.6757529929832,-1033.6012310451931,-59.82637405395508
1708473855.7706864,-38.44111054031937,-1642.3253659848813,-1031.9667392306858,-50.09554386138916
1708473855.7807002,-40.77607006938369,-1642.208629184299,-1030.3323357193558,-56.415700912475586
1708473855.7907138,-40.075583038506686,-1641.7416819819696,-1030.449072519938,-54.9814510345459
1708473855.8007276,-38.55785837879887,-1641.858418782552,-1033.4844942446107,-51.3627290725708
1708473855.8107412,-39.02484973271687,-1641.858418782552,-1034.6519505536114,-59.810614585876465
1708473855.820755,-39.72533952306818,-1641.858418782552,-1034.1850033512821,-50.10500431060791
1708473855.8307686,-37.27362939605006,-1641.9751555831342,-1034.0682665506997,-56.450371742248535
1708473855.8407824,75.28619081885726,-1642.3253659848813,-1084.2698591726796,-55.34395217895508
1708473855.850796,73.06754037185951,-1642.6757529929832,-978.3794261791087,-51.19881629943848
1708473855.8608098,73.30108571935583,-1642.208629184299,-979.3134088869448,-59.37245845794678
1708473855.8708234,71.66629036267598,-1642.3253659848813,-979.7804443924515,-49.54391002655029
1708473855.8808372,72.25014545299388,-1642.3253659848813,-980.0139179936161,-55.77895641326904
1708473855.8908508,72.95077045758565,-1641.508208380805,-982.5823925159596,-54.34155464172363
1708473855.9008646,72.36691536726775,-1641.7416819819696,-982.6991293165419,-50.67239761352539
1708473855.9108782,75.51973064740498,-1641.858418782552,-978.8464616846155,-59.063544273376465
1708473855.920892,72.36691536726775,-1641.7416819819696,-981.1813743026167,-49.35162544250488
