,x,y,z,temp,temp_error
1708474026.65059,14222.550000000003,44106.71000000001,-1210.2299999999996,9475385.0,-0.23082923889160156
1708474026.78436,14830.730000000003,46564.130000000005,-1411.9300000000003,9553960.0,-0.24175262451171875
1708474026.91813,15383.25,48938.2,-1645.2799999999988,9644647.0,-0.25350379943847656
1708474027.0519,15876.150000000001,51205.07000000001,-1910.2599999999984,9744787.0,-0.2658519744873047
1708474027.18567,16301.480000000003,53336.96000000001,-2202.9300000000003,9851652.0,-0.27709388732910156
1708474027.3194396,16655.25,55310.05,-2523.290000000001,9970158.0,-0.28775787353515625
1708474027.4532096,16937.480000000003,57100.520000000004,-2867.369999999999,10102231.0,-0.2981605529785156
1708474027.5869796,17152.120000000003,58696.46000000001,-3231.2299999999996,10243982.0,-0.3067188262939453
1708474027.7207496,17299.199999999997,60089.92,-3603.0,10399059.0,-0.3134040832519531
1708474027.8545196,17390.620000000003,61288.86,-3974.7700000000004,10574524.0,-0.3187694549560547
1708474027.9882896,17430.370000000003,62301.21000000001,-4342.59,10771712.0,-0.3228740692138672
1708474028.1220596,17426.4,63146.83,-4698.540000000001,10993642.0,-0.3251323699951172
1708474028.2558296,17386.65,63841.57000000001,-5034.709999999999,11084947.0,-0.32645225524902344
1708474028.3895993,17319.08,64409.28,-5351.110000000001,11072014.0,-0.3273200988769531
1708474028.5233693,17231.620000000003,64865.84,-5643.779999999999,11056690.0,-0.32724952697753906
1708474028.6571393,17128.28,65227.100000000006,-5912.720000000001,11041675.0,-0.3267536163330078
1708474028.7909093,17016.980000000003,65512.94,-6157.93,11028439.0,-0.3261432647705078
1708474028.9246793,16897.730000000003,65735.27,-6379.419999999998,11015498.0,-0.3253059387207031
1708474029.0584493,16774.5,65902.0,-6577.169999999998,11003616.0,-0.3242378234863281
1708474029.1922193,16651.269999999997,66029.05,-6755.139999999999,10993423.0,-0.3231639862060547
1708474029.3259892,16532.019999999997,66120.35,-6913.34,10984473.0,-0.3221874237060547
1708474029.459759,16412.769999999997,66183.88,-7051.759999999998,10976121.0,-0.3210277557373047
1708474029.593529,16301.480000000003,66223.57,-7174.369999999999,10968956.0,-0.31995582580566406
1708474029.727299,16194.150000000001,66247.4,-7281.16,10963074.0,-0.31897926330566406
1708474029.861069,16090.800000000003,66259.31,-7376.07,10957341.0,-0.31793785095214844
1708474029.994839,15995.400000000001,66259.31,-7459.130000000001,10952429.0,-0.3169708251953125
1708474030.128609,15903.980000000003,66251.36,-7530.32,10948122.0,-0.31601715087890625
1708474030.262379,15820.5,66235.49,-7593.5999999999985,10944252.0,-0.31517791748046875
1708474030.396149,15741.0,66219.6,-7648.970000000001,10940693.0,-0.3142967224121094
1708474030.5299187,15669.449999999997,66199.76,-7696.43,10937325.0,-0.31345176696777344
1708474030.6636887,15601.870000000003,66175.93,-7735.98,10934700.0,-0.3127422332763672
1708474030.7974586,15538.269999999997,66152.12,-7771.57,10931943.0,-0.3119621276855469
