,x,y,z,temp,temp_error
1708474633.4763148,-11130.0,-45786.01,4026.1900000000023,10388769.0,0.0
1708474633.6120977,-11165.77,-48874.68,4979.3399999999965,10594190.0,-0.14960289001464844
1708474633.747881,-11078.32,-51832.33,5976.0,10695757.0,-0.1721057891845703
1708474633.883664,-10867.650000000001,-54599.41,6976.620000000003,10776831.0,-0.19175148010253906
1708474634.019447,-10537.73,-57124.33,7949.550000000003,10839528.0,-0.20889663696289062
1708474634.15523,-10096.5,-59383.259999999995,8875.019999999997,10883224.0,-0.22387313842773438
1708474634.291013,-9551.919999999998,-61364.29,9725.339999999997,10903380.0,-0.23506736755371094
1708474634.4267962,-8915.919999999998,-63067.42,10488.660000000003,10907071.0,-0.2430896759033203
1708474634.5625792,-8204.400000000001,-64512.5,11168.919999999998,10900164.0,-0.24913597106933594
1708474634.698362,-7425.299999999999,-65727.32,11766.120000000003,10884270.0,-0.25311279296875
1708474634.8341453,-6590.549999999999,-66731.73000000001,12284.230000000003,10863810.0,-0.2553386688232422
1708474634.9699283,-5712.07,-67553.51999999999,12731.14,10843106.0,-0.25679969787597656
1708474635.1057115,-4793.8499999999985,-68220.48000000001,13118.730000000003,10822367.0,-0.2575263977050781
1708474635.2414944,-3843.8199999999997,-68748.48999999999,13450.96,10802964.0,-0.25755882263183594
1708474635.3772774,-2869.9500000000007,-69153.44,13739.669999999998,10786369.0,-0.2575397491455078
1708474635.5130606,-1880.1699999999983,-69459.12,13988.830000000002,10771925.0,-0.2573051452636719
1708474635.6488435,-878.4700000000012,-69681.44,14206.36,10759185.0,-0.2567558288574219
1708474635.7846267,127.19999999999709,-69824.37,14396.199999999997,10749950.0,-0.2565326690673828
1708474635.9204097,1132.8700000000026,-69899.8,14566.260000000002,10741931.0,-0.25618743896484375
1708474636.0561926,2134.5699999999997,-69923.61,14716.550000000003,10735090.0,-0.2556934356689453
1708474636.1919758,3124.3499999999985,-69895.83,14851.019999999997,10731096.0,-0.25551605224609375
1708474636.3277588,4098.230000000003,-69824.37,14973.629999999997,10728169.0,-0.25545692443847656
1708474636.4635417,5048.25,-69721.14,15084.370000000003,10725578.0,-0.2552452087402344
1708474636.599325,5970.449999999997,-69586.16,15187.199999999997,10724573.0,-0.2551403045654297
1708474636.735108,6860.8499999999985,-69423.4,15282.120000000003,10724789.0,-0.25539207458496094
1708474636.870891,7715.480000000003,-69244.73999999999,15373.080000000002,10724914.0,-0.25548362731933594
1708474637.006674,8526.370000000003,-69050.20999999999,15456.14,10725559.0,-0.2555274963378906
1708474637.142457,9293.550000000003,-68843.76999999999,15531.279999999999,10727764.0,-0.2560100555419922
1708474637.2782402,10013.019999999997,-68629.4,15602.480000000003,10729413.0,-0.25634193420410156
1708474637.4140232,10680.82,-68415.01000000001,15669.71,10730644.0,-0.2565479278564453
1708474637.5498064,11300.919999999998,-68200.63,15729.029999999999,10733288.0,-0.25700950622558594
1708474637.6855893,11869.349999999999,-67986.25,15784.410000000003,10735256.0,-0.2574901580810547
1708474637.8213723,12386.099999999999,-67779.81,15835.82,10736461.0,-0.2577629089355469
1708474637.9571555,12855.150000000001,-67581.31,15883.279999999999,10738012.0,-0.2580432891845703
1708474638.0929384,13276.5,-67390.76000000001,15926.779999999999,10739555.0,-0.2585124969482422
1708474638.2287214,13654.120000000003,-67208.13,15962.379999999997,10739913.0,-0.2586956024169922
1708474638.3645046,13988.019999999997,-67041.4,15994.019999999997,10739873.0,-0.25874900817871094
1708474638.5002875,14282.169999999998,-66886.56,16021.71,10740421.0,-0.2590351104736328
1708474638.6360707,14544.519999999997,-66743.64,16045.440000000002,10739759.0,-0.2590599060058594
1708474638.7718537,14775.080000000002,-66612.63,16065.21,10738653.0,-0.2589607238769531
1708474638.9076366,14977.800000000003,-66493.53,16081.029999999999,10738041.0,-0.2589588165283203
1708474639.0434198,15156.669999999998,-66386.34,16092.89,10736723.0,-0.25887298583984375
1708474639.1792028,15311.699999999997,-66291.06,16104.760000000002,10734971.0,-0.2586555480957031
1708474639.314986,15446.849999999999,-66203.73000000001,16112.669999999998,10733342.0,-0.25836944580078125
1708474639.450769,15562.120000000003,-66128.29000000001,16120.580000000002,10731713.0,-0.2582130432128906
1708474639.586552,15661.5,-66060.8,16124.529999999999,10729643.0,-0.2578754425048828
1708474639.722335,15748.949999999997,-66001.25,16128.489999999998,10727281.0,-0.2574195861816406
1708474639.858118,15824.480000000003,-65945.67,16128.489999999998,10725692.0,-0.25719451904296875
1708474639.993901,15888.080000000002,-65898.03,16128.489999999998,10723524.0,-0.2567863464355469
1708474640.1296842,15943.730000000003,-65858.33,16128.489999999998,10721004.0,-0.2562980651855469
1708474640.2654672,15991.419999999998,-65822.6,16128.489999999998,10719198.0,-0.25592041015625
1708474640.4012504,16035.150000000001,-65790.84,16128.489999999998,10716980.0,-0.2554950714111328
1708474640.5370333,16070.919999999998,-65763.05,16124.529999999999,10714501.0,-0.25499725341796875
1708474640.6728163,16102.730000000003,-65739.23000000001,16120.580000000002,10712536.0,-0.25449180603027344
1708474640.8085995,16130.550000000003,-65715.41,16116.620000000003,10710497.0,-0.2541065216064453
1708474640.9443824,16154.400000000001,-65695.56,16116.620000000003,10708149.0,-0.2535896301269531
1708474641.0801656,16174.269999999997,-65679.68,16112.669999999998,10705532.0,-0.2529792785644531
1708474641.2159486,16190.169999999998,-65663.8,16112.669999999998,10703771.0,-0.2525806427001953
1708474641.3517315,16206.080000000002,-65651.89,16108.71,10701308.0,-0.2520256042480469
