,x,y,z,temp,temp_error
1708449662.459587,-15677.400000000001,6741.059999999998,2266.209999999999,11084007.0,-0.3505973815917969
1708449662.5954533,-16647.3,6895.889999999999,2175.25,11075877.0,-0.3491096496582031
1708449662.7313197,-17633.1,7022.93,2076.3700000000026,11067797.0,-0.3476428985595703
1708449662.8671858,-18634.8,7126.1500000000015,1973.550000000003,11059916.0,-0.3460731506347656
1708449663.0030522,-19652.4,7205.550000000003,1866.760000000002,11051640.0,-0.3443431854248047
1708449663.1389184,-20685.9,7257.1600000000035,1756.0199999999968,11044516.0,-0.3427867889404297
1708449663.2747848,-21735.3,7280.980000000003,1645.2799999999988,11037400.0,-0.34124183654785156
1708449663.410651,-22804.58,7284.949999999997,1538.5,11030252.0,-0.3396186828613281
1708449663.5465171,-23889.75,7265.0999999999985,1435.6600000000035,11022829.0,-0.33786773681640625
1708449663.6823835,-24990.82,7225.4000000000015,1336.7900000000009,11016760.0,-0.3363227844238281
1708449663.8182497,-26107.8,7161.879999999997,1241.8700000000026,11010350.0,-0.3348407745361328
1708449663.954116,-27240.68,7078.510000000002,1154.8600000000006,11003913.0,-0.3332538604736328
1708449664.0899823,-28385.48,6979.260000000002,1075.760000000002,10997181.0,-0.3315258026123047
1708449664.2258487,-29546.18,6860.1600000000035,1004.5699999999997,10991907.0,-0.33010101318359375
1708449664.3617148,-30718.8,6725.18,945.25,10986357.0,-0.3287162780761719
1708449664.4975812,-31903.35,6574.32,893.8300000000017,10980512.0,-0.3271980285644531
1708449664.6334474,-33099.82,6415.519999999997,854.2799999999988,10974391.0,-0.3255653381347656
1708449664.7693136,-34304.25,6240.8399999999965,826.5899999999965,10969679.0,-0.3242511749267578
1708449664.90518,-35516.62,6054.25,810.7699999999968,10964817.0,-0.3229694366455078
1708449665.0410461,-36732.98,5859.720000000001,806.8199999999997,10959373.0,-0.321533203125
1708449665.1769125,-37953.3,5657.25,814.7300000000032,10954053.0,-0.3200187683105469
1708449665.3127787,-39173.62,5446.8399999999965,834.5,10950220.0,-0.3188610076904297
1708449665.448645,-40393.95,5224.519999999997,866.1399999999994,10945806.0,-0.3177146911621094
1708449665.5845113,-41606.32,4998.230000000003,909.6500000000015,10941371.0,-0.3164520263671875
1708449665.7203774,-42810.75,4767.970000000001,961.0699999999997,10937022.0,-0.31511878967285156
1708449665.8562438,-43999.28,4533.739999999998,1024.3399999999965,10934011.0,-0.31416893005371094
1708449665.99211,-45171.9,4291.57,1099.489999999998,10930769.0,-0.31322479248046875
1708449666.1279764,-46324.65,4045.4300000000003,1182.550000000003,10927195.0,-0.3121356964111328
1708449666.2638426,-47453.55,3799.290000000001,1277.4599999999991,10924194.0,-0.31109046936035156
1708449666.399709,-48554.62,3549.1800000000003,1380.300000000003,10922618.0,-0.3103961944580078
1708449666.5355752,-49619.93,3299.0699999999997,1487.0800000000017,10920937.0,-0.30977630615234375
1708449666.6714413,-50649.45,3048.959999999999,1601.7699999999968,10918890.0,-0.3090019226074219
1708449666.8073077,-51639.229999999996,2802.8199999999997,1720.4199999999983,10917774.0,-0.30834388732910156
1708449666.943174,-52589.25,2556.6800000000003,1839.0699999999997,10917799.0,-0.308013916015625
1708449667.0790403,-53491.58,2314.510000000002,1961.6800000000003,10916889.0,-0.30759620666503906
1708449667.2149065,-54346.2,2076.3099999999977,2084.279999999999,10915882.0,-0.3071022033691406
1708449667.3507729,-55149.16,1842.0800000000017,2206.8899999999994,10914897.0,-0.30661582946777344
1708449667.486639,-55900.43,1615.7900000000009,2329.5,10915010.0,-0.30638885498046875
1708449667.6225054,-56600.03,1397.4400000000023,2448.1399999999994,10914122.0,-0.3060894012451172
1708449667.7583716,-57247.95,1187.0299999999988,2558.8899999999994,10912642.0,-0.3056354522705078
1708449667.8942378,-57848.18,984.5599999999977,2665.6699999999983,10910946.0,-0.30513572692871094
1708449668.0301042,-58396.729999999996,794.0,2768.5,10909892.0,-0.3048248291015625
1708449668.1659703,-58897.58,611.3799999999974,2863.4199999999983,10907650.0,-0.3043498992919922
1708449668.3018367,-59354.7,440.66999999999825,2950.4300000000003,10905305.0,-0.3038063049316406
1708449668.437703,-59768.1,281.8700000000026,3029.529999999999,10902593.0,-0.30318450927734375
1708449668.5735693,-60141.75,134.9800000000032,3104.6699999999983,10900367.0,-0.3026924133300781
