,x,y,z,temp,temp_error
1708450482.4388494,10589.400000000001,-8622.84,968.9800000000032,10615306.0,0.0
1708450482.5727954,11300.919999999998,-8698.27,976.8899999999994,10617400.0,-0.22647666931152344
1708450482.706741,12024.370000000003,-8757.82,984.8000000000029,10619235.0,-0.2269420623779297
1708450482.840687,12759.75,-8801.490000000002,992.6999999999971,10621480.0,-0.2274303436279297
1708450482.9746327,13507.050000000003,-8829.279999999999,996.6600000000035,10625050.0,-0.22829627990722656
1708450483.1085787,14270.25,-8845.16,1000.6100000000006,10627581.0,-0.22892379760742188
1708450483.2425244,15045.370000000003,-8849.130000000001,1004.5699999999997,10629820.0,-0.2294292449951172
1708450483.3764703,15836.400000000001,-8845.16,1008.5199999999968,10633668.0,-0.23021888732910156
1708450483.5104163,16639.35,-8829.279999999999,1012.4800000000032,10637161.0,-0.231109619140625
1708450483.644362,17458.199999999997,-8805.46,1020.3899999999994,10639807.0,-0.23174476623535156
1708450483.778308,18292.949999999997,-8777.669999999998,1028.300000000003,10642621.0,-0.2323322296142578
1708450483.9122536,19143.6,-8737.970000000001,1036.2099999999991,10646890.0,-0.2333393096923828
1708450484.0461996,20010.15,-8694.3,1044.1200000000026,10649991.0,-0.23412513732910156
1708450484.1801453,20892.6,-8646.66,1052.0299999999988,10652523.0,-0.23472213745117188
1708450484.3140912,21790.949999999997,-8595.05,1059.9400000000023,10656451.0,-0.23555755615234375
1708450484.4480371,22705.199999999997,-8535.5,1067.8499999999985,10660146.0,-0.23654747009277344
1708450484.5819829,23635.35,-8471.98,1079.7099999999991,10662876.0,-0.23724746704101562
1708450484.7159288,24585.370000000003,-8404.490000000002,1091.5800000000017,10665556.0,-0.23785400390625
1708450484.8498745,25551.300000000003,-8329.060000000001,1103.4400000000023,10669869.0,-0.23887062072753906
1708450484.9838204,26533.120000000003,-8249.66,1119.260000000002,10673000.0,-0.23973655700683594
1708450485.1177661,27530.85,-8166.290000000001,1135.0800000000017,10675320.0,-0.24034500122070312
1708450485.251712,28544.480000000003,-8078.950000000001,1150.9100000000035,10678796.0,-0.2411022186279297
1708450485.385658,29574.0,-7983.669999999998,1170.6800000000003,10682353.0,-0.24210357666015625
1708450485.5196037,30619.42,-7884.419999999998,1190.449999999997,10684846.0,-0.24278831481933594
1708450485.6535497,31680.75,-7781.200000000001,1214.1800000000003,10686830.0,-0.24330520629882812
1708450485.7874954,32754.0,-7666.07,1237.9100000000035,10690689.0,-0.244232177734375
1708450485.9214413,33839.17,-7543.0,1261.6399999999994,10693214.0,-0.245025634765625
1708450486.055387,34932.3,-7419.93,1289.3300000000017,10694844.0,-0.24551963806152344
1708450486.189333,36033.380000000005,-7288.919999999998,1317.010000000002,10697485.0,-0.24612998962402344
1708450486.323279,37138.42,-7142.029999999999,1348.6600000000035,10700509.0,-0.24703407287597656
1708450486.4572246,38243.479999999996,-6987.200000000001,1384.25,10702277.0,-0.2476043701171875
1708450486.5911705,39344.56,-6828.4000000000015,1419.8399999999965,10703606.0,-0.2479724884033203
1708450486.7251163,40441.649999999994,-6653.720000000001,1459.3899999999994,10706443.0,-0.2487163543701172
1708450486.8590622,41526.83,-6467.130000000001,1498.9400000000023,10708535.0,-0.24939918518066406
1708450486.993008,42600.08,-6276.57,1542.449999999997,10709507.0,-0.249755859375
1708450487.1269538,43653.46000000001,-6074.0999999999985,1589.9100000000035,10711248.0,-0.250152587890625
1708450487.2608998,44682.979999999996,-5859.720000000001,1637.3700000000026,10713880.0,-0.25095176696777344
1708450487.3948455,45684.67999999999,-5637.4000000000015,1688.7799999999988,10715410.0,-0.25144004821777344
1708450487.5287914,46650.600000000006,-5411.110000000001,1740.199999999997,10716379.0,-0.25170326232910156
1708450487.6627371,47580.75,-5176.880000000001,1795.5699999999997,10718946.0,-0.25232887268066406
1708450487.796683,48467.17999999999,-4934.709999999999,1850.9400000000023,10721254.0,-0.25299644470214844
1708450487.9306288,49305.91,-4692.540000000001,1906.3099999999977,10722558.0,-0.25336647033691406
1708450488.0645747,50096.92,-4450.369999999999,1965.6399999999994,10724461.0,-0.25376129150390625
1708450488.1985207,50836.28,-4204.23,2024.9599999999991,10727514.0,-0.25455474853515625
1708450488.3324664,51519.979999999996,-3966.029999999999,2084.279999999999,10729483.0,-0.25508880615234375
1708450488.4664123,52148.03,-3735.7700000000004,2139.6600000000035,10730643.0,-0.2553997039794922
1708450488.600358,52720.42,-3509.4799999999996,2195.019999999997,10733286.0,-0.2559967041015625
1708450488.734304,53237.17999999999,-3291.130000000001,2246.4400000000023,10735252.0,-0.25661277770996094
1708450488.8682497,53702.25,-3088.66,2297.8499999999985,10736421.0,-0.2569751739501953
1708450489.0021956,54119.630000000005,-2898.0999999999985,2345.3199999999997,10737480.0,-0.25725364685058594
1708450489.1361415,54489.3,-2719.4500000000007,2388.8199999999997,10739021.0,-0.2578010559082031
1708450489.2700872,54815.25,-2552.709999999999,2428.3700000000026,10739317.0,-0.2580757141113281
1708450489.4040332,55101.46000000001,-2401.8499999999985,2463.959999999999,10738853.0,-0.2581348419189453
1708450489.537979,55351.880000000005,-2266.869999999999,2495.5999999999985,10739022.0,-0.25832176208496094
1708450489.6719248,55570.5,-2143.7999999999993,2523.290000000001,10738419.0,-0.25847816467285156
1708450489.8058705,55761.3,-2032.6399999999994,2550.980000000003,10737202.0,-0.2584095001220703
1708450489.9398165,55928.25,-1933.3899999999994,2574.699999999997,10735535.0,-0.25818634033203125
1708450490.0737624,56071.36,-1846.0499999999993,2594.480000000003,10734663.0,-0.2582378387451172
1708450490.2077081,56194.58,-1766.6500000000015,2610.300000000003,10732865.0,-0.2580394744873047
1708450490.341654,56301.91,-1699.1599999999999,2626.1200000000026,10730452.0,-0.25768089294433594
1708450490.4755998,56393.33,-1639.6100000000006,2637.980000000003,10728948.0,-0.25742530822753906
1708450490.6095457,56472.83,-1588.0,2649.8499999999985,10727070.0,-0.2572154998779297
1708450490.7434914,56540.41,-1540.3600000000006,2661.709999999999,10724685.0,-0.25681304931640625
1708450490.8774374,56596.05,-1500.6599999999999,2669.6200000000026,10722135.0,-0.2562980651855469
1708450491.0113833,56643.75,-1464.9300000000003,2677.529999999999,10720620.0,-0.2560539245605469
1708450491.145329,56687.490000000005,-1433.1699999999983,2685.4400000000023,10718187.0,-0.25562095642089844
1708450491.279275,56723.25,-1409.3499999999985,2689.4000000000015,10715463.0,-0.2550983428955078
1708450491.4132206,56751.08,-1385.5299999999988,2693.3499999999985,10713338.0,-0.25458717346191406
1708450491.5471666,56774.92,-1365.6800000000003,2697.3099999999977,10711334.0,-0.2542285919189453
1708450491.6811125,56794.8,-1349.7999999999993,2701.260000000002,10708718.0,-0.2536792755126953
1708450491.8150582,56810.71000000001,-1333.9199999999983,2705.220000000001,10705911.0,-0.2530403137207031
1708450491.9490042,56826.600000000006,-1322.0099999999984,2709.1699999999983,10704335.0,-0.25264930725097656
1708450492.0829499,56838.53,-1314.0699999999997,2713.1299999999974,10701826.0,-0.25214385986328125
1708450492.2168958,56850.46000000001,-1306.130000000001,2717.0800000000017,10699045.0,-0.2515277862548828
1708450492.3508415,56858.41,-1298.1899999999987,2717.0800000000017,10696662.0,-0.2509040832519531
1708450492.4847875,56866.36,-1294.2200000000012,2717.0800000000017,10694813.0,-0.2505073547363281
1708450492.6187334,56874.3,-1290.25,2721.040000000001,10692215.0,-0.2499065399169922
1708450492.752679,56878.28,-1286.2799999999988,2721.040000000001,10689330.0,-0.24921226501464844
1708450492.886625,56882.25,-1282.3100000000013,2725.0,10687657.0,-0.2487640380859375
1708450493.0205708,56886.229999999996,-1278.3400000000001,2725.0,10685206.0,-0.24822616577148438
1708450493.1545167,56890.21000000001,-1274.369999999999,2725.0,10682749.0,-0.2476215362548828
1708450493.2884624,56894.17999999999,-1270.4000000000015,2728.949999999997,10680064.0,-0.2469654083251953
1708450493.4224083,56894.17999999999,-1270.4000000000015,2732.9100000000035,10678259.0,-0.2464466094970703
1708450493.5563543,56894.17999999999,-1270.4000000000015,2732.9100000000035,10675879.0,-0.2459278106689453
1708450493.6903,56894.17999999999,-1270.4000000000015,2736.8600000000006,10673256.0,-0.24529075622558594
1708450493.824246,56894.17999999999,-1270.4000000000015,2736.8600000000006,10670510.0,-0.24457550048828125
1708450493.9581916,56894.17999999999,-1270.4000000000015,2736.8600000000006,10668725.0,-0.24413299560546875
1708450494.0921376,56894.17999999999,-1270.4000000000015,2736.8600000000006,10666227.0,-0.2435436248779297
1708450494.2260833,56894.17999999999,-1270.4000000000015,2740.8199999999997,10663297.0,-0.24283790588378906
1708450494.3600292,56894.17999999999,-1270.4000000000015,2744.769999999997,10661340.0,-0.24225234985351562
1708450494.4939752,56894.17999999999,-1270.4000000000015,2744.769999999997,10659080.0,-0.24176025390625
1708450494.6279209,56894.17999999999,-1270.4000000000015,2748.730000000003,10656448.0,-0.24110794067382812
1708450494.7618668,56894.17999999999,-1270.4000000000015,2748.730000000003,10653631.0,-0.24037933349609375
1708450494.8958125,56894.17999999999,-1270.4000000000015,2748.730000000003,10651986.0,-0.23991775512695312
1708450495.0297585,56894.17999999999,-1270.4000000000015,2752.6800000000003,10649462.0,-0.23933982849121094
1708450495.1637042,56894.17999999999,-1270.4000000000015,2752.6800000000003,10646653.0,-0.2386493682861328
1708450495.29765,56894.17999999999,-1266.4300000000003,2752.6800000000003,10644338.0,-0.23799705505371094
1708450495.431596,56894.17999999999,-1266.4300000000003,2752.6800000000003,10642340.0,-0.23753738403320312
1708450495.5655417,56894.17999999999,-1266.4300000000003,2752.6800000000003,10639739.0,-0.23688888549804688
1708450495.6994877,56894.17999999999,-1266.4300000000003,2752.6800000000003,10636860.0,-0.23615264892578125
1708450495.8334334,56894.17999999999,-1266.4300000000003,2752.6800000000003,10635063.0,-0.23564720153808594
1708450495.9673793,56894.17999999999,-1266.4300000000003,2752.6800000000003,10632781.0,-0.2351093292236328
1708450496.101325,56894.17999999999,-1266.4300000000003,2752.6800000000003,10629991.0,-0.2344379425048828
1708450496.235271,56894.17999999999,-1266.4300000000003,2752.6800000000003,10627684.0,-0.23375892639160156
1708450496.369217,56894.17999999999,-1266.4300000000003,2752.6800000000003,10625807.0,-0.2333221435546875
1708450496.5031626,56894.17999999999,-1266.4300000000003,2756.6399999999994,10623251.0,-0.2326812744140625
1708450496.6371086,56894.17999999999,-1266.4300000000003,2756.6399999999994,10620330.0,-0.23195266723632812
1708450496.7710543,56894.17999999999,-1266.4300000000003,2756.6399999999994,10618478.0,-0.23141098022460938
1708450496.9050002,56894.17999999999,-1266.4300000000003,2756.6399999999994,10616114.0,-0.2308807373046875
1708450497.038946,56894.17999999999,-1266.4300000000003,2756.6399999999994,10613383.0,-0.23021316528320312
1708450497.1728919,56894.17999999999,-1266.4300000000003,2756.6399999999994,10610975.0,-0.2295207977294922
1708450497.3068378,56894.17999999999,-1266.4300000000003,2756.6399999999994,10609092.0,-0.22907638549804688
1708450497.4407835,56894.17999999999,-1266.4300000000003,2760.5899999999965,10606529.0,-0.2284412384033203
1708450497.5747294,56894.17999999999,-1266.4300000000003,2760.5899999999965,10603728.0,-0.2277393341064453
1708450497.7086751,56894.17999999999,-1266.4300000000003,2760.5899999999965,10601707.0,-0.2271595001220703
1708450497.842621,56894.17999999999,-1266.4300000000003,2760.5899999999965,10599376.0,-0.2266387939453125
1708450497.9765668,56894.17999999999,-1266.4300000000003,2760.5899999999965,10596816.0,-0.22599220275878906
1708450498.1105127,56894.17999999999,-1266.4300000000003,2764.550000000003,10594204.0,-0.22527313232421875
1708450498.2444587,56894.17999999999,-1266.4300000000003,2764.550000000003,10592356.0,-0.2248249053955078
1708450498.3784044,56894.17999999999,-1266.4300000000003,2768.5,10589903.0,-0.22420692443847656
1708450498.5123503,56894.17999999999,-1266.4300000000003,2768.5,10586926.0,-0.22348403930664062
1708450498.646296,56894.17999999999,-1266.4300000000003,2768.5,10585028.0,-0.2229175567626953
1708450498.780242,56894.17999999999,-1266.4300000000003,2768.5,10582951.0,-0.22243309020996094
1708450498.9141877,56894.17999999999,-1266.4300000000003,2768.5,10580299.0,-0.22177696228027344
1708450499.0481336,56894.17999999999,-1266.4300000000003,2768.5,10577624.0,-0.2210521697998047
1708450499.1820796,56894.17999999999,-1266.4300000000003,2768.5,10575923.0,-0.2206287384033203
