Epoch Time,x,y,z,SM
1708451074.2118576,1633.710154780635,-501.46376645123513,-201.53809476781774,-26.435158252716064
1708451074.2218678,1633.8268915812173,-501.2302486984818,-203.52281905986644,-22.778608798980713
1708451074.2318783,1633.8268915812173,-499.9460555888988,-206.44150398395678,-24.884276390075684
1708451074.2418885,1634.1772785893193,-501.11351189789946,-202.70557315261274,-32.19106912612915
1708451074.251899,1633.710154780635,-498.07809017322677,-201.53809476781774,-23.440570831298828
1708451074.2619092,1634.1772785893193,-499.0120728810628,-203.40606018348976,-33.28803300857544
1708451074.2719195,1633.8268915812173,-501.69724005239976,-204.34004289132577,-27.100272178649902
1708451074.28193,1634.1772785893193,-476.24618918807414,-223.9537239074707,-27.54157781600952
1708451074.2919402,1634.1772785893193,-440.8715389392994,-245.6688439404523,-33.90271186828613
1708451074.3019507,1633.8268915812173,-421.8416302292435,-230.02461150840475,-24.32318687438965
1708451074.311961,1633.8268915812173,-423.1258233388265,-230.95859421624075,-33.678905963897705
1708451074.3219712,1633.8268915812173,-429.19675509134925,-229.32412447752776,-27.20114231109619
1708451074.3319817,1633.9436283817997,-426.1612892150879,-226.63891315460205,-27.383968830108643
1708451074.341992,1633.4765045731156,-422.0751038304081,-227.80639153939705,-33.656840324401855
1708451074.3520024,1634.1772785893193,-422.0751038304081,-229.67437903086343,-24.19079303741455
1708451074.3620126,1633.9436283817997,-426.97853512234155,-230.02461150840475,-33.587491512298584
1708451074.3720229,1634.2940153899015,-423.47607789216215,-227.10590450852004,-27.15385913848877
1708451074.3820333,1633.9436283817997,-420.5573929680718,-227.10590450852004,-27.305164337158203
1708451074.3920436,1634.2940153899015,-420.5573929680718,-228.15664609273273,-33.65053653717041
1708451074.402054,1633.8268915812173,-423.7095956449155,-230.02461150840475,-24.20025110244751
1708451074.4120643,1633.8268915812173,-423.59281469274447,-228.03988721635605,-33.51814270019531
1708451074.4220746,1633.8268915812173,-389.26892810397675,-241.46592175519024,-27.07505464553833
1708451074.432085,1633.243030971951,-350.50857950139925,-249.40477477179633,-27.037227153778076
1708451074.4420953,1633.8268915812173,-346.30563524034284,-249.63829252454968,-33.31955432891846
1708451074.4521058,1634.060365182382,-349.80809247052224,-246.71958552466498,-23.730573654174805
1708451074.462116,1634.1772785893193,-346.53913091730186,-247.18657687858297,-32.99803018569946
1708451074.4721262,1634.060365182382,-344.78792437800655,-246.36933097132928,-26.630594730377197
1708451074.4821367,1634.1772785893193,-344.90466117858887,-249.288037971214,-26.693637371063232
1708451074.492147,1634.1772785893193,-347.70660930209687,-248.9377834178783,-33.16194534301758
1708451074.5021574,1633.9436283817997,-345.83864388642485,-247.30331367916529,-23.598179817199707
1708451074.5121677,1633.8268915812173,-344.20417414771185,-245.6688439404523,-32.90661811828613
1708451074.522178,1633.3597677725331,-344.67116550162984,-247.7703050330833,-26.605377197265625
1708451074.5321884,1633.710154780635,-345.6051482094659,-251.7397536171807,-26.649506092071533
1708451074.5421987,1633.710154780635,-346.30563524034284,-249.288037971214,-33.158793449401855
1708451074.5522091,1634.1772785893193,-322.95604546864826,-262.1303222797535,-23.57611656188965
1708451074.5622194,1634.1772785893193,-289.56609743612785,-284.19569686607076,-32.82150745391846
1708451074.5722296,1634.060365182382,-272.2873952653673,-265.6327574341385,-26.353201866149902
1708451074.58224,1633.9436283817997,-274.3888563579983,-261.5465720494588,-26.211352348327637
1708451074.5922503,1634.1772785893193,-272.98788229624427,-260.1455979877048,-32.682812213897705
1708451074.6022608,1633.8268915812173,-269.25195146490023,-260.49585254104045,-23.030786514282227
1708451074.612271,1633.3597677725331,-268.31796875706425,-263.7647920184665,-32.2572660446167
1708451074.6222813,1633.9436283817997,-272.98788229624427,-262.94754611121283,-26.053740978240967
1708451074.6322918,1633.4765045731156,-270.18593417273627,-261.8968266027945,-25.974936485290527
1708451074.642302,1633.710154780635,-266.2165076644332,-262.5973136336715,-32.54096269607544
1708451074.6523125,1633.8268915812173,-266.2165076644332,-262.5973136336715,-22.91100263595581
1708451074.6623228,1634.060365182382,-269.25195146490023,-263.6480552178842,-32.1690034866333
1708451074.672333,1634.2940153899015,-266.9169946953102,-264.4652790493435,-26.019067764282227
1708451074.6823435,1634.060365182382,-275.0893433888753,-259.2116152798688,-25.911893844604492
1708451074.6923537,1634.1772785893193,-214.84737043027525,-292.6015633123892,-32.490527629852295
1708451074.7023642,1633.3597677725331,-194.88345693658897,-275.906589296129,-22.611544132232666
1708451074.7123744,1633.8268915812173,-201.1878622902764,-272.2873952653673,-31.715087890625
1708451074.7223847,1633.5934179800527,-198.0356596134327,-269.25195146490023,-25.505259037017822
1708451074.7323952,1633.8268915812173,-195.116952613548,-267.3839860492282,-25.256235599517822
1708451074.7424054,1633.710154780635,-193.1322283214993,-270.3026709733186,-31.92943572998047
1708451074.752416,1634.1772785893193,-193.36574607425266,-273.57163252653896,-22.223823070526123
1708451074.7624261,1634.1772785893193,-195.70070284384266,-269.1351925885236,-31.4219331741333
1708451074.7724364,1634.1772785893193,-195.23371148992467,-268.31796875706425,-25.338194370269775
1708451074.7824469,1634.060365182382,-190.33028019799124,-270.65292552665426,-25.123844146728516
1708451074.792457,1633.8268915812173,-191.96474993670427,-271.35341255753127,-31.891610622406006
1708451074.8024673,1633.8268915812173,-193.59924175121165,-271.93716278782597,-22.179691791534424
1708451074.8124778,1633.5934179800527,-194.53322445904766,-268.90169691156456,-31.355736255645752
1708451074.822488,1633.710154780635,-147.13351373319273,-284.3124336666531,-25.199496746063232
1708451074.8324986,1634.060365182382,-141.76311316313567,-296.6877266212746,-24.915800094604492
1708451074.8425088,1633.9436283817997,-123.78391292360094,-274.3888563579983,-31.50073766708374
1708451074.852519,1634.1772785893193,-125.30163482383445,-271.35341255753127,-21.615450382232666
1708451074.8625295,1634.1772785893193,-122.14944318488791,-269.95243849577724,-30.693776607513428
1708451074.8725398,1633.9436283817997,-120.7484691231339,-274.1553606810393,-24.68883991241455
1708451074.8825502,1633.5934179800527,-122.61643453880592,-275.5563347427933,-24.354708194732666
1708451074.8925605,1634.1772785893193,-123.90066076208043,-272.637649818703,-31.217041015625
1708451074.9025707,1633.3597677725331,-124.01740860055993,-271.23667575694896,-21.397948265075684
1708451074.9125812,1633.9436283817997,-117.9465099617287,-273.2213779732033,-30.52670955657959
1708451074.9225914,1633.710154780635,-123.78391292360094,-273.6883693271213,-24.613187313079834
1708451074.932602,1633.8268915812173,-124.95139130839594,-274.972606588293,-24.285359382629395
1708451074.9426122,1634.1772785893193,-122.14944318488791,-271.82040391144926,-31.201279163360596
1708451074.9526224,1634.060365182382,-79.41966807400739,-283.49520983519375,-21.230881214141846
1708451074.962633,1633.9436283817997,-76.85121010850976,-294.23603305110225,-30.362794399261475
1708451074.9726431,1633.8268915812173,-56.42030526090551,-271.11991688057225,-24.225468635559082
1708451074.9826536,1634.1772785893193,-54.2020908108464,-268.5514644340232,-23.651769161224365
1708451074.9926639,1633.710154780635,-52.21737755669488,-269.95243849577724,-30.533013343811035
1708451075.002674,1633.710154780635,-49.298676075758756,-271.93716278782597,-20.62566041946411
1708451075.0126846,1633.710154780635,-57.58778364570052,-271.82040391144926,-29.760725498199463
1708451075.0226948,1633.8268915812173,-54.3188386493259,-268.90169691156456,-23.897640705108643
1708451075.0327053,1633.8268915812173,-52.917864587571884,-269.01845578794126,-23.40904951095581
1708451075.0427155,1633.9436283817997,-51.04989917189987,-270.76968440303096,-30.40062189102173
1708451075.0527258,1634.1772785893193,-48.71493688336125,-272.5208909423263,-20.52163600921631
1708451075.0627363,1633.8268915812173,-55.7198182300285,-271.82040391144926,-29.64409351348877
1708451075.0727465,1634.410752190484,-51.400142687338366,-268.78496011098224,-23.87242317199707
1708451075.082757,1633.8268915812173,-47.89770201400474,-269.95243849577724,-23.33024501800537
1708451075.0927672,1634.060365182382,-9.837845271384275,-287.9316276974148,-30.32496929168701
1708451075.1027775,1633.710154780635,5.807526133678577,-270.8864212036133,-20.200111865997314
1708451075.112788,1633.710154780635,10.244818749251188,-263.0643049875895,-29.073545932769775
1708451075.1227982,1633.4765045731156,10.711901855689508,-261.3130763724998,-23.22622060775757
1708451075.1328087,1633.5934179800527,12.229923848752621,-265.0490292796382,-22.59578227996826
1708451075.142819,1633.5934179800527,10.361589353393624,-266.2165076644332,-29.71344232559204
1708451075.1528292,1633.8268915812173,6.975234244708662,-262.7140504342538,-19.784022569656372
1708451075.1628397,1634.1772785893193,12.229923848752621,-258.86138280232746,-28.767783641815186
1708451075.17285,1633.5934179800527,15.849820165722457,-264.69877472630253,-23.100132942199707
1708451075.1828604,1634.1772785893193,13.747945151947162,-263.4145374651308,-22.45708465576172
1708451075.1928706,1634.1772785893193,13.047318767618249,-265.98301198747424,-29.647245407104492
1708451075.2028809,1633.710154780635,12.697006265322367,-263.8815508948432,-19.698914289474487
1708451075.2128913,1633.5934179800527,16.900757672610105,-262.48055475729484,-28.688979148864746
1708451075.2229016,1633.5934179800527,77.03775057086237,-280.10951148139105,-22.87632703781128
1708451075.232912,1633.710154780635,53.56681015756395,-274.972606588293,-22.18599796295166
1708451075.2429223,1633.3597677725331,73.06754037185951,-250.455516356009,-29.174416065216064
1708451075.2529325,1634.2940153899015,74.23525055249532,-246.13583529437028,-19.005430936813354
1708451075.262943,1633.5934179800527,75.98681582344902,-253.49096015647604,-27.929298877716064
1708451075.2729533,1634.2940153899015,77.03775057086237,-252.55697744864003,-22.34360694885254
1708451075.2829638,1634.2940153899015,71.66629036267598,-250.5722752323857,-21.59968852996826
1708451075.292974,1634.1772785893193,74.0017107239476,-248.9377834178783,-28.859198093414307
1708451075.3029842,1633.5934179800527,75.98681582344902,-251.0392665863037,-18.838363885879517
1708451075.3129947,1633.710154780635,77.62160566118028,-254.42494286431204,-27.771689891815186
1708451075.323005,1633.710154780635,77.50483574690642,-253.49096015647604,-22.280561923980713
1708451075.3330154,1633.3597677725331,76.33712556627061,-251.15600338688603,-21.479904651641846
