,x,y,z,temp,temp_error
1708473200.0020027,-11066.400000000001,-49128.75,2752.6800000000003,10131239.0,-0.20911216735839844
1708473200.137582,-11006.77,-51991.119999999995,3674.1900000000023,10323901.0,-0.2262592315673828
1708473200.2731614,-10831.869999999999,-54662.93,4643.169999999998,10530431.0,-0.2427520751953125
1708473200.4087408,-10541.7,-57104.490000000005,5631.919999999998,10745955.0,-0.2570018768310547
1708473200.5443199,-10144.2,-59295.92,6608.800000000003,10971788.0,-0.2679862976074219
1708473200.6798992,-9651.3,-61233.28,7550.0899999999965,11022294.0,-0.276885986328125
1708473200.8154786,-9070.95,-62920.53,8436.010000000002,11025228.0,-0.2838897705078125
1708473200.951058,-8419.05,-64369.58,9254.699999999997,11015539.0,-0.28824615478515625
1708473201.0866373,-7703.549999999999,-65600.28,9994.279999999999,10999641.0,-0.2908897399902344
1708473201.2222166,-6932.4000000000015,-66628.51000000001,10658.730000000003,10980916.0,-0.2924976348876953
1708473201.357796,-6117.52,-67486.04000000001,11251.980000000003,10960066.0,-0.29318809509277344
1708473201.4933753,-5266.869999999999,-68188.73000000001,11777.989999999998,10938609.0,-0.2928791046142578
1708473201.6289544,-4384.419999999998,-68752.47,12240.730000000003,10919082.0,-0.2923469543457031
1708473201.7645338,-3478.119999999999,-69197.11,12648.089999999997,10901321.0,-0.29156494140625
1708473201.900113,-2555.9199999999983,-69542.48999999999,13004.04,10884810.0,-0.2904548645019531
1708473202.0356925,-1621.7999999999993,-69796.57,13316.480000000003,10870942.0,-0.28928184509277344
1708473202.1712718,-683.7000000000007,-69971.25,13593.330000000002,10859731.0,-0.28833770751953125
1708473202.3068511,254.40000000000146,-70082.41,13838.550000000003,10849877.0,-0.2872905731201172
1708473202.4424305,1188.5199999999968,-70134.01000000001,14056.07,10841292.0,-0.2861366271972656
1708473202.5780098,2114.699999999997,-70134.01000000001,14249.870000000003,10835523.0,-0.2853431701660156
1708473202.713589,3028.949999999997,-70090.35,14423.89,10830756.0,-0.28464698791503906
1708473202.8491683,3927.300000000003,-70010.95,14582.080000000002,10826473.0,-0.28388214111328125
1708473202.9847476,4801.800000000003,-69903.76000000001,14724.46,10823412.0,-0.2831592559814453
1708473203.120327,5652.449999999997,-69768.79000000001,14851.019999999997,10822256.0,-0.28284263610839844
1708473203.2559063,6475.269999999997,-69609.98000000001,14969.669999999998,10821122.0,-0.2825126647949219
1708473203.3914857,7266.300000000003,-69435.3,15076.46,10820161.0,-0.28212547302246094
1708473203.527065,8021.550000000003,-69248.72,15175.330000000002,10820558.0,-0.28190040588378906
1708473203.6626444,8737.050000000003,-69050.20999999999,15266.300000000003,10821621.0,-0.2819786071777344
1708473203.7982235,9412.800000000003,-68847.75,15349.349999999999,10822161.0,-0.2819061279296875
1708473203.9338028,10044.82,-68641.3,15428.46,10822715.0,-0.2818012237548828
1708473204.0693822,10637.099999999999,-68434.87,15499.64,10824462.0,-0.2819080352783203
1708473204.2049615,11185.650000000001,-68228.42,15566.879999999997,10825975.0,-0.2821483612060547
1708473204.340541,11690.480000000003,-68029.92,15626.21,10826901.0,-0.28221702575683594
1708473204.4761202,12155.550000000003,-67835.4,15681.580000000002,10827572.0,-0.28220176696777344
1708473204.6116996,12580.870000000003,-67648.8,15732.989999999998,10829052.0,-0.2824554443359375
1708473204.747279,12966.449999999997,-67474.12,15776.5,10829641.0,-0.28258514404296875
1708473204.882858,13316.25,-67307.38,15816.050000000003,10829601.0,-0.28258323669433594
1708473205.0184374,13630.269999999997,-67152.55,15851.64,10829497.0,-0.28250694274902344
1708473205.1540167,13912.5,-67005.66,15883.279999999999,10829919.0,-0.2826690673828125
1708473205.289596,14162.919999999998,-66870.68,15910.96,10829320.0,-0.28259849548339844
1708473205.4251754,14389.5,-66747.61,15934.690000000002,10828219.0,-0.2824230194091797
1708473205.5607548,14592.230000000003,-66636.45,15954.470000000001,10827835.0,-0.2823333740234375
1708473205.6963341,14771.099999999999,-66533.23000000001,15970.29,10827009.0,-0.2822895050048828
1708473205.8319135,14930.099999999999,-66437.95,15982.160000000003,10825703.0,-0.28206825256347656
1708473205.9674926,15069.230000000003,-66350.61,15990.07,10824019.0,-0.2817668914794922
1708473206.103072,15192.449999999997,-66271.20999999999,15997.980000000003,10823195.0,-0.2816047668457031
1708473206.2386513,15303.75,-66199.76000000001,16005.89,10821651.0,-0.2813682556152344
1708473206.3742306,15399.150000000001,-66136.23000000001,16009.839999999997,10820103.0,-0.28107452392578125
1708473206.50981,15486.599999999999,-66080.65,16013.800000000003,10818276.0,-0.28067779541015625
1708473206.6453893,15562.120000000003,-66033.01000000001,16013.800000000003,10817119.0,-0.2804756164550781
1708473206.7809687,15629.699999999997,-65989.34,16013.800000000003,10815324.0,-0.28013038635253906
1708473206.916548,15689.330000000002,-65949.64,16013.800000000003,10813460.0,-0.27974700927734375
1708473207.0521271,15741.0,-65913.91,16013.800000000003,10811850.0,-0.2793407440185547
1708473207.1877065,15784.730000000003,-65882.16,16013.800000000003,10810570.0,-0.27910614013671875
1708473207.3232858,15824.480000000003,-65854.36,16013.800000000003,10808673.0,-0.2786884307861328
1708473207.4588652,15860.25,-65830.55,16013.800000000003,10806566.0,-0.27823638916015625
1708473207.5944445,15892.050000000003,-65806.73000000001,16013.800000000003,10805112.0,-0.2778434753417969
1708473207.7300239,15919.870000000003,-65786.87,16013.800000000003,10803466.0,-0.27752685546875
