,x,y,z,temp,temp_error
1708474542.6721299,13431.519999999997,40732.21000000001,-957.1100000000006,10358120.0,-0.24114227294921875
1708474542.8058028,14055.599999999999,43177.72,-1158.8100000000013,10572553.0,-0.25197792053222656
1708474542.9394758,14635.949999999997,45575.600000000006,-1384.25,10813298.0,-0.2625713348388672
1708474543.0731487,15168.599999999999,47902.03,-1641.3199999999997,10947492.0,-0.27398109436035156
1708474543.2068217,15649.580000000002,50137.130000000005,-1930.0400000000009,10997687.0,-0.2855396270751953
1708474543.3404949,16070.919999999998,52253.14,-2246.4399999999987,11040414.0,-0.29576873779296875
1708474543.4741678,16428.67,54230.21000000001,-2586.5699999999997,11079200.0,-0.30553436279296875
1708474543.6078408,16722.83,56048.46000000001,-2946.470000000001,11111124.0,-0.31481361389160156
1708474543.7415137,16957.35,57692.05,-3322.2000000000007,11131713.0,-0.3221435546875
1708474543.8751867,17128.28,59153.0,-3701.880000000001,11143669.0,-0.32794952392578125
1708474544.0088596,17243.550000000003,60431.350000000006,-4081.5600000000013,11149619.0,-0.33289527893066406
1708474544.1425326,17311.120000000003,61531.03,-4453.330000000002,11147146.0,-0.3362770080566406
1708474544.2762055,17334.980000000003,62463.990000000005,-4809.279999999999,11139425.0,-0.3383026123046875
1708474544.4098785,17323.050000000003,63246.08,-5149.41,11130137.0,-0.3397808074951172
1708474544.5435514,17279.32,63897.16,-5469.759999999998,11118645.0,-0.3406085968017578
1708474544.6772246,17211.75,64429.14,-5766.389999999999,11105623.0,-0.3406181335449219
1708474544.8108976,17128.28,64861.86,-6039.279999999999,11093478.0,-0.3403816223144531
1708474544.9445705,17028.9,65211.22,-6288.450000000001,11082339.0,-0.3400993347167969
1708474545.0782435,16921.58,65489.130000000005,-6517.84,11071119.0,-0.3393840789794922
1708474545.2119164,16806.300000000003,65707.48,-6723.5,11061090.0,-0.33855438232421875
1708474545.3455894,16691.019999999997,65878.18,-6909.380000000001,11052706.0,-0.33783531188964844
1708474545.4792624,16571.769999999997,66005.23,-7075.5,11044364.0,-0.3369007110595703
1708474545.6129353,16456.5,66100.5,-7221.830000000002,11037252.0,-0.33599853515625
1708474545.7466083,16341.230000000003,66168.0,-7352.34,11031083.0,-0.3351001739501953
1708474545.8802814,16229.919999999998,66215.64,-7467.040000000001,11025664.0,-0.33429908752441406
