Epoch Time,x,y,z,SM
1708474883.44819,-1645.0106656109845,-1642.7924897935654,-609.4556826132315,-26.57700777053833
1708474883.4582016,-1645.1274024115667,-1643.1427001953125,-608.1714453520598,-41.87777042388916
1708474883.4682133,-1645.244139212149,-1643.02596339473,-609.6892003659849,-36.67349338531494
1708474883.4782252,-1644.7771920098198,-1642.7924897935654,-609.1054280598958,-44.929094314575195
1708474883.488237,-1644.7771920098198,-1642.4421027854637,-609.6892003659849,-46.18051528930664
1708474883.4982486,-1645.0106656109845,-1642.9092265941479,-612.0241571355749,-42.75092601776123
1708474883.5082603,-1645.0106656109845,-1642.9092265941479,-614.5925875063296,-51.97425365447998
1708474883.518272,-1645.0106656109845,-1642.6757529929832,-614.4758507057472,-43.06299686431885
1708474883.5282838,-1645.1274024115667,-1642.6757529929832,-555.5181150083189,-48.71172904968262
1708474883.5382955,-1644.7771920098198,-1642.6757529929832,-739.7464911142985,-49.36738967895508
1708474883.5483072,-1645.1274024115667,-1643.1427001953125,-678.5705354478624,-45.18126964569092
1708474883.5583189,-1645.244139212149,-1643.1427001953125,-678.2202808945267,-53.86557102203369
1708474883.5683305,-1645.0106656109845,-1642.9092265941479,-678.6872722484447,-44.610724449157715
1708474883.5783424,-1644.6604552092374,-1642.4421027854637,-679.6212549562807,-50.49272060394287
1708474883.588354,-1645.244139212149,-1643.1427001953125,-679.271000402945,-49.95054244995117
1708474883.5983658,-1645.0106656109845,-1642.9092265941479,-677.870026341191,-45.67301273345947
1708474883.6083775,-1644.7771920098198,-1642.7924897935654,-677.870026341191,-54.19340133666992
1708474883.6183891,-1644.7771920098198,-1642.4421027854637,-678.4537544956913,-44.81246471405029
1708474883.6284008,-1645.0106656109845,-1642.6757529929832,-678.5705354478624,-50.66924571990967
1708474883.6384127,-1645.4776128133137,-1642.9092265941479,-681.3724835713704,-49.99467372894287
1708474883.6484244,-1645.4776128133137,-1643.02596339473,-685.4586248044614,-45.821166038513184
1708474883.658436,-1644.893928810402,-1642.9092265941479,-686.9763798183865,-54.36361789703369
1708474883.6684477,-1644.893928810402,-1642.6757529929832,-619.2625010455096,-44.49409008026123
1708474883.6784594,-1645.4776128133137,-1643.1427001953125,-786.3289338571053,-51.26185894012451
