,x,y,z,temp,temp_error
1708449941.7317636,11714.32,-8741.939999999999,1277.4599999999991,10707432.0,-0.2496471405029297
1708449941.865572,12465.599999999999,-8801.490000000002,1293.2799999999988,10709291.0,-0.2500419616699219
1708449941.99938,13228.800000000003,-8841.189999999999,1309.0999999999985,10712335.0,-0.25076866149902344
1708449942.1331885,14007.900000000001,-8865.009999999998,1320.9700000000012,10714675.0,-0.2513885498046875
1708449942.2669969,14798.919999999998,-8880.89,1332.8300000000017,10716699.0,-0.2518787384033203
1708449942.400805,15605.849999999999,-8884.86,1344.699999999997,10719126.0,-0.2523326873779297
1708449942.5346134,16424.699999999997,-8872.95,1356.5699999999997,10722715.0,-0.2531909942626953
1708449942.6684217,17259.449999999997,-8853.099999999999,1364.4800000000032,10725417.0,-0.2538776397705078
1708449942.8022301,18106.120000000003,-8825.310000000001,1372.3899999999994,10727503.0,-0.25436973571777344
1708449942.9360383,18968.699999999997,-8789.580000000002,1380.300000000003,10730325.0,-0.25493431091308594
1708449943.0698466,19847.18,-8745.91,1388.199999999997,10734179.0,-0.2558403015136719
1708449943.203655,20737.58,-8694.3,1400.0699999999997,10736912.0,-0.25657081604003906
1708449943.3374631,21643.870000000003,-8634.75,1411.9300000000003,10738913.0,-0.25707054138183594
1708449943.4712715,22566.08,-8571.23,1423.800000000003,10742003.0,-0.2577018737792969
1708449943.60508,23504.18,-8499.77,1435.6600000000035,10745619.0,-0.2586383819580078
1708449943.738888,24458.18,-8420.369999999999,1447.5299999999988,10748066.0,-0.2593059539794922
1708449943.8726964,25424.1,-8340.970000000001,1459.3899999999994,10750074.0,-0.25982093811035156
1708449944.0065048,26405.92,-8253.630000000001,1475.2099999999991,10753025.0,-0.2604503631591797
1708449944.140313,27403.65,-8158.3499999999985,1491.0299999999988,10756611.0,-0.2613868713378906
1708449944.2741213,28413.300000000003,-8055.130000000001,1506.8499999999985,10758726.0,-0.26200294494628906
1708449944.4079297,29438.85,-7951.91,1526.6299999999974,10760502.0,-0.2624530792236328
1708449944.5417378,30476.33,-7840.75,1546.4100000000035,10763694.0,-0.2631797790527344
1708449944.6755462,31525.730000000003,-7717.68,1566.1800000000003,10766601.0,-0.2640266418457031
1708449944.8093545,32583.08,-7590.639999999999,1589.9100000000035,10768292.0,-0.2645606994628906
1708449944.943163,33648.380000000005,-7459.630000000001,1613.6399999999994,10769779.0,-0.2649517059326172
1708449945.076971,34721.630000000005,-7316.709999999999,1641.3199999999997,10772599.0,-0.2656116485595703
1708449945.2107794,35798.850000000006,-7165.8499999999985,1669.010000000002,10775217.0,-0.2664031982421875
1708449945.3445878,36880.05,-7007.049999999999,1700.6500000000015,10776499.0,-0.2668342590332031
1708449945.478396,37961.25,-6840.310000000001,1732.2900000000009,10777753.0,-0.2671527862548828
1708449945.6122043,39038.479999999996,-6665.630000000001,1767.8899999999994,10780434.0,-0.26784515380859375
1708449945.7460127,40107.75,-6479.040000000001,1803.4800000000032,10782411.0,-0.2684898376464844
1708449945.8798208,41165.100000000006,-6284.509999999998,1843.0299999999988,10783632.0,-0.2689094543457031
1708449946.0136292,42210.53,-6082.040000000001,1886.5299999999988,10784367.0,-0.2691001892089844
1708449946.1474376,43236.08,-5867.66,1930.0400000000009,10787042.0,-0.26978111267089844
1708449946.2812457,44237.78,-5645.34,1977.5,10788553.0,-0.27030181884765625
1708449946.415054,45215.630000000005,-5419.049999999999,2024.9599999999991,10789276.0,-0.2705821990966797
1708449946.5488625,46161.67999999999,-5184.82,2076.3700000000026,10790619.0,-0.2708606719970703
1708449946.6826706,47071.96000000001,-4942.6500000000015,2127.790000000001,10793182.0,-0.2715339660644531
1708449946.816479,47942.479999999996,-4696.509999999998,2183.1600000000035,10794654.0,-0.27201080322265625
1708449946.9502873,48773.25,-4450.369999999999,2238.529999999999,10795719.0,-0.2723236083984375
1708449947.0840957,49556.33,-4204.23,2293.9000000000015,10797292.0,-0.2726249694824219
1708449947.2179039,50291.71000000001,-3962.0600000000013,2349.269999999997,10800011.0,-0.2733116149902344
1708449947.3517122,50979.380000000005,-3719.8899999999994,2404.6399999999994,10801450.0,-0.2737560272216797
1708449947.4855206,51615.380000000005,-3485.66,2460.010000000002,10802319.0,-0.274017333984375
1708449947.6193287,52199.71000000001,-3255.4000000000015,2515.3799999999974,10803986.0,-0.2743549346923828
1708449947.753137,52732.36,-3037.0499999999993,2570.75,10806130.0,-0.27495384216308594
1708449947.8869455,53217.3,-2826.6399999999994,2622.1600000000035,10807111.0,-0.27532958984375
1708449948.0207536,53654.56,-2628.1399999999994,2673.5800000000017,10807346.0,-0.2754974365234375
1708449948.154562,54044.100000000006,-2441.5499999999993,2721.040000000001,10808265.0,-0.2757453918457031
1708449948.2883704,54393.91,-2266.869999999999,2764.550000000003,10809201.0,-0.27614784240722656
1708449948.4221785,54703.96000000001,-2108.0699999999997,2804.0899999999965,10808685.0,-0.2762413024902344
1708449948.555987,54978.229999999996,-1965.1500000000015,2839.6900000000023,10807684.0,-0.2761878967285156
1708449948.6897953,55220.71000000001,-1834.1399999999994,2875.279999999999,10807037.0,-0.2761554718017578
1708449948.8236034,55431.380000000005,-1711.0699999999997,2906.9199999999983,10806165.0,-0.27623939514160156
