,x,y,z,temp,temp_error
1708450399.477973,-15574.05,5935.1500000000015,2467.9199999999983,10998181.0,-0.328948974609375
1708450399.6137812,-16539.98,6066.1600000000035,2388.8199999999997,10989422.0,-0.3272895812988281
1708450399.7495894,-17521.8,6169.379999999997,2301.8099999999977,10981590.0,-0.32586097717285156
1708450399.8853977,-18519.53,6248.779999999999,2210.8399999999965,10973783.0,-0.3242778778076172
1708450400.0212061,-19533.15,6304.360000000001,2115.9199999999983,10966000.0,-0.32262611389160156
1708450400.1570144,-20562.68,6336.120000000003,2021.0,10959411.0,-0.32109642028808594
1708450400.2928226,-21612.08,6344.059999999998,1926.0800000000017,10952902.0,-0.3196582794189453
1708450400.4286308,-22677.379999999997,6332.1500000000015,1831.1600000000035,10946187.0,-0.3180961608886719
1708450400.564439,-23758.58,6300.389999999999,1740.199999999997,10939501.0,-0.3164215087890625
1708450400.7002473,-24855.68,6244.809999999998,1653.1900000000023,10934133.0,-0.3151073455810547
1708450400.8360555,-25972.65,6169.379999999997,1574.0899999999965,10928326.0,-0.3136558532714844
1708450400.9718637,-27105.53,6082.040000000001,1502.9000000000015,10922241.0,-0.3121223449707031
1708450401.1076722,-28254.3,5974.8499999999985,1439.6200000000026,10917144.0,-0.31066131591796875
1708450401.2434804,-29418.98,5851.779999999999,1384.25,10912372.0,-0.3094635009765625
1708450401.3792887,-30595.58,5716.800000000003,1336.7900000000009,10906755.0,-0.30801963806152344
1708450401.515097,-31788.08,5569.9100000000035,1301.1900000000023,10901317.0,-0.3065052032470703
1708450401.6509051,-32992.5,5411.110000000001,1277.4599999999991,10897383.0,-0.3054065704345703
1708450401.7867134,-34204.88,5240.4000000000015,1261.6399999999994,10892449.0,-0.3041248321533203
1708450401.9225216,-35425.2,5065.720000000001,1257.6900000000023,10887406.0,-0.302764892578125
1708450402.0583298,-36653.48,4879.129999999997,1265.5999999999985,10883015.0,-0.3014373779296875
1708450402.1941383,-37885.729999999996,4684.5999999999985,1281.4199999999983,10879197.0,-0.3004493713378906
