,x,y,z,temp,temp_error
1717694768.9679666,-13713.75,-9563.73,-24232.29,10420644.0,0.0
1717694769.1019306,-14361.669999999998,-10246.57,-25810.33,10464504.0,-0.15978240966796875
1717694769.2358947,-14989.73,-10941.32,-27400.239999999998,10513284.0,-0.16987037658691406
1717694769.3698587,-15597.900000000001,-11651.95,-28990.15,10561482.0,-0.18021011352539062
1717694769.5038228,-16182.23,-12370.52,-30572.15,10610144.0,-0.19033432006835938
1717694769.6377869,-16742.7,-13097.029999999999,-32134.38,10662079.0,-0.20161056518554688
1717694769.771751,-17271.379999999997,-13831.48,-33664.96,10712087.0,-0.21288490295410156
1717694769.905715,-17768.25,-14561.96,-35152.04,10759995.0,-0.22358322143554688
1717694770.039679,-18229.35,-15288.470000000001,-36587.71,10809356.0,-0.23501968383789062
1717694770.173643,-18650.7,-15999.099999999999,-37956.14,10854361.0,-0.24615097045898438
1717694770.3076072,-19036.28,-16693.85,-39249.42,10894640.0,-0.2561817169189453
1717694770.4415712,-19378.129999999997,-17364.78,-40459.65,10933825.0,-0.26645660400390625
1717694770.5755353,-19684.2,-17999.98,-41578.92,10966903.0,-0.2759876251220703
1717694770.7094994,-19946.55,-18599.45,-42599.3,10992867.0,-0.2840423583984375
1717694770.8434634,-20173.129999999997,-19155.25,-43524.78,11015941.0,-0.2918071746826172
1717694770.9774275,-20367.9,-19659.440000000002,-44351.37,11032084.0,-0.2985191345214844
1717694771.1113915,-20530.879999999997,-20115.989999999998,-45087.0,11041262.0,-0.3037242889404297
1717694771.2453556,-20666.03,-20524.9,-45731.67,11047148.0,-0.30831336975097656
1717694771.3793197,-20773.35,-20886.17,-46293.28,11048476.0,-0.31203651428222656
1717694771.5132837,-20860.8,-21199.8,-46779.74,11044672.0,-0.3144798278808594
1717694771.6472478,-20924.4,-21473.73,-47198.97,11039776.0,-0.3164958953857422
1717694771.7812119,-20972.1,-21711.93,-47558.88,11033545.0,-0.3180103302001953
1717694771.915176,-20999.93,-21914.4,-47871.32,11025526.0,-0.3188037872314453
1717694772.04914,-21015.82,-22089.08,-48136.3,11018243.0,-0.31943511962890625
1717694772.183104,-21019.8,-22235.97,-48361.74,11011188.0,-0.3198223114013672
1717694772.317068,-21015.82,-22363.010000000002,-48551.58,11003543.0,-0.31981468200683594
1717694772.4510322,-20999.93,-22474.17,-48717.69,10997459.0,-0.3198413848876953
1717694772.5849962,-20972.1,-22573.42,-48860.07,10991580.0,-0.31969642639160156
1717694772.7189603,-20940.3,-22656.79,-48978.72,10985884.0,-0.3194293975830078
1717694772.8529243,-20900.55,-22732.22,-49077.6,10981152.0,-0.31914520263671875
1717694772.9868884,-20852.85,-22803.68,-49164.61,10976805.0,-0.31879615783691406
1717694773.1208522,-20801.18,-22863.23,-49239.75,10972209.0,-0.31835174560546875
1717694773.2548163,-20745.53,-22910.870000000003,-49306.990000000005,10968696.0,-0.3179512023925781
1717694773.3887804,-20685.9,-22954.54,-49362.36,10965196.0,-0.31748390197753906
1717694773.5227444,-20626.28,-22986.3,-49409.82,10962064.0,-0.317047119140625
1717694773.6567085,-20570.629999999997,-23010.120000000003,-49449.369999999995,10959088.0,-0.31656455993652344
1717694773.7906725,-20514.98,-23029.97,-49481.009999999995,10956241.0,-0.3160572052001953
1717694773.9246366,-20463.3,-23041.879999999997,-49512.65,10953712.0,-0.31561851501464844
1717694774.0586007,-20415.6,-23045.85,-49540.33,10951085.0,-0.31508827209472656
1717694774.1925647,-20371.879999999997,-23041.879999999997,-49560.11,10947903.0,-0.3144817352294922
