Epoch Time,x,y,z
1717694928.2601755,373.55595164828827,-391.2675380706787,-389.87866154423466
1717694928.2702217,202.55258789768925,-391.30259443212435,-391.37261885183824
1717694928.280268,-185.28896349447743,-391.34926266140405,-391.3609186808268
1717694928.2903142,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.3003604,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694928.3104067,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.320453,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694928.3304992,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.3405454,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694928.3505917,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694928.3606381,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694928.3706844,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694928.3807306,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694928.3907769,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.400823,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694928.4108694,-391.384274871261,-391.37261885183824,-391.3609186808268
1717694928.4209156,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694928.4309618,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694928.441008,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694928.4510543,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694928.4611006,-391.34926266140405,-391.384274871261,-391.3376066419813
1717694928.4711468,-391.3609186808268,-391.34926266140405,-391.34926266140405
1717694928.481193,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694928.4912393,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.5012856,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.5113318,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694928.521378,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694928.5314243,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694928.5414705,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694928.551517,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717694928.5615633,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694928.5716095,-391.37261885183824,-391.34926266140405,-391.37261885183824
1717694928.5816557,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.591702,-391.37261885183824,-391.34926266140405,-391.34926266140405
1717694928.6017482,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694928.6117945,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694928.6218407,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694928.631887,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.6419332,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694928.6519794,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694928.6620257,-391.34926266140405,-391.34926266140405,-391.3609186808268
1717694928.672072,-391.37261885183824,-391.34926266140405,-391.3609186808268
