,x,y,z,temp,temp_error
1717695336.2527368,1025.550000000003,5113.360000000001,25917.120000000003,10188697.0,0.0
1717695336.3867152,961.9499999999971,5720.769999999997,27566.35,10234797.0,-0.1016693115234375
1717695336.5206933,874.5,6371.8499999999985,29239.32,10283530.0,-0.11190414428710938
1717695336.6546717,759.2300000000032,7070.57,30932.050000000003,10332214.0,-0.12180900573730469
1717695336.78865,612.1500000000015,7816.93,32640.620000000003,10387459.0,-0.13312149047851562
1717695336.9226282,429.3000000000029,8610.93,34357.09,10444859.0,-0.1453533172607422
1717695337.0566065,210.66999999999825,9456.54,36073.57000000001,10501748.0,-0.1571941375732422
1717695337.1905847,-51.669999999998254,10345.82,37782.119999999995,10564682.0,-0.17049598693847656
1717695337.324563,-357.75,11278.769999999997,39470.91,10627529.0,-0.1842937469482422
1717695337.4585414,-711.5200000000004,12251.419999999998,41128.05,10687960.0,-0.19746017456054688
1717695337.5925195,-1116.9700000000012,13259.800000000003,42737.740000000005,10751565.0,-0.2117023468017578
1717695337.726498,-1574.0999999999985,14295.970000000001,44284.14,10811305.0,-0.2258167266845703
1717695337.8604763,-2086.869999999999,15340.080000000002,45751.44,10865516.0,-0.23879432678222656
1717695337.9944544,-2655.2999999999993,16388.160000000003,47127.78,10917293.0,-0.2519512176513672
1717695338.1284328,-3279.369999999999,17416.39,48397.350000000006,10960627.0,-0.26401710510253906
1717695338.262411,-3955.119999999999,18408.89,49552.21000000001,10994310.0,-0.27428245544433594
1717695338.3963892,-4678.57,19349.78,50588.41,11021259.0,-0.2838115692138672
1717695338.5303676,-5445.75,20223.18,51502.020000000004,11037369.0,-0.291595458984375
1717695338.6643457,-6244.720000000001,21013.21,52296.97,11043641.0,-0.2973346710205078
1717695338.798324,-7067.549999999999,21711.93,52977.229999999996,11043384.0,-0.3019828796386719
1717695338.9323025,-7906.27,22311.4,53554.66,11035179.0,-0.3050079345703125
1717695339.0662806,-8752.95,22811.620000000003,54037.17,11022090.0,-0.3066387176513672
1717695339.200259,-9595.650000000001,23224.5,54440.58,11006754.0,-0.3075237274169922
1717695339.3342373,-10426.419999999998,23550.04,54772.8,10989237.0,-0.3075695037841797
1717695339.4682155,-11233.349999999999,23796.18,55045.69,10971720.0,-0.3069877624511719
1717695339.6021938,-12012.45,23970.86,55271.130000000005,10955077.0,-0.3061485290527344
1717695339.7361722,-12759.75,24082.019999999997,55457.020000000004,10939417.0,-0.3050708770751953
1717695339.8701503,-13467.3,24141.57,55611.259999999995,10925503.0,-0.30382728576660156
1717695340.0041287,-14131.119999999999,24169.36,55737.82000000001,10913337.0,-0.30257225036621094
1717695340.1381068,-14751.23,24173.33,55844.600000000006,10902391.0,-0.3013038635253906
1717695340.2720852,-15327.599999999999,24149.510000000002,55931.61,10893039.0,-0.30002593994140625
1717695340.4060636,-15860.25,24113.78,56006.759999999995,10884789.0,-0.29876708984375
1717695340.5400417,-16349.169999999998,24066.14,56070.03999999999,10877413.0,-0.29756736755371094
1717695340.67402,-16794.379999999997,24010.559999999998,56125.41,10871099.0,-0.29640769958496094
1717695340.8079984,-17203.8,23947.04,56168.92,10865367.0,-0.2952594757080078
1717695340.9419765,-17573.48,23887.489999999998,56208.46000000001,10860040.0,-0.2941436767578125
1717695341.075955,-17907.379999999997,23823.97,56244.07000000001,10855333.0,-0.2931060791015625
1717695341.2099333,-18205.5,23752.510000000002,56271.75,10851050.0,-0.2920665740966797
1717695341.3439114,-18475.8,23685.019999999997,56299.42,10846791.0,-0.2910480499267578
1717695341.4778898,-18718.28,23617.53,56319.21000000001,10842968.0,-0.29009246826171875
1717695341.611868,-18936.9,23554.010000000002,56338.990000000005,10839326.0,-0.2891197204589844
1717695341.7458463,-19131.68,23486.519999999997,56358.75,10835535.0,-0.28814125061035156
1717695341.8798246,-19306.58,23415.059999999998,56374.57000000001,10832232.0,-0.28727149963378906
1717695342.0138028,-19461.6,23343.6,56386.44,10828946.0,-0.2863616943359375
1717695342.1477811,-19596.75,23268.17,56402.259999999995,10825561.0,-0.28544044494628906
1717695342.2817595,-19716.0,23200.68,56414.130000000005,10822546.0,-0.2846393585205078
1717695342.4157376,-19819.35,23125.25,56425.990000000005,10819257.0,-0.2837543487548828
1717695342.549716,-19910.78,23049.82,56433.899999999994,10815952.0,-0.2828521728515625
1717695342.6836944,-19986.3,22978.36,56441.82000000001,10813028.0,-0.2820854187011719
1717695342.8176725,-20049.9,22910.870000000003,56449.72,10809982.0,-0.28124427795410156
1717695342.9516509,-20105.55,22847.35,56457.630000000005,10806716.0,-0.28037261962890625
1717695343.085629,-20153.25,22791.769999999997,56461.58,10803760.0,-0.2796001434326172
1717695343.2196074,-20189.03,22748.1,56465.53999999999,10800682.0,-0.2787914276123047
1717695343.3535857,-20220.82,22708.4,56469.5,10797468.0,-0.27791786193847656
1717695343.4875638,-20244.68,22668.699999999997,56473.45,10794743.0,-0.2772102355957031
1717695343.6215422,-20264.55,22632.97,56477.41,10791557.0,-0.27639198303222656
1717695343.7555206,-20280.45,22613.120000000003,56481.36,10788535.0,-0.27554893493652344
1717695343.8894987,-20292.379999999997,22605.18,56481.36,10785562.0,-0.27482032775878906
1717695344.023477,-20300.32,22605.18,56481.36,10782557.0,-0.27404022216796875
1717695344.1574554,-20308.28,22609.15,56481.36,10779629.0,-0.2732048034667969
1717695344.2914336,-20316.22,22621.059999999998,56481.36,10776736.0,-0.27249908447265625
1717695344.425412,-20324.18,22644.879999999997,56485.32000000001,10773759.0,-0.271728515625
1717695344.55939,-20332.129999999997,22668.699999999997,56485.32000000001,10770940.0,-0.2709369659423828
1717695344.6933684,-20340.08,22700.46,56481.36,10768141.0,-0.27024269104003906
1717695344.8273468,-20348.03,22732.22,56481.36,10765010.0,-0.26944923400878906
1717695344.961325,-20359.95,22760.010000000002,56481.36,10762094.0,-0.2686500549316406
1717695345.0953033,-20375.85,22779.86,56485.32000000001,10759097.0,-0.26793670654296875
1717695345.2292817,-20387.78,22795.739999999998,56485.32000000001,10755812.0,-0.267120361328125
1717695345.3632598,-20399.7,22811.620000000003,56481.36,10752838.0,-0.2663383483886719
1717695345.4972382,-20415.6,22827.5,56481.36,10749822.0,-0.2655754089355469
1717695345.6312165,-20431.5,22835.440000000002,56481.36,10746522.0,-0.26477813720703125
1717695345.7651947,-20443.43,22831.47,56481.36,10743565.0,-0.2639961242675781
1717695345.899173,-20455.35,22815.589999999997,56481.36,10740465.0,-0.26322364807128906
1717695346.0331511,-20467.28,22799.71,56481.36,10737191.0,-0.2624244689941406
1717695346.1671295,-20475.22,22775.89,56481.36,10734283.0,-0.2616462707519531
1717695346.301108,-20479.2,22752.07,56477.41,10731056.0,-0.2608451843261719
1717695346.435086,-20487.15,22724.28,56477.41,10727795.0,-0.2600364685058594
