,x,y,z,temp,temp_error
1717693788.1985464,-20868.75,5923.239999999998,-14764.009999999998,8823137.0,0.0
1717693788.3331184,-21504.75,5903.389999999999,-15899.099999999999,8839355.0,-0.019573211669921875
1717693788.4676902,-22108.95,5871.629999999997,-17073.739999999998,8856150.0,-0.02162933349609375
1717693788.6022623,-22685.32,5831.93,-18287.92,8876849.0,-0.024099349975585938
1717693788.7368343,-23233.879999999997,5784.290000000001,-19537.7,8902524.0,-0.027460098266601562
1717693788.871406,-23754.6,5732.68,-20830.98,8930717.0,-0.031187057495117188
1717693789.005978,-24247.5,5677.0999999999985,-22163.82,8960469.0,-0.034679412841796875
1717693789.1405501,-24716.55,5617.550000000003,-23536.21,8996121.0,-0.03880119323730469
1717693789.275122,-25165.72,5561.970000000001,-24952.1,9038453.0,-0.044002532958984375
1717693789.409694,-25591.05,5506.389999999999,-26411.489999999998,9085531.0,-0.04979133605957031
1717693789.544266,-25996.5,5450.809999999998,-27910.44,9135833.0,-0.05562591552734375
1717693789.6788378,-26378.1,5399.199999999997,-29452.88,9193397.0,-0.06192207336425781
1717693789.8134098,-26739.83,5347.5899999999965,-31034.88,9260281.0,-0.06953239440917969
1717693789.9479818,-27085.65,5295.980000000003,-32652.48,9335057.0,-0.07804679870605469
1717693790.0825536,-27415.58,5244.370000000003,-34305.67,9415242.0,-0.08662796020507812
1717693790.2171257,-27733.58,5180.8499999999985,-35986.55,9505056.0,-0.09564018249511719
1717693790.3516974,-28035.68,5113.360000000001,-37691.15,9606877.0,-0.10584831237792969
1717693790.4862695,-28325.85,5029.989999999998,-39407.62,9720783.0,-0.11715507507324219
1717693790.6208415,-28604.1,4930.739999999998,-41132.0,9842861.0,-0.12847137451171875
1717693790.7554133,-28874.4,4815.610000000001,-42848.47,9977261.0,-0.13985252380371094
1717693790.8899853,-29128.8,4684.5999999999985,-44545.17,10126707.0,-0.1518402099609375
1717693791.0245574,-29367.3,4529.769999999997,-46210.22,10291812.0,-0.16448020935058594
1717693791.1591291,-29593.88,4351.120000000003,-47823.86,10470986.0,-0.17702293395996094
1717693791.2937012,-29804.55,4148.6500000000015,-49374.22,10642818.0,-0.18880844116210938
1717693791.4282732,-29999.33,3926.3300000000017,-50845.479999999996,10689808.0,-0.2001972198486328
1717693791.562845,-30174.22,3684.1600000000035,-52229.729999999996,10734150.0,-0.21160125732421875
1717693791.697417,-30329.25,3430.0800000000017,-53507.2,10772767.0,-0.22233963012695312
1717693791.831989,-30468.38,3168.0599999999977,-54673.92,10802304.0,-0.23152732849121094
1717693791.9665608,-30583.65,2902.0699999999997,-55725.95,10825791.0,-0.23958206176757812
1717693792.1011329,-30679.05,2651.959999999999,-56663.29,10843319.0,-0.24682998657226562
1717693792.235705,-30754.58,2417.730000000003,-57485.93,10853829.0,-0.2528724670410156
1717693792.3702767,-30810.22,2203.3499999999985,-58201.78,10856415.0,-0.2573966979980469
1717693792.5048487,-30849.98,2012.7900000000009,-58814.81,10854213.0,-0.260711669921875
1717693792.6394207,-30877.8,1842.0800000000017,-59340.83,10848793.0,-0.26328468322753906
1717693792.7739925,-30889.72,1699.1600000000035,-59791.69,10841244.0,-0.2651405334472656
1717693792.9085646,-30889.72,1584.0299999999988,-60179.28,10831519.0,-0.2662677764892578
1717693793.0431366,-30881.78,1492.7200000000012,-60507.55,10821442.0,-0.26682281494140625
1717693793.1777084,-30865.88,1425.2300000000032,-60784.4,10811908.0,-0.26717185974121094
1717693793.3122804,-30846.0,1373.6200000000026,-61017.740000000005,10802724.0,-0.2672290802001953
1717693793.4468524,-30822.15,1341.8600000000006,-61215.490000000005,10793887.0,-0.2671031951904297
1717693793.5814242,-30794.33,1325.9800000000032,-61389.520000000004,10785665.0,-0.2667102813720703
1717693793.7159963,-30766.5,1322.010000000002,-61535.85,10778619.0,-0.2663555145263672
1717693793.850568,-30738.68,1322.010000000002,-61658.45,10772047.0,-0.2658653259277344
1717693793.98514,-30714.83,1322.010000000002,-61765.240000000005,10766158.0,-0.26537132263183594
1717693794.119712,-30690.98,1322.010000000002,-61852.25,10760501.0,-0.26474571228027344
1717693794.254284,-30671.1,1322.010000000002,-61927.4,10755923.0,-0.26416778564453125
1717693794.388856,-30651.22,1322.010000000002,-61990.68,10751327.0,-0.2635326385498047
1717693794.523428,-30631.35,1318.0400000000009,-62042.09,10747420.0,-0.26292991638183594
1717693794.6579998,-30611.48,1310.0999999999985,-62081.64,10743521.0,-0.26226806640625
1717693794.7925718,-30595.58,1290.25,-62109.33,10740253.0,-0.2616462707519531
1717693794.9271438,-30583.65,1270.4000000000015,-62129.1,10737188.0,-0.26106834411621094
1717693795.0617156,-30567.75,1246.5800000000017,-62148.880000000005,10734256.0,-0.2604389190673828
1717693795.1962876,-30555.83,1222.760000000002,-62160.740000000005,10731376.0,-0.2598381042480469
1717693795.3308597,-30543.9,1194.9700000000012,-62168.65,10728653.0,-0.2591896057128906
1717693795.4654315,-30535.95,1167.1800000000003,-62172.6,10726152.0,-0.25864219665527344
1717693795.6000035,-30528.0,1135.4199999999983,-62176.56,10723528.0,-0.2579994201660156
1717693795.7345755,-30516.08,1115.5699999999997,-62180.520000000004,10720947.0,-0.25740814208984375
1717693795.8691473,-30504.15,1095.7200000000012,-62184.47,10718402.0,-0.2567615509033203
1717693796.0037193,-30492.22,1083.8099999999977,-62188.42,10716054.0,-0.25620460510253906
1717693796.1382914,-30480.3,1075.8700000000026,-62192.380000000005,10713421.0,-0.25555992126464844
1717693796.2728631,-30472.35,1075.8700000000026,-62196.33,10711165.0,-0.2550086975097656
1717693796.4074352,-30460.43,1079.8399999999965,-62200.29,10708382.0,-0.25432586669921875
1717693796.5420072,-30448.5,1095.7200000000012,-62208.2,10706033.0,-0.2537498474121094
1717693796.676579,-30440.55,1115.5699999999997,-62216.11,10703198.0,-0.2530803680419922
1717693796.811151,-30432.6,1139.3899999999994,-62224.020000000004,10700558.0,-0.25243377685546875
1717693796.945723,-30424.65,1171.1500000000015,-62231.93,10697730.0,-0.25176429748535156
1717693797.0802948,-30420.68,1202.9100000000035,-62239.84,10695230.0,-0.25112152099609375
1717693797.2148669,-30416.7,1230.699999999997,-62251.7,10692239.0,-0.25043487548828125
1717693797.3494387,-30412.72,1262.4599999999991,-62263.57,10689631.0,-0.24977493286132812
1717693797.4840107,-30412.72,1290.25,-62275.43,10686584.0,-0.2490673065185547
1717693797.6185827,-30412.72,1310.0999999999985,-62283.34,10684117.0,-0.2483978271484375
1717693797.7531545,-30416.7,1325.9800000000032,-62287.3,10681433.0,-0.24776077270507812
1717693797.8877265,-30416.7,1337.8899999999994,-62291.25,10678852.0,-0.24706649780273438
1717693798.0222986,-30420.68,1341.8600000000006,-62295.21,10676093.0,-0.24638938903808594
1717693798.1568704,-30420.68,1333.9199999999983,-62295.21,10673579.0,-0.24570465087890625
1717693798.2914424,-30424.65,1318.0400000000009,-62291.25,10671268.0,-0.2451305389404297
1717693798.4260144,-30428.63,1298.1900000000023,-62283.34,10668830.0,-0.2444610595703125
1717693798.5605862,-30432.6,1270.4000000000015,-62279.39,10666258.0,-0.24382591247558594
1717693798.6951582,-30436.58,1246.5800000000017,-62271.479999999996,10663855.0,-0.2431488037109375
1717693798.8297303,-30440.55,1214.8199999999997,-62263.57,10661516.0,-0.2425689697265625
1717693798.964302,-30444.53,1183.0599999999977,-62255.66,10659019.0,-0.2419109344482422
1717693799.098874,-30444.53,1155.2699999999968,-62247.75,10656709.0,-0.2413196563720703
1717693799.2334461,-30444.53,1131.449999999997,-62243.8,10654030.0,-0.2406158447265625
1717693799.368018,-30444.53,1115.5699999999997,-62239.84,10651805.0,-0.2400531768798828
1717693799.50259,-30440.55,1103.6600000000035,-62235.880000000005,10649170.0,-0.23939132690429688
1717693799.637162,-30436.58,1095.7200000000012,-62235.880000000005,10646587.0,-0.23875045776367188
1717693799.7717338,-30432.6,1095.7200000000012,-62235.880000000005,10643783.0,-0.23807907104492188
1717693799.9063058,-30428.63,1107.6299999999974,-62239.84,10641280.0,-0.23743820190429688
1717693800.0408778,-30424.65,1127.4800000000032,-62239.84,10638290.0,-0.23675155639648438
1717693800.1754496,-30420.68,1155.2699999999968,-62247.75,10635689.0,-0.23607254028320312
1717693800.3100216,-30416.7,1179.0899999999965,-62255.66,10632634.0,-0.2353649139404297
1717693800.4445937,-30412.72,1206.8799999999974,-62267.520000000004,10629907.0,-0.23466110229492188
1717693800.5791655,-30412.72,1234.6699999999983,-62275.43,10626998.0,-0.2339954376220703
1717693800.7137375,-30412.72,1266.4300000000003,-62283.34,10624043.0,-0.23324203491210938
1717693800.8483093,-30416.7,1290.25,-62291.25,10620992.0,-0.23254013061523438
1717693800.9828813,-30420.68,1310.0999999999985,-62299.16,10618038.0,-0.23176956176757812
1717693801.1174533,-30420.68,1325.9800000000032,-62307.08,10615382.0,-0.2311267852783203
1717693801.2520251,-30424.65,1337.8899999999994,-62314.990000000005,10612403.0,-0.2303638458251953
1717693801.3865972,-30428.63,1341.8600000000006,-62314.990000000005,10609667.0,-0.22967910766601562
1717693801.5211692,-30432.6,1337.8899999999994,-62314.990000000005,10606652.0,-0.2288990020751953
