,x,y,z,temp,temp_error
1717694235.599399,12183.370000000003,-13390.810000000001,24062.22,10026162.0,0.0
1717694235.7387576,13006.199999999997,-13621.07,25478.11,10041520.0,-0.07291221618652344
1717694235.8781161,13836.980000000003,-13799.720000000001,26909.82,10058118.0,-0.07639694213867188
1717694236.0174747,14675.699999999997,-13926.759999999998,28357.35,10073038.0,-0.07945632934570312
1717694236.1568332,15518.400000000001,-13994.25,29820.699999999997,10091738.0,-0.08294486999511719
1717694236.2961917,16361.099999999999,-14006.16,31299.870000000003,10113338.0,-0.08741950988769531
1717694236.4355502,17203.800000000003,-13962.490000000002,32794.86,10134438.0,-0.09178924560546875
1717694236.5749087,18042.519999999997,-13855.3,34305.67,10157003.0,-0.09614944458007812
1717694236.7142673,18873.300000000003,-13688.560000000001,35832.3,10184695.0,-0.10167884826660156
1717694236.8536258,19692.15,-13462.27,37374.75,10213884.0,-0.10772323608398438
1717694236.9929845,20495.1,-13176.43,38933.03,10242931.0,-0.11361312866210938
1717694237.132343,21282.15,-12827.07,40503.16,10276428.0,-0.12015342712402344
1717694237.2717016,22045.35,-12418.16,42085.16,10314344.0,-0.12793731689453125
1717694237.41106,22784.699999999997,-11949.7,43675.07000000001,10351742.0,-0.13570594787597656
1717694237.5504186,23492.25,-11421.689999999999,45272.89,10391464.0,-0.1436614990234375
1717694237.6897771,24164.019999999997,-10834.130000000001,46870.71000000001,10436943.0,-0.15295982360839844
1717694237.8291357,24800.019999999997,-10194.96,48464.57000000001,10483411.0,-0.1628284454345703
1717694237.9684942,25392.300000000003,-9504.18,50046.57000000001,10529440.0,-0.17253494262695312
1717694238.1078527,25936.870000000003,-8769.73,51608.8,10578725.0,-0.18282127380371094
1717694238.2472112,26429.78,-7995.580000000002,53147.28999999999,10630364.0,-0.19408798217773438
1717694238.3865697,26863.050000000003,-7193.639999999999,54646.240000000005,10679878.0,-0.20517730712890625
1717694238.5259283,27240.68,-6371.8499999999985,56097.72,10728204.0,-0.21590042114257812
1717694238.6652868,27558.68,-5538.1500000000015,57493.850000000006,10777310.0,-0.2272777557373047
1717694238.8046453,27813.08,-4704.450000000001,58822.72,10823569.0,-0.2385101318359375
1717694238.9440038,28007.85,-3882.66,60072.5,10863806.0,-0.2487316131591797
1717694239.0833623,28143.0,-3084.6899999999987,61239.22,10902047.0,-0.25862884521484375
1717694239.2227209,28218.519999999997,-2326.4199999999983,62311.03,10935829.0,-0.2682304382324219
1717694239.3620794,28238.4,-1615.7900000000009,63283.96000000001,10961793.0,-0.27654075622558594
1717694239.5014381,28206.6,-960.7400000000016,64158.020000000004,10981456.0,-0.2836036682128906
1717694239.6407967,28131.08,-365.2400000000016,64937.149999999994,10995721.0,-0.28995323181152344
1717694239.7801552,28015.800000000003,166.73999999999796,65621.36,11003308.0,-0.29512786865234375
1717694239.9195137,27876.68,631.2300000000032,66214.61,11003566.0,-0.2987499237060547
1717694240.0588722,27713.699999999997,1028.2300000000032,66724.81,11000404.0,-0.3015632629394531
1717694240.1982307,27534.83,1369.6500000000015,67159.86,10993468.0,-0.30356788635253906
1717694240.3375893,27344.019999999997,1659.4599999999991,67531.63,10983324.0,-0.30463409423828125
1717694240.4769478,27145.28,1901.6299999999974,67848.03,10972644.0,-0.3051109313964844
1717694240.6163063,26938.58,2104.0999999999985,68113.01,10962070.0,-0.30537986755371094
1717694240.7556648,26735.85,2262.9000000000015,68338.46,10951384.0,-0.30525970458984375
1717694240.8950233,26533.120000000003,2389.9400000000023,68528.29,10940376.0,-0.304718017578125
1717694241.0343819,26338.35,2489.1900000000023,68690.45,10931208.0,-0.3042182922363281
1717694241.1737404,26147.550000000003,2564.6200000000026,68828.87,10922466.0,-0.3035697937011719
1717694241.313099,25968.68,2616.230000000003,68947.52,10914239.0,-0.30278968811035156
1717694241.4524574,25801.730000000003,2647.989999999998,69046.4,10906817.0,-0.3019123077392578
1717694241.591816,25646.699999999997,2663.8700000000026,69129.46,10900499.0,-0.301177978515625
1717694241.7311745,25503.6,2671.8099999999977,69196.68,10894541.0,-0.30032920837402344
1717694241.870533,25376.4,2667.8399999999965,69256.01,10888580.0,-0.29937171936035156
1717694242.0098915,25261.120000000003,2651.959999999999,69307.43,10884036.0,-0.29858970642089844
1717694242.1492503,25161.75,2632.1100000000006,69346.97,10879270.0,-0.2977313995361328
