Epoch Time,x,y,z
1717694300.1070127,373.55595164828827,-391.27923824169017,-390.4389010535346
1717694300.1170518,202.13233100043402,-391.30259443212435,-391.3609186808268
1717694300.1270907,-182.61618084377713,-391.34926266140405,-391.3609186808268
1717694300.1371298,-391.37261885183824,-391.37261885183824,-391.34926266140405
1717694300.1471686,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694300.1572077,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694300.1672468,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694300.1772857,-391.34926266140405,-391.34926266140405,-391.3609186808268
1717694300.1873248,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694300.1973636,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694300.2074027,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694300.2174418,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694300.2274806,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694300.2375197,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.2475586,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694300.2575977,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.2676368,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694300.2776756,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694300.2877147,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694300.2977536,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694300.3077927,-391.34926266140405,-391.34926266140405,-391.3609186808268
1717694300.3178318,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694300.3278706,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694300.3379097,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694300.3479486,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694300.3579876,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694300.3680267,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694300.3780656,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694300.3881047,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694300.3981435,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.4081826,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.4182217,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694300.4282606,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717694300.4382997,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694300.4483385,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694300.4583776,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694300.4684165,-391.37261885183824,-391.37261885183824,-391.384274871261
1717694300.4784555,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694300.4884946,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.4985335,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.5085726,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694300.5186114,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694300.5286505,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694300.5386896,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694300.5487285,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694300.5587676,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694300.5688064,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694300.5788455,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694300.5888846,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694300.5989234,-391.34926266140405,-391.3609186808268,-391.34926266140405
1717694300.6089625,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694300.6190014,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694300.6290405,-391.37261885183824,-391.37261885183824,-391.34926266140405
1717694300.6390796,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694300.6491184,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694300.6591575,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694300.6691964,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694300.6792355,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694300.6892745,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694300.6993134,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694300.7093525,-391.37261885183824,-391.37261885183824,-391.34926266140405
1717694300.7193913,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694300.7294304,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694300.7394695,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694300.7495084,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.7595475,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694300.7695863,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694300.7796254,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694300.7896645,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694300.7997034,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694300.8097425,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694300.8197813,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694300.8298204,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694300.8398595,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.8498983,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694300.8599374,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694300.8699763,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694300.8800154,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694300.8900545,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694300.9000933,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694300.9101324,-391.34926266140405,-391.37261885183824,-391.37261885183824
1717694300.9201713,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694300.9302104,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694300.9402494,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694300.9502883,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694300.9603274,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694300.9703662,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694300.9804053,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694300.9904444,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694301.0004833,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694301.0105224,-391.34926266140405,-391.3609186808268,-391.37261885183824
1717694301.0205612,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694301.0306003,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694301.0406394,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694301.0506783,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694301.0607173,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694301.0707562,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694301.0807953,-391.34926266140405,-391.34926266140405,-391.3609186808268
1717694301.0908341,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694301.1008732,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.1109123,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.1209512,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694301.1309903,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694301.1410291,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.1510682,-391.3609186808268,-391.34926266140405,-391.34926266140405
1717694301.1611073,-391.34926266140405,-391.34926266140405,-391.34926266140405
1717694301.1711462,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694301.1811852,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694301.191224,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.2012632,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694301.2113023,-391.34926266140405,-391.34926266140405,-391.3609186808268
1717694301.2213411,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.2313802,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.241419,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694301.2514582,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694301.2614973,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.271536,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694301.2815752,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694301.291614,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694301.3016531,-391.34926266140405,-391.34926266140405,-391.3609186808268
1717694301.3116922,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694301.321731,-391.34926266140405,-391.34926266140405,-391.37261885183824
1717694301.3317702,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694301.341809,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.3518481,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694301.3618872,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694301.371926,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.3819652,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.392004,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.402043,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694301.4120822,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694301.422121,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694301.4321601,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.442199,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694301.452238,-391.37261885183824,-391.34926266140405,-391.37261885183824
1717694301.4622772,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.472316,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694301.482355,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694301.492394,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694301.502433,-391.34926266140405,-391.37261885183824,-391.34926266140405
1717694301.5124722,-391.37261885183824,-391.37261885183824,-391.34926266140405
