,x,y,z,temp,temp_error
1717701491.6810656,-7711.560000000001,-8542.349999999999,-8173.0,8644487.0,0.0
1717701491.8186576,-8095.07,-8837.55,-8704.25,8656396.0,-0.038852691650390625
1717701491.9562497,-8471.66,-9129.060000000001,-9246.64,8667548.0,-0.041431427001953125
1717701492.0938416,-8844.8,-9416.880000000001,-9800.169999999998,8677788.0,-0.043766021728515625
1717701492.2314336,-9214.48,-9701.009999999998,-10364.849999999999,8687493.0,-0.04586982727050781
1717701492.3690257,-9577.259999999998,-9981.45,-10940.669999999998,8696568.0,-0.04777336120605469
1717701492.5066178,-9936.580000000002,-10261.89,-11527.64,8704513.0,-0.04936408996582031
1717701492.6442099,-10292.439999999999,-10542.330000000002,-12125.759999999998,8711588.0,-0.050701141357421875
1717701492.7818017,-10644.849999999999,-10826.46,-12731.3,8718093.0,-0.05182456970214844
1717701492.9193938,-10993.810000000001,-11110.59,-13351.71,8723524.0,-0.05269622802734375
1717701493.0569859,-11342.759999999998,-11398.41,-13983.259999999998,8727880.0,-0.05330657958984375
1717701493.194578,-11688.259999999998,-11686.23,-14625.96,8731448.0,-0.053722381591796875
1717701493.3321698,-12030.310000000001,-11977.740000000002,-15279.8,8733999.0,-0.05391120910644531
1717701493.4697618,-12368.900000000001,-12269.25,-15944.779999999999,8735376.0,-0.05383110046386719
1717701493.607354,-12704.029999999999,-12560.759999999998,-16620.91,8736062.0,-0.05362129211425781
1717701493.744946,-13039.169999999998,-12852.27,-17308.190000000002,8735967.0,-0.0531768798828125
1717701493.882538,-13367.39,-13143.779999999999,-18006.61,8735203.0,-0.052570343017578125
1717701494.02013,-13695.619999999999,-13435.29,-18716.17,8733748.0,-0.05175971984863281
1717701494.157722,-14020.39,-13726.8,-19440.6,8732275.0,-0.05090522766113281
1717701494.295314,-14341.71,-14018.310000000001,-20176.16,8730813.0,-0.05002593994140625
1717701494.4329062,-14659.57,-14306.130000000001,-20926.6,8729487.0,-0.04915618896484375
1717701494.5704982,-14977.419999999998,-14593.95,-21688.17,8728538.0,-0.04836273193359375
1717701494.70809,-15288.369999999999,-14878.080000000002,-22464.61,8727838.0,-0.04765892028808594
1717701494.8456821,-15595.869999999999,-15158.52,-23252.190000000002,8727769.0,-0.047100067138671875
1717701494.9832742,-15903.369999999999,-15438.96,-24054.629999999997,8728215.0,-0.04676055908203125
1717701495.1208663,-16203.95,-15715.71,-24868.21,8729334.0,-0.046566009521484375
1717701495.2584581,-16504.54,-15988.77,-25692.94,8730864.0,-0.04656410217285156
1717701495.3960502,-16801.66,-16258.14,-26532.53,8732964.0,-0.04670524597167969
1717701495.5336423,-17091.879999999997,-16520.129999999997,-27383.27,8736053.0,-0.04710960388183594
1717701495.6712344,-17378.65,-16782.120000000003,-28248.86,8739773.0,-0.04766082763671875
1717701495.8088264,-17661.96,-17040.42,-29125.6,8744806.0,-0.04846954345703125
1717701495.9464183,-17941.82,-17295.03,-30013.489999999998,8751088.0,-0.04957389831542969
1717701496.0840104,-18218.22,-17545.95,-30912.52,8758565.0,-0.050922393798828125
1717701496.2216024,-18491.16,-17793.18,-31822.69,8767525.0,-0.052581787109375
1717701496.3591945,-18757.2,-18044.1,-32740.3,8778152.0,-0.05460548400878906
1717701496.4967866,-19019.78,-18287.64,-33665.33,8790354.0,-0.057033538818359375
1717701496.6343784,-19278.9,-18534.870000000003,-34597.8,8804128.0,-0.05982398986816406
1717701496.7719705,-19534.57,-18778.41,-35533.98,8819553.0,-0.06304359436035156
1717701496.9095626,-19783.33,-19021.95,-36470.16,8836458.0,-0.06662750244140625
1717701497.0471547,-20028.64,-19265.489999999998,-37402.62,8854467.0,-0.07047653198242188
1717701497.1847467,-20270.48,-19509.03,-38331.37,8873715.0,-0.07459640502929688
1717701497.3223386,-20505.43,-19752.57,-39248.979999999996,8894112.0,-0.07899284362792969
1717701497.4599307,-20736.91,-19992.42,-40151.72,8915020.0,-0.08349037170410156
1717701497.5975227,-20961.48,-20232.27,-41035.89,8936622.0,-0.08803176879882812
1717701497.7351148,-21182.61,-20475.809999999998,-41894.06,8958163.0,-0.09244728088378906
