,x,y,z,temp,temp_error
1717700280.6507812,8454.39,-13996.169999999998,12605.0,8538657.0,-0.034152984619140625
1717700280.7861633,8945.0,-14446.349999999999,13281.120000000003,8546102.0,-0.03598785400390625
1717700280.9215457,9435.599999999999,-14874.39,13960.970000000001,8553543.0,-0.03780174255371094
1717700281.056928,9926.21,-15276.599999999999,14644.529999999999,8560955.0,-0.0395965576171875
1717700281.19231,10416.82,-15652.98,15331.800000000003,8568266.0,-0.041385650634765625
1717700281.3276925,10907.440000000002,-16007.220000000001,16022.800000000003,8575583.0,-0.043170928955078125
1717700281.4630747,11398.050000000003,-16339.32,16717.5,8582777.0,-0.04491233825683594
1717700281.5984569,11885.199999999997,-16645.59,17415.92,8589820.0,-0.04662132263183594
1717700281.7338393,12372.349999999999,-16929.72,18118.050000000003,8596594.0,-0.04824066162109375
1717700281.8692214,12859.510000000002,-17191.71,18823.910000000003,8603238.0,-0.0498199462890625
1717700282.0046036,13346.660000000003,-17431.559999999998,19533.47,8609651.0,-0.05134391784667969
1717700282.139986,13833.82,-17645.58,20246.75,8615816.0,-0.052791595458984375
1717700282.2753682,14320.980000000003,-17837.46,20963.739999999998,8621822.0,-0.05418205261230469
1717700282.4107504,14804.669999999998,-18007.2,21688.17,8627365.0,-0.055492401123046875
1717700282.5461328,15288.370000000003,-18154.8,22416.309999999998,8632461.0,-0.05665397644042969
1717700282.681515,15772.080000000002,-18276.57,23151.879999999997,8637369.0,-0.05775260925292969
1717700282.8168972,16252.32,-18376.2,23891.160000000003,8642044.0,-0.058807373046875
1717700282.9522796,16732.57,-18453.690000000002,24637.879999999997,8646311.0,-0.0597381591796875
1717700283.0876617,17212.809999999998,-18505.35,25392.019999999997,8650332.0,-0.06061744689941406
1717700283.223044,17689.6,-18531.18,26149.879999999997,8654183.0,-0.061435699462890625
1717700283.3584263,18166.39,-18531.18,26915.18,8657654.0,-0.06214714050292969
1717700283.4938085,18639.730000000003,-18509.04,27687.9,8660768.0,-0.06277084350585938
1717700283.6291907,19113.059999999998,-18457.379999999997,28471.760000000002,8663665.0,-0.06331825256347656
1717700283.764573,19582.940000000002,-18379.89,29263.050000000003,8666374.0,-0.063812255859375
1717700283.8999553,20049.370000000003,-18276.57,30061.78,8669033.0,-0.06429672241210938
1717700284.0353374,20512.33,-18143.73,30871.65,8671525.0,-0.06473159790039062
1717700284.1707196,20971.85,-17985.059999999998,31688.949999999997,8674140.0,-0.06519699096679688
1717700284.306102,21424.46,-17796.870000000003,32517.4,8676554.0,-0.06559562683105469
1717700284.4414842,21873.6,-17579.16,33356.990000000005,8679112.0,-0.06603813171386719
1717700284.5768664,22315.839999999997,-17331.93,34207.72,8681645.0,-0.06643104553222656
1717700284.7122488,22751.18,-17055.18,35073.32000000001,8684412.0,-0.06689643859863281
1717700284.847631,23179.6,-16745.22,35950.07000000001,8687610.0,-0.06746101379394531
1717700284.9830132,23597.65,-16405.739999999998,36841.66,8691180.0,-0.06812667846679688
1717700285.1183956,24005.339999999997,-16036.740000000002,37748.119999999995,8695386.0,-0.06894302368164062
1717700285.2537777,24402.660000000003,-15634.529999999999,38669.44,8699810.0,-0.06978988647460938
1717700285.38916,24789.620000000003,-15202.8,39605.619999999995,8704899.0,-0.07080268859863281
1717700285.5245423,25162.760000000002,-14737.86,40556.66,8710785.0,-0.07202720642089844
1717700285.6599245,25522.08,-14239.71,41526.28,8717506.0,-0.07344436645507812
1717700285.7953067,25864.129999999997,-13712.04,42510.75,8725324.0,-0.07508659362792969
1717700285.930689,26188.9,-13151.16,43513.8,8734041.0,-0.07697677612304688
1717700286.0660713,26496.4,-12560.759999999998,44535.42,8744023.0,-0.07916831970214844
