,x,y,z,temp,temp_error
1717700660.5226357,-16739.48,11793.239999999998,590.6800000000003,8413430.0,-0.0061702728271484375
1717700660.6594033,-17178.260000000002,12125.339999999997,475.5199999999968,8422555.0,-0.008501052856445312
1717700660.7961707,-17585.95,12438.989999999998,349.2099999999991,8431958.0,-0.010915756225585938
1717700660.9329383,-17966.0,12741.57,215.47000000000116,8441788.0,-0.013446807861328125
1717700661.0697057,-18318.41,13029.39,74.30000000000291,8451717.0,-0.01599884033203125
1717700661.2064734,-18646.64,13306.14,-78.0099999999984,8461923.0,-0.018632888793945312
1717700661.3432407,-18954.129999999997,13568.129999999997,-237.7599999999984,8472173.0,-0.02127838134765625
1717700661.4800084,-19240.9,13819.050000000003,-404.9300000000003,8482478.0,-0.023916244506835938
1717700661.6167758,-19506.93,14058.900000000001,-579.5400000000009,8492814.0,-0.026580810546875
1717700661.7535434,-19755.690000000002,14287.68,-761.5699999999997,8503176.0,-0.029209136962890625
1717700661.8903108,-19987.18,14509.080000000002,-951.0400000000009,8513482.0,-0.031818389892578125
1717700662.0270784,-20204.84,14719.410000000003,-1147.9300000000003,8523698.0,-0.03439903259277344
1717700662.163846,-20408.690000000002,14918.669999999998,-1348.5400000000009,8533717.0,-0.036922454833984375
1717700662.3006134,-20598.71,15110.550000000003,-1556.5900000000001,8543529.0,-0.039386749267578125
1717700662.437381,-20774.92,15295.050000000003,-1768.3400000000001,8553121.0,-0.0417938232421875
1717700662.5741484,-20940.760000000002,15468.480000000003,-1987.5200000000004,8562516.0,-0.044178009033203125
1717700662.710916,-21096.23,15634.529999999999,-2210.4199999999983,8571616.0,-0.046443939208984375
1717700662.8476834,-21241.34,15789.510000000002,-2437.040000000001,8580178.0,-0.04857444763183594
1717700662.984451,-21379.54,15937.11,-2671.09,8588400.0,-0.05063629150390625
1717700663.1212184,-21507.379999999997,16073.64,-2908.84,8596165.0,-0.05258941650390625
1717700663.257986,-21628.3,16202.79,-3150.3199999999997,8603342.0,-0.054401397705078125
1717700663.3947535,-21742.32,16320.870000000003,-3399.220000000001,8610072.0,-0.05611228942871094
1717700663.531521,-21852.879999999997,16431.57,-3651.84,8616101.0,-0.0576629638671875
1717700663.6682885,-21956.53,16531.199999999997,-3908.1800000000003,8621507.0,-0.05900764465332031
1717700663.805056,-22053.27,16623.449999999997,-4168.23,8626287.0,-0.06026268005371094
1717700663.9418237,-22146.55,16704.629999999997,-4432.0,8630249.0,-0.06131935119628906
1717700664.078591,-22232.93,16774.739999999998,-4699.470000000001,8633720.0,-0.06223297119140625
1717700664.2153587,-22315.85,16837.47,-4970.669999999998,8636533.0,-0.06295585632324219
1717700664.3521261,-22395.309999999998,16889.129999999997,-5249.290000000001,8638670.0,-0.06351470947265625
1717700664.4888937,-22471.32,16933.410000000003,-5531.630000000001,8640267.0,-0.06392288208007812
1717700664.6256611,-22543.879999999997,16966.620000000003,-5817.689999999999,8641251.0,-0.06416511535644531
1717700664.7624288,-22612.98,16992.449999999997,-6107.459999999999,8641531.0,-0.06422615051269531
