,x,y,z,temp,temp_error
1714594661.6893117,-8383.27,-19044.09,-27609.86,10914300.0,0.0
1714594661.8320315,-8518.419999999998,-19564.16,-28483.91,10933138.0,-0.26398658752441406
1714594661.9747512,-8613.82,-20012.77,-29251.18,10944973.0,-0.2708873748779297
1714594662.117471,-8681.400000000001,-20393.89,-29919.58,10948712.0,-0.27617645263671875
1714594662.2601905,-8721.150000000001,-20719.43,-30493.05,10947646.0,-0.2801990509033203
1714594662.4029102,-8737.05,-20993.36,-30983.47,10943139.0,-0.2833900451660156
1714594662.54563,-8737.05,-21219.65,-31402.7,10935267.0,-0.2856864929199219
1714594662.6883497,-8721.150000000001,-21406.239999999998,-31758.65,10925712.0,-0.28709983825683594
1714594662.8310695,-8693.32,-21561.07,-32059.23,10916342.0,-0.2881889343261719
1714594662.9737892,-8661.52,-21688.11,-32312.35,10906801.0,-0.2888641357421875
1714594663.116509,-8621.77,-21795.3,-32521.96,10897362.0,-0.28914833068847656
1714594663.2592287,-8578.05,-21882.64,-32699.94,10888861.0,-0.2892627716064453
1714594663.4019482,-8530.349999999999,-21954.1,-32850.23,10881474.0,-0.2892494201660156
1714594663.544668,-8482.650000000001,-22013.65,-32972.84,10874438.0,-0.28912925720214844
1714594663.6873877,-8434.95,-22061.29,-33075.66,10868432.0,-0.28885650634765625
1714594663.8301075,-8387.25,-22100.989999999998,-33158.72,10862802.0,-0.28853797912597656
1714594663.9728272,-8339.55,-22132.75,-33229.91,10858312.0,-0.2882709503173828
1714594664.115547,-8291.849999999999,-22156.57,-33285.28,10853939.0,-0.28784942626953125
1714594664.2582667,-8248.119999999999,-22172.45,-33328.79,10849930.0,-0.2874565124511719
1714594664.4009862,-8208.369999999999,-22184.36,-33364.38,10846683.0,-0.2870502471923828
1714594664.543706,-8172.5999999999985,-22192.3,-33396.02,10843346.0,-0.2866172790527344
1714594664.6864257,-8136.82,-22192.3,-33419.75,10840593.0,-0.2861976623535156
1714594664.8291454,-8105.02,-22192.3,-33439.53,10838153.0,-0.2857627868652344
1714594664.9718652,-8077.200000000001,-22184.36,-33455.34,10835435.0,-0.28533363342285156
1714594665.114585,-8053.3499999999985,-22172.45,-33467.21,10832991.0,-0.2848491668701172
1714594665.2573047,-8033.48,-22160.54,-33479.08,10830311.0,-0.2843284606933594
1714594665.4000242,-8013.5999999999985,-22148.629999999997,-33490.94,10828740.0,-0.28397178649902344
1714594665.542744,-7997.700000000001,-22132.75,-33498.85,10825754.0,-0.28337669372558594
1714594665.6854637,-7985.77,-22116.870000000003,-33506.76,10823971.0,-0.28296661376953125
1714594665.8281834,-7973.8499999999985,-22104.96,-33514.67,10821487.0,-0.2824058532714844
1714594665.9709032,-7965.9000000000015,-22093.05,-33522.58,10819463.0,-0.281951904296875
1714594666.113623,-7957.950000000001,-22081.14,-33530.49,10817665.0,-0.28150367736816406
1714594666.2563426,-7953.98,-22073.2,-33538.4,10815853.0,-0.2810192108154297
1714594666.3990624,-7950.0,-22069.23,-33546.31,10813495.0,-0.28052330017089844
1714594666.541782,-7946.02,-22065.260000000002,-33558.18,10811661.0,-0.2800312042236328
1714594666.6845016,-7942.049999999999,-22065.260000000002,-33566.09,10809699.0,-0.2795581817626953
1714594666.8272214,-7938.07,-22069.23,-33574.0,10807825.0,-0.27907371520996094
1714594666.9699411,-7934.0999999999985,-22073.2,-33581.91,10805853.0,-0.27857398986816406
1714594667.112661,-7926.1500000000015,-22081.14,-33585.86,10803964.0,-0.2781257629394531
1714594667.2553806,-7922.169999999998,-22093.05,-33589.82,10802297.0,-0.27764129638671875
1714594667.3981004,-7914.23,-22100.989999999998,-33593.77,10800289.0,-0.2771739959716797
1714594667.54082,-7906.27,-22108.93,-33593.77,10798611.0,-0.2767219543457031
1714594667.6835396,-7898.32,-22116.870000000003,-33593.77,10796723.0,-0.27622032165527344
1714594667.8262594,-7890.369999999999,-22124.809999999998,-33589.82,10795084.0,-0.2758216857910156
1714594667.9689791,-7882.419999999998,-22128.78,-33585.86,10793106.0,-0.2752971649169922
1714594668.1116989,-7878.450000000001,-22132.75,-33581.91,10791147.0,-0.2748260498046875
1714594668.2544186,-7874.48,-22132.75,-33577.95,10789507.0,-0.27439117431640625
1714594668.3971384,-7870.5,-22128.78,-33574.0,10787461.0,-0.2738800048828125
1714594668.5398579,-7866.52,-22124.809999999998,-33570.04,10785674.0,-0.27344512939453125
1714594668.6825776,-7862.549999999999,-22120.84,-33566.09,10783847.0,-0.2729358673095703
1714594668.8252974,-7862.549999999999,-22116.870000000003,-33562.13,10782107.0,-0.2725238800048828
1714594668.968017,-7862.549999999999,-22108.93,-33558.18,10780257.0,-0.2720375061035156
1714594669.1107368,-7862.549999999999,-22100.989999999998,-33558.18,10778222.0,-0.2715282440185547
1714594669.2534566,-7862.549999999999,-22089.08,-33558.18,10776490.0,-0.2711009979248047
1714594669.3961763,-7866.52,-22077.17,-33558.18,10774944.0,-0.2706470489501953
1714594669.538896,-7870.5,-22065.260000000002,-33562.13,10772692.0,-0.27014732360839844
1714594669.6816156,-7874.48,-22057.32,-33566.09,10771022.0,-0.26967620849609375
1714594669.8243353,-7878.450000000001,-22049.379999999997,-33570.04,10769098.0,-0.26922607421875
1714594669.967055,-7882.419999999998,-22045.41,-33574.0,10767320.0,-0.2687549591064453
1714594670.1097748,-7886.4000000000015,-22041.440000000002,-33577.95,10765424.0,-0.26825904846191406
1714594670.2524946,-7890.369999999999,-22041.440000000002,-33585.86,10763768.0,-0.2678508758544922
1714594670.3952143,-7894.3499999999985,-22041.440000000002,-33593.77,10762105.0,-0.26737403869628906
1714594670.537934,-7898.32,-22045.41,-33597.73,10759993.0,-0.2668933868408203
1714594670.6806536,-7898.32,-22053.35,-33605.64,10758323.0,-0.26644325256347656
1714594670.8233733,-7898.32,-22061.29,-33609.59,10756550.0,-0.2659740447998047
1714594670.966093,-7898.32,-22069.23,-33613.55,10754891.0,-0.26556396484375
1714594671.1088128,-7894.3499999999985,-22081.14,-33617.5,10753274.0,-0.26508331298828125
1714594671.2515326,-7890.369999999999,-22093.05,-33617.5,10751622.0,-0.2646827697753906
1714594671.3942523,-7886.4000000000015,-22100.989999999998,-33617.5,10749913.0,-0.2642364501953125
1714594671.536972,-7882.419999999998,-22108.93,-33613.55,10748265.0,-0.2637825012207031
1714594671.6796918,-7878.450000000001,-22116.870000000003,-33609.59,10746597.0,-0.2633781433105469
1714594671.8224113,-7874.48,-22120.84,-33605.64,10744986.0,-0.2629280090332031
1714594671.965131,-7870.5,-22124.809999999998,-33601.68,10742991.0,-0.26247215270996094
1714594672.1078508,-7866.52,-22124.809999999998,-33597.73,10741618.0,-0.2620697021484375
