,x,y,z,temp,temp_error
1714594716.4443183,4273.120000000003,13331.260000000002,28788.440000000002,10957714.0,0.0
1714594716.5853233,4090.269999999997,14343.61,30109.42,11005273.0,-0.28128623962402344
1714594716.7263284,3851.769999999997,15340.080000000002,31347.33,11046960.0,-0.2919731140136719
1714594716.8673334,3561.5999999999985,16308.760000000002,32498.239999999998,11085585.0,-0.3024330139160156
1714594717.0083385,3219.75,17237.739999999998,33554.22,11118077.0,-0.3121967315673828
1714594717.1493433,2830.199999999997,18111.14,34511.33,11141605.0,-0.32036399841308594
1714594717.2903483,2400.9000000000015,18921.019999999997,35369.57000000001,11159300.0,-0.3274421691894531
1714594717.4313533,1935.8199999999997,19659.440000000002,36128.92,11170763.0,-0.3336143493652344
1714594717.5723584,1442.9199999999983,20322.43,36793.369999999995,11174574.0,-0.33831787109375
1714594717.7133634,930.1500000000015,20906.019999999997,37370.8,11172923.0,-0.3417015075683594
1714594717.8543684,401.4800000000032,21410.21,37865.17,11167824.0,-0.3443336486816406
1714594717.9953735,-131.16999999999825,21835.0,38288.36,11159175.0,-0.3460826873779297
1714594718.1363785,-663.8199999999997,22188.33,38648.270000000004,11147995.0,-0.3468914031982422
1714594718.2773836,-1192.5,22474.17,38952.8,11136192.0,-0.3472557067871094
1714594718.4183884,-1709.25,22704.43,39209.880000000005,11124568.0,-0.3472862243652344
1714594718.5593934,-2210.0999999999985,22879.11,39427.399999999994,11112571.0,-0.34688568115234375
1714594718.7003984,-2691.0699999999997,23006.15,39609.33,11101614.0,-0.3463020324707031
1714594718.8414035,-3148.2000000000007,23093.489999999998,39763.57000000001,11091924.0,-0.3456535339355469
1714594718.9824085,-3581.470000000001,23149.07,39890.130000000005,11083398.0,-0.3449878692626953
1714594719.1234136,-3990.9000000000015,23180.83,39996.92,11075021.0,-0.3440723419189453
1714594719.2644186,-4376.470000000001,23188.769999999997,40087.89,11068399.0,-0.3433246612548828
1714594719.4054236,-4738.200000000001,23180.83,40163.03,11062371.0,-0.3425407409667969
1714594719.5464287,-5076.07,23157.010000000002,40226.31,11056995.0,-0.3417167663574219
1714594719.6874337,-5386.119999999999,23117.309999999998,40281.67999999999,11052481.0,-0.34099388122558594
1714594719.8284385,-5672.32,23069.67,40325.19,11048281.0,-0.34021568298339844
1714594719.9694436,-5938.6500000000015,23018.059999999998,40364.740000000005,11044644.0,-0.33954429626464844
1714594720.1104486,-6181.119999999999,22958.510000000002,40396.380000000005,11041207.0,-0.3388023376464844
1714594720.2514536,-6403.720000000001,22898.96,40424.07000000001,11037806.0,-0.3380775451660156
1714594720.3924587,-6602.470000000001,22835.440000000002,40447.78,11034823.0,-0.3374156951904297
1714594720.5334637,-6781.3499999999985,22771.92,40467.57000000001,11032109.0,-0.3367176055908203
1714594720.6744688,-6944.32,22708.4,40483.39,11029612.0,-0.3361186981201172
1714594720.8154738,-7087.419999999998,22648.85,40499.21000000001,11027071.0,-0.33547401428222656
1714594720.9564788,-7218.5999999999985,22589.300000000003,40515.03,11024492.0,-0.3348217010498047
1714594721.0974836,-7333.869999999999,22533.72,40526.89,11022382.0,-0.3342475891113281
1714594721.2384887,-7437.23,22478.14,40538.75,11020343.0,-0.33367156982421875
1714594721.3794937,-7528.6500000000015,22426.53,40550.619999999995,11017658.0,-0.3330345153808594
1714594721.5204988,-7608.1500000000015,22382.86,40562.490000000005,11015663.0,-0.3324546813964844
1714594721.6615038,-7675.73,22343.160000000003,40574.350000000006,11013572.0,-0.3319110870361328
1714594721.8025088,-7735.3499999999985,22307.43,40586.21000000001,11011246.0,-0.3313179016113281
1714594721.9435139,-7787.02,22275.67,40598.08,11009082.0,-0.3307037353515625
1714594722.084519,-7834.73,22251.85,40609.94,11007237.0,-0.3302268981933594
1714594722.225524,-7878.450000000001,22228.03,40617.850000000006,11004998.0,-0.3296356201171875
1714594722.3665287,-7918.200000000001,22208.18,40625.770000000004,11002696.0,-0.32904624938964844
1714594722.5075338,-7953.98,22192.300000000003,40633.67,11000751.0,-0.3285179138183594
1714594722.6485388,-7985.77,22180.39,40641.58,10998542.0,-0.3279609680175781
1714594722.7895439,-8013.5999999999985,22168.480000000003,40649.490000000005,10996548.0,-0.3274402618408203
1714594722.930549,-8041.419999999998,22160.54,40653.45,10994452.0,-0.3268394470214844
1714594723.071554,-8069.25,22156.57,40657.41,10992166.0,-0.3263225555419922
