,x,y,z,temp,temp_error
1714594014.132878,-20773.35,1063.9599999999991,-25418.79,10592890.0,0.0
1714594014.2740653,-21659.78,524.0400000000009,-26977.06,10639701.0,-0.2023468017578125
1714594014.4152527,-22518.379999999997,-59.54999999999927,-28515.55,10687382.0,-0.212646484375
1714594014.5564399,-23341.2,-678.869999999999,-30018.45,10732239.0,-0.222381591796875
1714594014.6976273,-24124.28,-1329.9500000000007,-31477.85,10777759.0,-0.2323932647705078
1714594014.8388145,-24863.63,-2004.8499999999985,-32877.92,10824334.0,-0.2430095672607422
1714594014.980002,-25555.28,-2691.66,-34210.75,10866680.0,-0.2532501220703125
1714594015.121189,-26199.22,-3382.4399999999987,-35464.48,10904802.0,-0.262603759765625
1714594015.2623763,-26787.53,-4069.25,-36627.26,10941362.0,-0.27195167541503906
1714594015.4035637,-27320.18,-4740.18,-37695.11,10974057.0,-0.28096580505371094
1714594015.544751,-27797.18,-5387.290000000001,-38664.08,11000600.0,-0.28903961181640625
1714594015.6859384,-28222.5,-6002.639999999999,-39534.18,11021108.0,-0.2958831787109375
1714594015.8271255,-28592.18,-6578.290000000001,-40305.41,11038407.0,-0.3023109436035156
1714594015.968313,-28914.15,-7110.27,-40981.71,11050211.0,-0.3078479766845703
1714594016.1095002,-29188.43,-7590.639999999999,-41571.01,11056441.0,-0.31229400634765625
1714594016.2506874,-29422.95,-8023.369999999999,-42081.2,11057835.0,-0.31561279296875
1714594016.3918748,-29617.72,-8404.490000000002,-42520.21,11057664.0,-0.31853485107421875
1714594016.533062,-29780.7,-8741.939999999999,-42895.93,11053710.0,-0.3206062316894531
1714594016.6742494,-29915.85,-9035.720000000001,-43216.29,11048246.0,-0.3221149444580078
1714594016.8154366,-30023.18,-9289.8,-43489.18,11041999.0,-0.32308197021484375
1714594016.956624,-30110.63,-9508.150000000001,-43726.479999999996,11035621.0,-0.32384300231933594
1714594017.0978112,-30178.2,-9690.77,-43928.19,11029047.0,-0.3242816925048828
1714594017.2389984,-30229.88,-9849.57,-44102.21,11022326.0,-0.3244743347167969
1714594017.3801858,-30269.63,-9980.580000000002,-44252.5,11015965.0,-0.3244037628173828
1714594017.521373,-30297.45,-10091.740000000002,-44383.01,11010570.0,-0.3243751525878906
1714594017.6625605,-30317.33,-10187.02,-44493.75,11005608.0,-0.3242073059082031
1714594017.8037477,-30325.28,-10266.419999999998,-44588.68,11000986.0,-0.3239917755126953
1714594017.944935,-30329.25,-10333.91,-44671.729999999996,10996361.0,-0.3235969543457031
1714594018.0861223,-30325.28,-10389.490000000002,-44738.96,10992176.0,-0.3232421875
1714594018.2273095,-30317.33,-10433.16,-44798.29,10989039.0,-0.3228950500488281
1714594018.368497,-30305.4,-10472.86,-44845.75,10985361.0,-0.3224658966064453
1714594018.509684,-30289.5,-10504.619999999999,-44885.3,10982141.0,-0.3219890594482422
1714594018.6508715,-30273.6,-10532.41,-44916.94,10979329.0,-0.3215827941894531
1714594018.7920587,-30257.7,-10556.23,-44940.67,10976706.0,-0.32111549377441406
1714594018.9332461,-30237.83,-10572.11,-44960.44,10973511.0,-0.3205909729003906
1714594019.0744333,-30221.93,-10587.990000000002,-44976.26,10971146.0,-0.32009124755859375
1714594019.2156205,-30206.03,-10599.900000000001,-44988.12,10968737.0,-0.31963539123535156
1714594019.356808,-30194.1,-10603.869999999999,-44996.04,10966171.0,-0.3190898895263672
1714594019.4979951,-30182.18,-10607.84,-45003.95,10963448.0,-0.3185462951660156
1714594019.6391826,-30174.22,-10607.84,-45011.86,10961344.0,-0.31802940368652344
1714594019.7803698,-30166.28,-10611.810000000001,-45019.770000000004,10959008.0,-0.3175334930419922
1714594019.9215572,-30162.3,-10611.810000000001,-45027.68,10956488.0,-0.3169517517089844
1714594020.0627444,-30158.33,-10611.810000000001,-45035.59,10953930.0,-0.31639862060546875
1714594020.2039316,-30154.35,-10607.84,-45043.5,10951556.0,-0.31580352783203125
1714594020.345119,-30154.35,-10607.84,-45051.41,10949359.0,-0.3153057098388672
1714594020.4863062,-30150.38,-10603.869999999999,-45063.270000000004,10947287.0,-0.3147544860839844
1714594020.6274936,-30150.38,-10603.869999999999,-45071.18,10944842.0,-0.3141975402832031
1714594020.7686808,-30146.4,-10603.869999999999,-45079.09,10942512.0,-0.3136100769042969
1714594020.9098682,-30142.43,-10603.869999999999,-45087.0,10940220.0,-0.3130779266357422
1714594021.0510554,-30138.45,-10603.869999999999,-45094.91,10937589.0,-0.3124351501464844
1714594021.1922426,-30130.5,-10599.900000000001,-45102.82,10935544.0,-0.3119239807128906
1714594021.33343,-30122.55,-10599.900000000001,-45106.78,10933297.0,-0.3113212585449219
1714594021.4746172,-30114.6,-10599.900000000001,-45110.729999999996,10930900.0,-0.3107719421386719
1714594021.6158047,-30106.65,-10599.900000000001,-45110.729999999996,10928383.0,-0.31014060974121094
1714594021.7569919,-30098.7,-10599.900000000001,-45110.729999999996,10926106.0,-0.3095893859863281
1714594021.8981793,-30090.75,-10599.900000000001,-45106.78,10923860.0,-0.3089866638183594
1714594022.0393665,-30082.8,-10599.900000000001,-45102.82,10921869.0,-0.30847740173339844
1714594022.1805537,-30078.83,-10599.900000000001,-45094.91,10919019.0,-0.3077983856201172
1714594022.321741,-30074.85,-10599.900000000001,-45090.96,10916572.0,-0.3072185516357422
1714594022.4629283,-30070.88,-10599.900000000001,-45087.0,10914922.0,-0.30669403076171875
1714594022.6041157,-30070.88,-10595.93,-45083.05,10912367.0,-0.3061103820800781
1714594022.745303,-30074.85,-10595.93,-45079.09,10909936.0,-0.3054924011230469
1714594022.8864903,-30078.83,-10595.93,-45079.09,10907444.0,-0.3048992156982422
1714594023.0276775,-30082.8,-10595.93,-45079.09,10905451.0,-0.30432891845703125
1714594023.1688647,-30086.78,-10591.96,-45083.05,10902570.0,-0.3036994934082031
1714594023.3100522,-30090.75,-10587.990000000002,-45087.0,10900484.0,-0.3031158447265625
1714594023.4512393,-30094.72,-10584.02,-45094.91,10897517.0,-0.3024482727050781
1714594023.5924268,-30098.7,-10584.02,-45098.87,10895051.0,-0.30181884765625
1714594023.733614,-30102.68,-10584.02,-45106.78,10892941.0,-0.3012657165527344
1714594023.8748014,-30106.65,-10584.02,-45114.69,10891033.0,-0.30071067810058594
1714594024.0159886,-30106.65,-10584.02,-45122.6,10888240.0,-0.3000755310058594
