,x,y,z,temp,temp_error
1714594064.1333067,8351.480000000003,-17706.2,31303.83,10826323.0,-0.25237464904785156
1714594064.2743943,9082.870000000003,-17813.39,32862.100000000006,10853719.0,-0.2596263885498047
1714594064.4154816,9822.230000000003,-17845.15,34368.96000000001,10877043.0,-0.2659950256347656
1714594064.556569,10569.519999999997,-17809.42,35816.490000000005,10900501.0,-0.27221107482910156
1714594064.6976566,11316.82,-17706.2,37204.69,10923901.0,-0.2786998748779297
1714594064.838744,12060.150000000001,-17547.4,38529.61,10945170.0,-0.2849292755126953
1714594064.9798315,12799.5,-17340.96,39783.350000000006,10963575.0,-0.29048728942871094
1714594065.120919,13526.919999999998,-17090.85,40969.850000000006,10980227.0,-0.2954902648925781
1714594065.2620063,14242.419999999998,-16805.010000000002,42085.16,10996936.0,-0.30078697204589844
1714594065.4030938,14938.050000000003,-16491.379999999997,43129.28,11011250.0,-0.30562591552734375
1714594065.5441813,15613.800000000003,-16157.900000000001,44098.25,11021809.0,-0.3095855712890625
1714594065.6852686,16265.699999999997,-15808.54,45000.0,11032538.0,-0.31346702575683594
1714594065.8263562,16893.75,-15451.240000000002,45830.55,11042320.0,-0.31722259521484375
1714594065.9674437,17493.980000000003,-15093.939999999999,46593.86,11049821.0,-0.3206062316894531
1714594066.108531,18062.4,-14736.64,47289.94,11054157.0,-0.3232002258300781
1714594066.2496185,18599.019999999997,-14387.279999999999,47922.740000000005,11058875.0,-0.3256492614746094
1714594066.390706,19103.85,-14049.830000000002,48496.21000000001,11062976.0,-0.32807350158691406
1714594066.5317934,19576.870000000003,-13728.259999999998,49014.32000000001,11065074.0,-0.3300304412841797
1714594066.672881,20014.120000000003,-13422.57,49477.05,11064811.0,-0.3313884735107422
1714594066.8139684,20419.58,-13136.73,49892.33,11065704.0,-0.3327198028564453
1714594066.9550557,20793.230000000003,-12866.77,50260.14,11065517.0,-0.33394622802734375
1714594067.0961432,21139.050000000003,-12616.66,50584.46000000001,11064724.0,-0.3348884582519531
1714594067.2372308,21457.050000000003,-12382.43,50873.17,11062371.0,-0.3353919982910156
1714594067.378318,21747.230000000003,-12164.080000000002,51126.28,11061083.0,-0.33594322204589844
1714594067.5194056,22009.58,-11961.61,51347.770000000004,11059928.0,-0.3365058898925781
1714594067.6604931,22248.08,-11778.990000000002,51541.57000000001,11057639.0,-0.3367729187011719
1714594067.8015804,22466.699999999997,-11608.279999999999,51711.630000000005,11055091.0,-0.3368377685546875
1714594067.942668,22665.449999999997,-11449.48,51857.96000000001,11053632.0,-0.33698081970214844
1714594068.0837555,22844.32,-11302.59,51984.53,11051998.0,-0.3371429443359375
1714594068.2248428,23007.300000000003,-11163.64,52095.270000000004,11049556.0,-0.337066650390625
1714594068.3659303,23150.4,-11040.57,52194.14,11047377.0,-0.33690452575683594
1714594068.5070179,23277.6,-10925.439999999999,52281.14,11045968.0,-0.3368358612060547
1714594068.6481051,23392.870000000003,-10818.25,52360.25,11044370.0,-0.3367881774902344
1714594068.7891927,23492.25,-10722.970000000001,52427.490000000005,11042337.0,-0.33657073974609375
1714594068.9302802,23583.68,-10639.599999999999,52486.81,11040003.0,-0.33623313903808594
1714594069.0713675,23663.18,-10564.169999999998,52542.17999999999,11038553.0,-0.3360252380371094
1714594069.212455,23730.75,-10500.650000000001,52589.64,11036810.0,-0.3358192443847656
1714594069.3535426,23790.370000000003,-10445.07,52633.14,11034631.0,-0.3354644775390625
1714594069.4946299,23842.050000000003,-10401.400000000001,52668.740000000005,11032249.0,-0.33502960205078125
1714594069.6357174,23889.75,-10365.669999999998,52700.380000000005,11030706.0,-0.3347206115722656
1714594069.776805,23929.5,-10333.91,52728.07000000001,11029109.0,-0.3344554901123047
1714594069.9178922,23965.28,-10310.09,52747.850000000006,11027043.0,-0.33405303955078125
1714594070.0589797,23997.08,-10290.240000000002,52763.66,11024608.0,-0.3335533142089844
1714594070.2000673,24028.870000000003,-10274.36,52775.53,11023058.0,-0.33319664001464844
1714594070.3411546,24056.699999999997,-10258.48,52787.39,11021258.0,-0.3328533172607422
1714594070.482242,24080.550000000003,-10246.57,52795.3,11019194.0,-0.33240509033203125
1714594070.6233296,24104.4,-10234.66,52799.25,11017133.0,-0.3319206237792969
1714594070.764417,24128.25,-10222.75,52799.25,11016101.0,-0.3316020965576172
