,x,y,z,temp,temp_error
1717176318.1963391,-6540.32,7236.0899999999965,16687.78,8723638.0,0.0
1717176318.3318434,-6951.459999999999,7723.169999999998,17649.96,8726186.0,-0.08588218688964844
1717176318.4673479,-7372.970000000001,8221.32,18623.300000000003,8728337.0,-0.08637428283691406
1717176318.602852,-7808.299999999999,8726.849999999999,19604.050000000003,8730165.0,-0.08681869506835938
1717176318.7383566,-8254.0,9239.760000000002,20592.239999999998,8731865.0,-0.08715629577636719
1717176318.8738608,-8713.509999999998,9760.050000000003,21587.870000000003,8733202.0,-0.08743858337402344
1717176319.0093653,-9186.84,10284.029999999999,22594.629999999997,8734491.0,-0.08771896362304688
1717176319.1448696,-9674.0,10811.699999999997,23608.82,8735803.0,-0.08802032470703125
1717176319.280374,-10174.98,11339.370000000003,24630.449999999997,8737161.0,-0.08834457397460938
1717176319.4158783,-10689.77,11867.04,25659.510000000002,8738823.0,-0.0887603759765625
1717176319.5513828,-11214.93,12391.019999999997,26692.28,8740731.0,-0.08925247192382812
1717176319.686887,-11753.91,12911.309999999998,27732.480000000003,8742635.0,-0.08969497680664062
1717176319.8223915,-12303.25,13420.529999999999,28780.1,8745071.0,-0.09036064147949219
1717176319.9578958,-12862.96,13918.68,29831.449999999997,8748081.0,-0.0911865234375
1717176320.0934002,-13429.59,14402.07,30890.230000000003,8751516.0,-0.09206962585449219
1717176320.2289045,-14003.11,14870.699999999997,31952.72,8755637.0,-0.09313392639160156
1717176320.364409,-14580.099999999999,15320.879999999997,33018.92,8760705.0,-0.09442329406738281
1717176320.4999132,-15157.09,15748.919999999998,34088.850000000006,8766611.0,-0.09591102600097656
1717176320.6354177,-15730.619999999999,16154.82,35162.479999999996,8773112.0,-0.09753036499023438
1717176320.770922,-16300.689999999999,16534.89,36236.11,8780971.0,-0.09949302673339844
1717176320.9064264,-16863.86,16889.129999999997,37309.75,8789630.0,-0.10160255432128906
1717176321.0419307,-17413.2,17221.230000000003,38383.39,8799289.0,-0.10397720336914062
1717176321.1774352,-17945.27,17527.5,39453.3,8810462.0,-0.10669708251953125
1717176321.3129394,-18460.059999999998,17807.940000000002,40515.8,8822845.0,-0.10971450805664062
1717176321.4484437,-18950.68,18066.239999999998,41567.14,8836238.0,-0.11297607421875
1717176321.5839481,-19413.64,18302.4,42603.630000000005,8850607.0,-0.11647987365722656
1717176321.7194524,-19848.98,18520.11,43625.25,8865431.0,-0.12009429931640625
1717176321.8549569,-20256.66,18723.059999999998,44624.58,8880974.0,-0.12388038635253906
1717176321.990461,-20629.8,18918.629999999997,45594.21000000001,8896359.0,-0.12764930725097656
1717176322.1259656,-20971.85,19103.129999999997,46530.380000000005,8911471.0,-0.13137245178222656
1717176322.2614698,-21279.35,19280.25,47425.69,8925119.0,-0.1347064971923828
1717176322.3969743,-21555.739999999998,19457.370000000003,48276.42,8937111.0,-0.13762664794921875
1717176322.5324786,-21797.6,19630.800000000003,49078.869999999995,8947055.0,-0.14002227783203125
1717176322.667983,-22011.8,19800.54,49825.58,8954812.0,-0.14185142517089844
1717176322.8034873,-22194.92,19970.28,50516.57000000001,8959950.0,-0.14299392700195312
1717176322.9389918,-22353.85,20136.33,51148.130000000005,8962488.0,-0.14345169067382812
1717176323.074496,-22485.14,20302.379999999997,51723.95,8962333.0,-0.14319229125976562
1717176323.2100005,-22595.7,20461.050000000003,52240.33,8959775.0,-0.14230728149414062
1717176323.3455048,-22685.53,20616.03,52701.0,8955177.0,-0.1408710479736328
1717176323.4810092,-22758.09,20759.940000000002,53113.36,8948830.0,-0.13896560668945312
1717176323.6165135,-22813.370000000003,20900.160000000003,53473.72,8940928.0,-0.13666915893554688
1717176323.752018,-22858.28,21033.0,53785.770000000004,8931860.0,-0.1340618133544922
1717176323.8875222,-22892.83,21151.08,54056.97,8921801.0,-0.13119888305664062
1717176324.0230267,-22913.559999999998,21261.78,54291.020000000004,8910835.0,-0.12810134887695312
1717176324.158531,-22930.84,21357.72,54495.350000000006,8899559.0,-0.12492561340332031
1717176324.2940354,-22941.2,21446.28,54669.94,8887924.0,-0.12165260314941406
1717176324.4295397,-22944.66,21527.46,54814.83,8876044.0,-0.118316650390625
1717176324.5650442,-22944.66,21601.260000000002,54937.42,8864039.0,-0.11494636535644531
1717176324.7005484,-22941.2,21663.989999999998,55041.44,8852019.0,-0.11157035827636719
1717176324.8360527,-22937.739999999998,21719.339999999997,55130.600000000006,8840295.0,-0.10826683044433594
1717176324.9715571,-22930.84,21767.309999999998,55204.91,8828708.0,-0.10499954223632812
1717176325.1070614,-22920.47,21811.589999999997,55264.350000000006,8817338.0,-0.1017913818359375
1717176325.2425659,-22910.11,21848.489999999998,55312.64,8806168.0,-0.0986328125
1717176325.37807,-22899.739999999998,21878.010000000002,55353.5,8795136.0,-0.09551239013671875
1717176325.5135746,-22885.92,21903.839999999997,55386.94,8783928.0,-0.09236907958984375
1717176325.6490788,-22875.559999999998,21925.980000000003,55412.94,8772896.0,-0.08926010131835938
1717176325.7845833,-22865.190000000002,21944.43,55435.240000000005,8762008.0,-0.08618736267089844
1717176325.9200876,-22858.28,21959.190000000002,55453.81,8751356.0,-0.08316802978515625
