,x,y,z,temp,temp_error
1717176390.8543792,-9069.369999999999,-7719.48,-9380.369999999999,8628581.0,-0.06086921691894531
1717176390.9892972,-9501.25,-8010.990000000002,-9997.07,8642198.0,-0.06439781188964844
1717176391.1242151,-9926.21,-8298.810000000001,-10624.900000000001,8655600.0,-0.06785202026367188
1717176391.2591333,-10347.73,-8582.939999999999,-11263.880000000001,8668639.0,-0.07118797302246094
1717176391.3940513,-10762.32,-8863.380000000001,-11917.720000000001,8680995.0,-0.0743560791015625
1717176391.5289693,-11170.009999999998,-9143.82,-12582.71,8692685.0,-0.0773468017578125
1717176391.6638873,-11574.25,-9424.259999999998,-13262.55,8703833.0,-0.08012771606445312
1717176391.7988052,-11975.029999999999,-9708.39,-13953.54,8713905.0,-0.08263969421386719
1717176391.9337232,-12368.900000000001,-9992.52,-14659.39,8723130.0,-0.08492469787597656
1717176392.0686414,-12759.32,-10284.029999999999,-15376.39,8731616.0,-0.08699798583984375
1717176392.2035594,-13149.73,-10579.23,-16108.240000000002,8739053.0,-0.08880996704101562
1717176392.3384774,-13536.689999999999,-10878.119999999999,-16851.239999999998,8745671.0,-0.09039115905761719
1717176392.4733953,-13916.740000000002,-11180.7,-17609.1,8751447.0,-0.09180831909179688
1717176392.6083133,-14296.79,-11486.970000000001,-18378.11,8756561.0,-0.09302902221679688
1717176392.7432315,-14673.39,-11796.93,-19161.97,8760709.0,-0.09402275085449219
1717176392.8781495,-15046.52,-12110.580000000002,-19956.98,8764289.0,-0.09488677978515625
1717176393.0130675,-15419.669999999998,-12427.919999999998,-20763.14,8767389.0,-0.09564018249511719
1717176393.1479855,-15789.349999999999,-12745.259999999998,-21584.15,8769884.0,-0.09627723693847656
1717176393.2829034,-16155.580000000002,-13066.29,-22416.309999999998,8772074.0,-0.096832275390625
1717176393.4178214,-16518.36,-13387.32,-23259.620000000003,8774004.0,-0.09731483459472656
1717176393.5527396,-16877.68,-13704.66,-24114.059999999998,8776066.0,-0.09781265258789062
1717176393.6876576,-17233.54,-14022.0,-24979.66,8778022.0,-0.09832572937011719
1717176393.8225756,-17585.95,-14335.650000000001,-25856.4,8780170.0,-0.09883499145507812
1717176393.9574935,-17934.9,-14649.3,-26744.29,8782944.0,-0.09946441650390625
1717176394.0924115,-18280.4,-14959.259999999998,-27643.32,8786145.0,-0.10015678405761719
1717176394.2273297,-18622.45,-15269.220000000001,-28549.78,8790366.0,-0.10109710693359375
1717176394.3622477,-18961.04,-15575.490000000002,-29463.67,8794997.0,-0.1021270751953125
1717176394.4971657,-19296.18,-15878.07,-30381.27,8800570.0,-0.10336875915527344
1717176394.6320837,-19627.86,-16176.96,-31306.3,8807431.0,-0.1049652099609375
1717176394.7670016,-19956.08,-16472.16,-32231.34,8815129.0,-0.10675239562988281
1717176394.9019196,-20277.4,-16763.67,-33156.38,8824028.0,-0.10880851745605469
1717176395.0368378,-20595.260000000002,-17055.18,-34077.7,8833831.0,-0.11113739013671875
1717176395.1717558,-20906.21,-17343.0,-34995.3,8844594.0,-0.11371040344238281
1717176395.3066738,-21213.7,-17627.129999999997,-35898.05,8856250.0,-0.11651802062988281
1717176395.4415917,-21514.29,-17911.260000000002,-36785.93,8868074.0,-0.11939430236816406
1717176395.5765097,-21811.42,-18191.7,-37655.24,8880148.0,-0.12232398986816406
1717176395.711428,-22101.64,-18464.760000000002,-38502.26,8892285.0,-0.1252727508544922
1717176395.846346,-22384.95,-18737.82,-39319.56,8903882.0,-0.12805938720703125
1717176395.9812639,-22661.35,-19003.5,-40103.43,8914777.0,-0.13065338134765625
1717176396.1161819,-22930.84,-19261.8,-40846.43,8924586.0,-0.1329059600830078
1717176396.2510998,-23193.42,-19516.41,-41548.56,8932472.0,-0.1346416473388672
1717176396.3860178,-23445.629999999997,-19763.64,-42202.4,8938884.0,-0.13596534729003906
1717176396.520936,-23690.940000000002,-19999.8,-42804.229999999996,8943233.0,-0.1367340087890625
1717176396.655854,-23925.879999999997,-20224.89,-43354.05,8945438.0,-0.13695144653320312
1717176396.790772,-24150.45,-20438.91,-43855.58,8945417.0,-0.13658905029296875
1717176396.92569,-24364.66,-20638.17,-44305.09,8943184.0,-0.13565826416015625
1717176397.060608,-24568.510000000002,-20826.36,-44706.31,8938961.0,-0.13419723510742188
1717176397.1955261,-24758.53,-20992.41,-45062.95,8933062.0,-0.132293701171875
1717176397.330444,-24938.19,-21143.7,-45375.01,8925616.0,-0.13001060485839844
1717176397.465362,-25104.03,-21283.92,-45646.21,8917001.0,-0.12742996215820312
1717176397.60028,-25259.510000000002,-21409.379999999997,-45880.25,8907198.0,-0.12455177307128906
1717176397.735198,-25404.62,-21520.08,-46084.58,8896727.0,-0.12150192260742188
1717176397.870116,-25539.36,-21616.02,-46259.18,8885702.0,-0.11832618713378906
1717176398.0050342,-25660.29,-21700.89,-46407.78,8874298.0,-0.11503791809082031
1717176398.1399522,-25770.85,-21771.0,-46537.8,8862843.0,-0.11173439025878906
1717176398.2748702,-25871.04,-21830.04,-46649.26,8851381.0,-0.10842514038085938
1717176398.4097881,-25960.87,-21885.39,-46745.85,8840100.0,-0.10515785217285156
1717176398.544706,-26040.34,-21933.36,-46823.86,8828997.0,-0.10193443298339844
1717176398.6796243,-26116.35,-21966.57,-46894.45,8817788.0,-0.09869194030761719
1717176398.8145423,-26181.989999999998,-21996.09,-46957.6,8806841.0,-0.09552001953125
1717176398.9494603,-26240.72,-22021.92,-47009.61,8796108.0,-0.09240913391113281
1717176399.0843782,-26292.55,-22044.059999999998,-47054.2,8785332.0,-0.08929443359375
1717176399.2192962,-26337.46,-22062.510000000002,-47091.34,8774686.0,-0.08620452880859375
1717176399.3542142,-26378.93,-22069.89,-47124.78,8763971.0,-0.08309555053710938
1717176399.4891324,-26413.48,-22080.96,-47150.78,8753721.0,-0.08009719848632812
1717176399.6240504,-26444.57,-22088.34,-47176.79,8743648.0,-0.0771484375
1717176399.7589684,-26472.21,-22095.72,-47199.08,8733804.0,-0.07426834106445312
1717176399.8938863,-26496.4,-22099.41,-47217.65,8724257.0,-0.07147216796875
1717176400.0288043,-26517.13,-22099.41,-47232.520000000004,8714977.0,-0.06876182556152344
1717176400.1637225,-26534.4,-22099.41,-47247.37,8705947.0,-0.06612205505371094
1717176400.2986405,-26548.22,-22103.1,-47262.229999999996,8697292.0,-0.06359481811523438
1717176400.4335585,-26562.04,-22099.41,-47273.38,8688898.0,-0.061153411865234375
1717176400.5684764,-26575.86,-22099.41,-47284.520000000004,8681121.0,-0.05887794494628906
1717176400.7033944,-26586.22,-22103.1,-47295.67,8673916.0,-0.05674934387207031
1717176400.8383124,-26596.59,-22103.1,-47303.1,8667366.0,-0.05478668212890625
1717176400.9732306,-26603.5,-22099.41,-47310.53,8661544.0,-0.05301475524902344
1717176401.1081486,-26610.41,-22099.41,-47317.96,8656607.0,-0.051471710205078125
1717176401.2430665,-26617.32,-22099.41,-47325.39,8652480.0,-0.050140380859375
1717176401.3779845,-26624.23,-22099.41,-47329.1,8649209.0,-0.04903221130371094
1717176401.5129025,-26631.14,-22099.41,-47332.82,8647019.0,-0.04821014404296875
1717176401.6478207,-26634.6,-22099.41,-47336.53,8645792.0,-0.047634124755859375
1717176401.7827387,-26638.05,-22103.1,-47340.25,8645437.0,-0.04727745056152344
1717176401.9176567,-26641.510000000002,-22106.79,-47343.96,8645931.0,-0.047130584716796875
1717176402.0525746,-26648.42,-22106.79,-47347.68,8647208.0,-0.047168731689453125
1717176402.1874926,-26651.87,-22110.48,-47347.68,8649269.0,-0.04739952087402344
1717176402.3224106,-26655.33,-22114.17,-47347.68,8652148.0,-0.04782676696777344
1717176402.4573288,-26658.78,-22121.55,-47343.96,8655859.0,-0.0484619140625
1717176402.5922468,-26662.239999999998,-22125.239999999998,-47340.25,8660061.0,-0.04921531677246094
1717176402.7271647,-26665.69,-22125.239999999998,-47336.53,8664826.0,-0.05010795593261719
