,x,y,z,temp,temp_error
1717175472.641941,-19344.55,11597.669999999998,-404.9300000000003,8287814.0,0.05057525634765625
1717175472.777509,-19783.33,11907.629999999997,-594.4000000000015,8292801.0,0.04897117614746094
1717175472.913077,-20180.66,12199.14,-795.0099999999984,8298861.0,0.0471038818359375
1717175473.048645,-20543.43,12475.89,-1006.7599999999984,8306130.0,0.044925689697265625
1717175473.184213,-20868.2,12737.879999999997,-1225.9500000000007,8314372.0,0.04253387451171875
1717175473.319781,-21161.879999999997,12988.800000000003,-1456.2799999999988,8323557.0,0.03992652893066406
1717175473.455349,-21427.91,13228.650000000001,-1694.0400000000009,8333532.0,0.03712654113769531
1717175473.5909169,-21669.760000000002,13457.43,-1942.9399999999987,8344316.0,0.034149169921875
1717175473.7264848,-21887.43,13675.14,-2199.279999999999,8355786.0,0.031019210815429688
1717175473.862053,-22084.36,13881.779999999999,-2463.040000000001,8367848.0,0.02776336669921875
1717175473.9976208,-22260.559999999998,14084.730000000003,-2734.2400000000016,8380283.0,0.02442169189453125
1717175474.1331887,-22419.5,14276.61,-3012.8600000000006,8393304.0,0.020956039428710938
1717175474.2687569,-22561.15,14461.11,-3298.9199999999983,8406730.0,0.017412185668945312
1717175474.4043248,-22688.98,14638.230000000003,-3592.41,8420432.0,0.013820648193359375
1717175474.5398927,-22803.0,14807.970000000001,-3893.3199999999997,8434517.0,0.010162353515625
1717175474.6754608,-22906.65,14970.330000000002,-4201.66,8448783.0,0.0064697265625
1717175474.8110287,-22999.940000000002,15129.0,-4517.439999999999,8463265.0,0.0027523040771484375
1717175474.9465966,-23082.86,15280.29,-4836.93,8477879.0,-0.0009765625
1717175475.0821648,-23155.41,15424.199999999997,-5163.8499999999985,8492527.0,-0.004695892333984375
1717175475.2177327,-23221.059999999998,15564.419999999998,-5498.200000000001,8507146.0,-0.008378982543945312
1717175475.3533006,-23279.79,15697.260000000002,-5836.259999999998,8521737.0,-0.012012481689453125
1717175475.4888687,-23331.620000000003,15826.410000000003,-6181.759999999998,8536128.0,-0.015584945678710938
1717175475.6244366,-23376.53,15948.18,-6530.970000000001,8550090.0,-0.0190277099609375
1717175475.7600045,-23414.54,16062.57,-6887.610000000001,8563815.0,-0.022388458251953125
1717175475.8955724,-23449.09,16169.580000000002,-7247.959999999999,8577301.0,-0.0256500244140625
1717175476.0311406,-23480.18,16272.900000000001,-7612.029999999999,8590310.0,-0.0287933349609375
1717175476.1667085,-23507.82,16368.839999999997,-7983.529999999999,8602793.0,-0.03178596496582031
1717175476.3022764,-23532.010000000002,16457.4,-8358.75,8614596.0,-0.03458213806152344
1717175476.4378445,-23552.739999999998,16534.89,-8737.68,8625698.0,-0.03714179992675781
1717175476.5734124,-23570.010000000002,16605.0,-9120.32,8635971.0,-0.03949737548828125
1717175476.7089803,-23583.83,16667.730000000003,-9506.68,8645609.0,-0.04166603088378906
1717175476.8445485,-23597.65,16719.39,-9900.48,8654185.0,-0.0435638427734375
1717175476.9801164,-23608.02,16763.67,-10297.98,8661873.0,-0.0452117919921875
1717175477.1156843,-23618.379999999997,16796.879999999997,-10699.2,8668574.0,-0.046588897705078125
1717175477.2512524,-23628.75,16819.019999999997,-11104.14,8674162.0,-0.047702789306640625
1717175477.3868203,-23639.11,16830.089999999997,-11512.779999999999,8678869.0,-0.04855155944824219
1717175477.5223882,-23646.02,16833.78,-11928.86,8682257.0,-0.04904365539550781
1717175477.6579564,-23652.93,16826.4,-12348.66,8684584.0,-0.04929542541503906
1717175477.7935243,-23659.84,16807.949999999997,-12772.169999999998,8686055.0,-0.04928016662597656
1717175477.9290922,-23670.21,16782.120000000003,-13199.39,8686663.0,-0.049060821533203125
1717175478.06466,-23680.57,16745.22,-13634.05,8686149.0,-0.04855918884277344
1717175478.2002282,-23690.940000000002,16697.25,-14072.419999999998,8684743.0,-0.04781913757324219
1717175478.335796,-23704.760000000002,16641.9,-14514.5,8682570.0,-0.04689979553222656
1717175478.471364,-23718.58,16579.17,-14964.02,8679750.0,-0.04579734802246094
1717175478.6069322,-23732.4,16509.059999999998,-15417.25,8676426.0,-0.04457664489746094
1717175478.7425,-23749.67,16431.57,-15877.91,8672722.0,-0.043300628662109375
1717175478.878068,-23770.4,16346.699999999997,-16346.0,8668753.0,-0.04192161560058594
1717175479.013636,-23794.59,16258.14,-16817.8,8664475.0,-0.04047966003417969
1717175479.149204,-23818.77,16165.89,-17297.04,8659994.0,-0.03899383544921875
1717175479.284772,-23846.41,16073.64,-17783.71,8655527.0,-0.037509918212890625
1717175479.42034,-23877.510000000002,15977.699999999997,-18274.08,8651022.0,-0.03605842590332031
1717175479.555908,-23912.059999999998,15881.760000000002,-18771.9,8646688.0,-0.03461647033691406
1717175479.6914759,-23950.059999999998,15782.129999999997,-19277.14,8642470.0,-0.033222198486328125
1717175479.827044,-23991.52,15682.5,-19789.8,8638665.0,-0.03200721740722656
1717175479.962612,-24032.98,15582.870000000003,-20309.9,8635166.0,-0.030826568603515625
1717175480.0981798,-24077.9,15483.239999999998,-20837.440000000002,8632032.0,-0.029767990112304688
1717175480.2337477,-24126.27,15387.300000000003,-21372.4,8629352.0,-0.028820037841796875
1717175480.3693159,-24178.09,15287.669999999998,-21914.79,8627154.0,-0.028005599975585938
1717175480.5048838,-24229.92,15191.730000000003,-22468.32,8625526.0,-0.027345657348632812
1717175480.6404517,-24285.2,15095.79,-23029.29,8624482.0,-0.026815414428710938
1717175480.7760198,-24343.93,15003.54,-23597.68,8624034.0,-0.026470184326171875
1717175480.9115877,-24402.67,14911.29,-24177.22,8624263.0,-0.026308059692382812
1717175481.0471556,-24461.4,14819.04,-24764.19,8625202.0,-0.02630615234375
1717175481.1827238,-24523.59,14726.79,-25362.3,8626691.0,-0.026453018188476562
1717175481.3182917,-24589.239999999998,14638.230000000003,-25967.85,8628766.0,-0.02674102783203125
1717175481.4538596,-24654.88,14549.669999999998,-26584.54,8631538.0,-0.027200698852539062
1717175481.5894277,-24720.53,14464.800000000003,-27212.38,8634974.0,-0.027841567993164062
1717175481.7249956,-24786.17,14379.93,-27847.64,8639256.0,-0.028667449951171875
1717175481.8605635,-24855.27,14295.059999999998,-28494.05,8643995.0,-0.029628753662109375
1717175481.9961314,-24927.82,14210.190000000002,-29151.61,8649451.0,-0.03073883056640625
1717175482.1316996,-24996.93,14125.32,-29820.3,8655583.0,-0.03198814392089844
1717175482.2672675,-25069.48,14040.449999999997,-30500.15,8662081.0,-0.03335762023925781
1717175482.4028354,-25142.04,13955.580000000002,-31194.86,8669227.0,-0.034862518310546875
1717175482.5384035,-25218.05,13870.71,-31900.71,8677070.0,-0.03651618957519531
1717175482.6739714,-25294.06,13782.150000000001,-32617.7,8685622.0,-0.03835868835449219
1717175482.8095393,-25370.06,13693.589999999997,-33345.84,8694699.0,-0.0402984619140625
1717175482.9451075,-25449.53,13601.339999999997,-34088.84,8703772.0,-0.04221153259277344
1717175483.0806754,-25529.0,13505.400000000001,-34846.7,8713657.0,-0.04436302185058594
1717175483.2162433,-25611.92,13409.46,-35615.71,8723931.0,-0.04650688171386719
1717175483.3518114,-25694.84,13313.519999999997,-36399.57,8734842.0,-0.04882621765136719
1717175483.4873793,-25781.21,13210.199999999997,-37198.3,8746384.0,-0.05128288269042969
1717175483.6229472,-25867.59,13106.879999999997,-38008.16,8758491.0,-0.05384635925292969
1717175483.7585154,-25957.42,12999.870000000003,-38832.9,8770914.0,-0.056468963623046875
1717175483.8940833,-26050.7,12889.169999999998,-39672.479999999996,8784474.0,-0.0593414306640625
1717175484.0296512,-26143.98,12778.470000000001,-40523.22,8798936.0,-0.062435150146484375
1717175484.165219,-26240.72,12660.39,-41388.82,8813852.0,-0.06558990478515625
1717175484.3007872,-26340.92,12542.309999999998,-42265.56,8829772.0,-0.06894111633300781
1717175484.436355,-26437.66,12420.54,-43153.44,8846646.0,-0.07247161865234375
1717175484.571923,-26537.86,12298.769999999997,-44048.76,8864346.0,-0.076202392578125
1717175484.7074912,-26641.510000000002,12177.0,-44951.5,8883213.0,-0.08016395568847656
1717175484.843059,-26745.16,12051.54,-45861.68,8903104.0,-0.08431816101074219
1717175484.978627,-26852.260000000002,11918.699999999997,-46771.85,8924403.0,-0.0887908935546875
1717175485.114195,-26959.37,11785.86,-47678.31,8946096.0,-0.09329414367675781
1717175485.249763,-27066.47,11653.019999999997,-48581.06,8968872.0,-0.09798812866210938
1717175485.385331,-27177.03,11516.489999999998,-49476.369999999995,8992290.0,-0.10279083251953125
1717175485.520899,-27287.59,11379.96,-50356.83,9016145.0,-0.10761833190917969
1717175485.656467,-27398.15,11239.739999999998,-51218.71,9040275.0,-0.11242485046386719
1717175485.7920349,-27505.260000000002,11095.830000000002,-52054.58,9063898.0,-0.11704826354980469
1717175485.927603,-27612.36,10948.230000000003,-52860.740000000005,9086611.0,-0.12134933471679688
1717175486.063171,-27722.92,10800.629999999997,-53629.740000000005,9108184.0,-0.12526512145996094
1717175486.1987388,-27830.03,10649.339999999997,-54361.6,9127692.0,-0.1286029815673828
1717175486.3343067,-27937.13,10498.050000000003,-55048.880000000005,9145464.0,-0.13141250610351562
1717175486.4698749,-28044.239999999998,10343.07,-55687.85,9160698.0,-0.13350296020507812
1717175486.6054428,-28151.34,10191.779999999999,-56278.54,9173135.0,-0.1348743438720703
1717175486.7410107,-28254.989999999998,10044.18,-56820.93,9182895.0,-0.13547325134277344
1717175486.8765788,-28355.19,9903.96,-57315.020000000004,9189812.0,-0.13532638549804688
1717175487.0121467,-28455.38,9767.43,-57760.83,9193878.0,-0.13443756103515625
1717175487.1477146,-28548.67,9634.589999999997,-58158.33,9195455.0,-0.13287734985351562
1717175487.2832828,-28638.5,9509.129999999997,-58511.25,9194535.0,-0.13070297241210938
1717175487.4188507,-28724.87,9394.739999999998,-58823.32,9191530.0,-0.12797164916992188
1717175487.5544186,-28804.34,9295.11,-59101.94,9186668.0,-0.12479972839355469
1717175487.6899867,-28880.35,9199.169999999998,-59343.41,9180247.0,-0.12126541137695312
1717175487.8255546,-28949.45,9110.61,-59555.17,9172253.0,-0.11735916137695312
1717175487.9611225,-29015.09,9033.120000000003,-59740.92,9162932.0,-0.11314201354980469
1717175488.0966907,-29077.28,8966.699999999997,-59904.380000000005,9152442.0,-0.10867881774902344
1717175488.2322586,-29132.56,8911.349999999999,-60045.55,9140776.0,-0.10395622253417969
1717175488.3678265,-29184.38,8867.07,-60171.86,9128286.0,-0.09909629821777344
1717175488.5033944,-29229.3,8826.480000000003,-60279.59,9115215.0,-0.09414291381835938
1717175488.6389625,-29270.760000000002,8789.580000000002,-60372.47,9101370.0,-0.08906173706054688
1717175488.7745304,-29305.31,8760.059999999998,-60457.91,9086810.0,-0.08387184143066406
1717175488.9100983,-29336.41,8737.919999999998,-60532.21,9071929.0,-0.07866096496582031
1717175489.0456665,-29364.05,8719.470000000001,-60599.08,9056453.0,-0.073394775390625
1717175489.1812344,-29388.23,8704.71,-60658.520000000004,9040473.0,-0.06808662414550781
1717175489.3168023,-29408.96,8693.64,-60710.53,9024049.0,-0.06273651123046875
1717175489.4523704,-29426.239999999998,8686.260000000002,-60758.83,9007259.0,-0.05742645263671875
1717175489.5879383,-29440.06,8686.260000000002,-60803.41,8990254.0,-0.05207252502441406
1717175489.7235062,-29453.88,8689.949999999997,-60844.270000000004,8972890.0,-0.04674530029296875
1717175489.8590744,-29464.239999999998,8689.949999999997,-60885.14,8955282.0,-0.04148674011230469
1717175489.9946423,-29471.15,8693.64,-60922.29,8937362.0,-0.036197662353515625
1717175490.1302102,-29478.06,8693.64,-60955.72,8919153.0,-0.030939102172851562
1717175490.265778,-29481.52,8701.019999999997,-60989.16,8900385.0,-0.025644302368164062
1717175490.4013462,-29484.97,8708.400000000001,-61022.59,8881667.0,-0.02045440673828125
1717175490.536914,-29484.97,8719.470000000001,-61052.32,8862683.0,-0.015279769897460938
1717175490.672482,-29484.97,8730.54,-61082.04,8843460.0,-0.010166168212890625
1717175490.8080502,-29484.97,8734.230000000003,-61108.04,8824094.0,-0.005092620849609375
1717175490.943618,-29481.52,8741.61,-61134.04,8804308.0,-1.1444091796875e-05
1717175491.079186,-29478.06,8752.68,-61156.33,8784499.0,0.00499725341796875
1717175491.214754,-29478.06,8763.75,-61178.619999999995,8764910.0,0.009857177734375
1717175491.350322,-29474.61,8774.82,-61200.91,8745209.0,0.01464080810546875
1717175491.48589,-29471.15,8785.89,-61223.2,8725617.0,0.019317626953125
1717175491.621458,-29467.7,8796.96,-61245.490000000005,8706424.0,0.02382659912109375
1717175491.757026,-29460.79,8808.029999999999,-61267.78,8687876.0,0.028064727783203125
1717175491.8925939,-29453.88,8819.099999999999,-61290.08,8669914.0,0.032100677490234375
1717175492.028162,-29446.96,8826.480000000003,-61308.65,8652657.0,0.03587913513183594
1717175492.16373,-29440.06,8833.86,-61327.22,8635989.0,0.03944587707519531
1717175492.2992978,-29433.14,8837.550000000003,-61342.08,8620014.0,0.042774200439453125
1717175492.4348657,-29429.69,8837.550000000003,-61360.66,8605008.0,0.045803070068359375
1717175492.5704339,-29422.78,8837.550000000003,-61375.520000000004,8590622.0,0.048618316650390625
1717175492.7060018,-29419.33,8833.86,-61386.66,8577306.0,0.0511322021484375
1717175492.8415697,-29415.87,8826.480000000003,-61397.81,8565246.0,0.053279876708984375
1717175492.9771378,-29412.42,8819.099999999999,-61408.95,8553780.0,0.055248260498046875
1717175493.1127057,-29412.42,8808.029999999999,-61420.1,8543345.0,0.05693626403808594
1717175493.2482736,-29412.42,8800.650000000001,-61427.53,8534474.0,0.05819892883300781
1717175493.3838418,-29412.42,8785.89,-61434.96,8526720.0,0.0591583251953125
1717175493.5194097,-29412.42,8767.440000000002,-61434.96,8519618.0,0.05995941162109375
1717175493.6549776,-29412.42,8752.68,-61434.96,8513649.0,0.060455322265625
1717175493.7905457,-29415.87,8741.61,-61434.96,8509023.0,0.06062507629394531
1717175493.9261136,-29419.33,8726.849999999999,-61434.96,8505525.0,0.060516357421875
1717175494.0616815,-29419.33,8712.089999999997,-61434.96,8502588.0,0.060260772705078125
1717175494.1972497,-29419.33,8693.64,-61431.240000000005,8500801.0,0.05973243713378906
1717175494.3328176,-29422.78,8675.190000000002,-61427.53,8500268.0,0.058910369873046875
1717175494.4683855,-29426.239999999998,8660.43,-61420.1,8500447.0,0.05791282653808594
1717175494.6039534,-29429.69,8653.050000000003,-61416.380000000005,8501403.0,0.0567474365234375
1717175494.7395215,-29433.14,8641.980000000003,-61408.95,8503335.0,0.05537223815917969
1717175494.8750894,-29436.6,8623.529999999999,-61401.520000000004,8505941.0,0.053836822509765625
1717175495.0106573,-29440.06,8612.46,-61394.09,8509324.0,0.05214881896972656
1717175495.1462255,-29443.510000000002,8601.39,-61386.66,8513178.0,0.05037689208984375
1717175495.2817934,-29446.96,8597.699999999997,-61379.240000000005,8517928.0,0.048397064208984375
1717175495.4173613,-29453.88,8590.32,-61371.81,8523395.0,0.04628944396972656
1717175495.5529294,-29457.33,8582.940000000002,-61364.369999999995,8529214.0,0.044116973876953125
1717175495.6884973,-29457.33,8575.559999999998,-61356.94,8535478.0,0.04187202453613281
1717175495.8240652,-29460.79,8575.559999999998,-61349.520000000004,8542017.0,0.03959846496582031
1717175495.9596334,-29460.79,8575.559999999998,-61342.08,8549081.0,0.037227630615234375
1717175496.0952013,-29464.239999999998,8571.870000000003,-61338.369999999995,8556496.0,0.03479766845703125
