,x,y,z,temp,temp_error
1717175542.1350114,10074.779999999999,-12630.869999999999,12787.029999999999,8535389.0,0.0
1717175542.2687604,10620.669999999998,-12977.73,13481.730000000003,8542919.0,-0.03667259216308594
1717175542.4025092,11163.099999999999,-13295.07,14180.160000000003,8550447.0,-0.03853797912597656
1717175542.5362582,11702.080000000002,-13586.580000000002,14882.29,8557936.0,-0.04038810729980469
1717175542.670007,12237.61,-13848.57,15588.14,8565444.0,-0.0422210693359375
1717175542.803756,12769.68,-14084.73,16297.71,8572973.0,-0.044063568115234375
1717175542.937505,13298.300000000003,-14295.060000000001,17010.980000000003,8580472.0,-0.045909881591796875
1717175543.0712538,13823.46,-14475.869999999999,17731.690000000002,8587866.0,-0.04772758483886719
1717175543.2050028,14345.160000000003,-14630.849999999999,18456.120000000003,8595157.0,-0.0494842529296875
1717175543.3387516,14863.410000000003,-14760.0,19187.980000000003,8602306.0,-0.051197052001953125
1717175543.4725006,15378.21,-14863.32,19923.550000000003,8609263.0,-0.05288124084472656
1717175543.6062496,15886.089999999997,-14940.810000000001,20666.550000000003,8616104.0,-0.054531097412109375
1717175543.7399983,16390.519999999997,-14992.470000000001,21416.980000000003,8622681.0,-0.05608940124511719
1717175543.8737473,16891.5,-15018.3,22171.120000000003,8628873.0,-0.05755805969238281
1717175544.007496,17389.010000000002,-15014.61,22932.690000000002,8634798.0,-0.058963775634765625
1717175544.1412451,17883.08,-14985.09,23701.699999999997,8640562.0,-0.06031990051269531
1717175544.274994,18370.230000000003,-14929.740000000002,24478.14,8646159.0,-0.061634063720703125
1717175544.408743,18853.940000000002,-14844.869999999999,25262.0,8651417.0,-0.0628204345703125
1717175544.542492,19330.730000000003,-14730.48,26053.300000000003,8656382.0,-0.06395912170410156
1717175544.6762407,19800.6,-14590.259999999998,26855.730000000003,8661003.0,-0.06499481201171875
1717175544.8099897,20263.58,-14420.52,27665.6,8665489.0,-0.06599807739257812
1717175544.9437385,20719.64,-14221.259999999998,28482.910000000003,8669938.0,-0.06697463989257812
1717175545.0774875,21168.78,-13992.48,29311.35,8673973.0,-0.06785011291503906
1717175545.2112365,21611.019999999997,-13734.18,30150.940000000002,8677965.0,-0.06870460510253906
1717175545.3449852,22042.9,-13442.669999999998,30997.96,8681737.0,-0.06951904296875
1717175545.4787343,22467.870000000003,-13121.64,31856.120000000003,8685674.0,-0.07032966613769531
1717175545.612483,22882.46,-12767.400000000001,32725.440000000002,8689513.0,-0.07111358642578125
1717175545.746232,23283.239999999998,-12383.64,33609.61,8693452.0,-0.07192802429199219
1717175545.879981,23673.660000000003,-11966.669999999998,34504.92,8697509.0,-0.07277679443359375
1717175546.0137298,24050.260000000002,-11516.490000000002,35411.39,8701932.0,-0.07369613647460938
1717175546.1474788,24409.58,-11033.099999999999,36332.71000000001,8706650.0,-0.0746917724609375
1717175546.2812276,24751.620000000003,-10520.189999999999,37265.17,8711864.0,-0.07579421997070312
1717175546.4149766,25076.39,-9977.759999999998,38212.490000000005,8717756.0,-0.07711219787597656
1717175546.5487256,25380.43,-9405.810000000001,39174.67999999999,8724345.0,-0.07854080200195312
1717175546.6824744,25663.739999999998,-8804.34,40151.72,8731699.0,-0.08014488220214844
1717175546.8162234,25926.32,-8177.040000000001,41143.630000000005,8740322.0,-0.08207130432128906
1717175546.9499722,26164.72,-7523.91,42150.39,8749834.0,-0.08423614501953125
